problem,method,seed,probe,policy,coords,loss,grad_norm,n_params,n_blocks,top1,top2,min,top1_rel_resid,top2_rel_resid,min_rel_resid,top1_start1,min_start1,converged_start0,converged_start1,iterations_start0,iterations_start1,min_rayleigh_f64,source
resolution_s3_train_saved_ord,resolution_max_b1,3,train_probe,saved,ordinary,0.28469744324684143,2.626899773531119,268336,698,1386.9559283728356,1017.4628195269646,-3.320482293656378,4.381318224149654e-07,4.7099397145349574e-07,0.0005511107566860492,1386.9559196599648,-3.320433029102159,True,True,70,70,-3.320569813448359,maximemonstrenikez
resolution_s3_train_saved_rel,resolution_max_b1,3,train_probe,saved,relative,0.28469744324684143,2.626899773531119,268336,698,2229.029425747934,1609.8579657323546,-5.211057718677065,4.6100854730057953e-07,4.6510168970158176e-07,6.409597572854244e-05,2229.0293496129116,-5.2110550572834695,True,True,100,80,-5.211258859635949,maximemonstrenikez
combined_s4_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,ordinary,0.49875618517398834,3.4452738578879005,268336,698,1283.0316628102928,931.1603146600098,-4.6054687091518876,4.481110938842553e-07,4.957870525620494e-07,0.0003048059838784997,1283.031642780494,-4.605470036084174,True,True,60,70,-4.605466299191007,maxlebossdu91
combined_s4_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,relative,0.49875618517398834,3.4452738578879005,268336,698,2089.0144348376484,1492.395772845644,-7.383006545442719,4.4329622940579484e-07,5.292495702639371e-07,0.00041478461438365416,2089.014513389185,-7.383017987992559,True,True,60,60,-7.38300331383194,maxlebossdu91
combined_s4_test_saved_ord,resolution_max_b1_gaussian_conv,4,test_probe,saved,ordinary,0.5009721219539642,4.0480688475228686,268336,698,1244.9404603082664,969.6914273991237,-6.143171071946615,4.77082475305957e-07,5.084287897257239e-07,6.639765645108125e-05,1244.940462388907,-6.143147497237638,True,True,60,50,-6.143124349850281,maxlebossdu91
combined_s4_test_saved_rel,resolution_max_b1_gaussian_conv,4,test_probe,saved,relative,0.5009721219539642,4.0480688475228686,268336,698,2029.6501857020635,1552.845649546046,-9.794274884599668,4.686768776055426e-07,5.112171085989155e-07,0.00010109456200192552,2029.65012679926,-9.794265918453824,True,True,60,60,-9.794239210010682,maxlebossdu91
combined_s4_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,ordinary,0.295181006193161,1.9191786448429107,268336,698,1161.6256783707463,885.1097530075205,-2.3563951373420564,4.6698514609517595e-07,4.873899485882697e-07,0.000754332444173019,1161.6256835898282,-2.356430980595822,True,True,60,70,-2.356138122138524,maxlebossdu91
combined_s4_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,relative,0.295181006193161,1.9191786448429107,268336,698,1892.6916082167518,1416.2146496451749,-3.7749124899309305,4.199812596463673e-07,4.920939412123132e-07,0.0008136164114697509,1892.691648030606,-3.774973363758083,True,True,60,70,-3.774535459127245,maxlebossdu91
combined_s4_train_saved_ord,resolution_max_b1_gaussian_conv,4,train_probe,saved,ordinary,0.29715514183044434,2.404302851304263,268336,698,1148.5122390634692,878.1159158553363,-3.3643007300960677,4.583990676258112e-07,5.067804765905017e-07,0.0004153482753428309,1148.5122660688978,-3.3643070962942097,True,True,80,80,-3.364358313578857,maxlebossdu91
combined_s4_train_saved_rel,resolution_max_b1_gaussian_conv,4,train_probe,saved,relative,0.29715514183044434,2.404302851304263,268336,698,1873.5039229231863,1402.952255926066,-5.368812739621186,4.418512216577498e-07,5.156996006313475e-07,0.0006166685757894793,1873.5039636262586,-5.3687810093054535,True,True,70,70,-5.368916959498333,maxlebossdu91
gaussian_s4_test_centre_frozen_ord,gaussian_postrelu,4,test_probe,centre_frozen,ordinary,0.5919629335403442,3.743270383412808,268336,698,1616.1014239169779,1218.9846744320723,-4.4918211609597565,5.191267146661593e-07,5.206364604008644e-07,0.0007262725900977903,1616.1013447200053,-4.49178771385879,True,True,100,80,-4.491560402765102,maxlebossdu91
