method,seed,policy,evaluation_set,n_images,amplitude,n_directions,S,centre_ce,centre_acc
gaussian_postrelu,3,recalibrated,test_full,10000,0.25,20,1.281050977935791,0.5476052368164063,0.8099
gaussian_postrelu,4,saved,train_large,10000,0.1,20,0.7478604554748535,0.26793368453979494,0.9198
gaussian_postrelu,4,saved,train_large,10000,0.25,20,4.271884711456298,0.26793368453979494,0.9198
gaussian_postrelu,4,saved,test_full,10000,0.1,20,0.6479386598968506,0.6086985260009765,0.7984
gaussian_postrelu,4,saved,test_full,10000,0.25,20,4.007143418579102,0.6086985260009765,0.7984
gaussian_postrelu,4,recalibrated,train_large,10000,0.1,20,0.29932046989440914,0.2630943634033203,0.9218
gaussian_postrelu,4,recalibrated,train_large,10000,0.25,20,1.2853766626739502,0.2630943634033203,0.9218
gaussian_postrelu,4,recalibrated,test_full,10000,0.1,20,0.22316474739074713,0.6054874328613281,0.7998
gaussian_postrelu,4,recalibrated,test_full,10000,0.25,20,1.068460633468628,0.6054874328613281,0.7998
resolution_max_b1_gaussian_conv,0,saved,train_large,10000,0.1,20,0.3613812622070312,0.31621811828613283,0.8985
resolution_max_b1_gaussian_conv,0,saved,train_large,10000,0.25,20,3.037318380889892,0.31621811828613283,0.8985
resolution_max_b1_gaussian_conv,0,saved,test_full,10000,0.1,20,0.3234530645751953,0.5434872039794922,0.8134
resolution_max_b1_gaussian_conv,0,saved,test_full,10000,0.25,20,2.8964252348327633,0.5434872039794922,0.8134
resolution_max_b1_gaussian_conv,0,recalibrated,train_large,10000,0.1,20,0.10015125675201415,0.3142744354248047,0.8996
resolution_max_b1_gaussian_conv,0,recalibrated,train_large,10000,0.25,20,0.6195126664733885,0.3142744354248047,0.8996
resolution_max_b1_gaussian_conv,0,recalibrated,test_full,10000,0.1,20,0.06813384086608891,0.5419873764038086,0.8148
resolution_max_b1_gaussian_conv,0,recalibrated,test_full,10000,0.25,20,0.5061847724914551,0.5419873764038086,0.8148
resolution_max_b1_gaussian_conv,1,saved,train_large,10000,0.1,20,0.4650201277160644,0.310563737487793,0.898
resolution_max_b1_gaussian_conv,1,saved,train_large,10000,0.25,20,3.7928412252807617,0.310563737487793,0.898
resolution_max_b1_gaussian_conv,1,saved,test_full,10000,0.1,20,0.4151081990814209,0.5493452041625977,0.8124
resolution_max_b1_gaussian_conv,1,saved,test_full,10000,0.25,20,3.635096649932861,0.5493452041625977,0.8124
resolution_max_b1_gaussian_conv,1,recalibrated,train_large,10000,0.1,20,0.11922412452697755,0.31260357513427733,0.8962
resolution_max_b1_gaussian_conv,1,recalibrated,train_large,10000,0.25,20,0.7071681517791748,0.31260357513427733,0.8962
resolution_max_b1_gaussian_conv,1,recalibrated,test_full,10000,0.1,20,0.08276124553680415,0.547307992553711,0.8134
resolution_max_b1_gaussian_conv,1,recalibrated,test_full,10000,0.25,20,0.5839780635070799,0.547307992553711,0.8134
resolution_max_b1_gaussian_conv,2,saved,train_large,10000,0.1,20,0.43469830219268807,0.3074907760620117,0.898
resolution_max_b1_gaussian_conv,2,saved,train_large,10000,0.25,20,3.8110256260681155,0.3074907760620117,0.898
resolution_max_b1_gaussian_conv,2,saved,test_full,10000,0.1,20,0.38733863243103034,0.5403551956176758,0.8187
resolution_max_b1_gaussian_conv,2,saved,test_full,10000,0.25,20,3.649192700195312,0.5403551956176758,0.8187
resolution_max_b1_gaussian_conv,2,recalibrated,train_large,10000,0.1,20,0.12784364326477052,0.30550594787597657,0.9012
resolution_max_b1_gaussian_conv,2,recalibrated,train_large,10000,0.25,20,0.7342159330749513,0.30550594787597657,0.9012
resolution_max_b1_gaussian_conv,2,recalibrated,test_full,10000,0.1,20,0.09042738624572762,0.5383833541870117,0.8184
resolution_max_b1_gaussian_conv,2,recalibrated,test_full,10000,0.25,20,0.6068058480834961,0.5383833541870117,0.8184
resolution_max_b1_gaussian_conv,3,saved,train_large,10000,0.1,20,0.47313825698852535,0.3016176971435547,0.9044
resolution_max_b1_gaussian_conv,3,saved,train_large,10000,0.25,20,3.5826850910949704,0.3016176971435547,0.9044
resolution_max_b1_gaussian_conv,3,saved,test_full,10000,0.1,20,0.4228470559692384,0.5436371322631836,0.8153
resolution_max_b1_gaussian_conv,3,saved,test_full,10000,0.25,20,3.417040050201416,0.5436371322631836,0.8153
resolution_max_b1_gaussian_conv,3,recalibrated,train_large,10000,0.1,20,0.1682767008972168,0.30209641036987306,0.9038
resolution_max_b1_gaussian_conv,3,recalibrated,train_large,10000,0.25,20,0.886258851699829,0.30209641036987306,0.9038
resolution_max_b1_gaussian_conv,3,recalibrated,test_full,10000,0.1,20,0.12922921028137208,0.5399569366455078,0.8158
resolution_max_b1_gaussian_conv,3,recalibrated,test_full,10000,0.25,20,0.7650950728607178,0.5399569366455078,0.8158
resolution_max_b1_gaussian_conv,4,saved,train_large,10000,0.1,20,0.4224561874008179,0.3039470413208008,0.8994
resolution_max_b1_gaussian_conv,4,saved,train_large,10000,0.25,20,3.4150918142700197,0.3039470413208008,0.8994
resolution_max_b1_gaussian_conv,4,saved,test_full,10000,0.1,20,0.37986191619873044,0.5350250259399414,0.819
resolution_max_b1_gaussian_conv,4,saved,test_full,10000,0.25,20,3.253368228759766,0.5350250259399414,0.819
resolution_max_b1_gaussian_conv,4,recalibrated,train_large,10000,0.1,20,0.12322051136016846,0.29898064498901367,0.9022
resolution_max_b1_gaussian_conv,4,recalibrated,train_large,10000,0.25,20,0.6961343759155272,0.29898064498901367,0.9022
resolution_max_b1_gaussian_conv,4,recalibrated,test_full,10000,0.1,20,0.08751236328124995,0.5326575775146485,0.8193
resolution_max_b1_gaussian_conv,4,recalibrated,test_full,10000,0.25,20,0.5728516455841064,0.5326575775146485,0.8193
