method,seed,policy,split,direction,amplitude,S_f32,S_f64,abs_diff
plain,4,saved,train_probe,0,0.01,0.006327842712402332,0.006327836282469995,6.429932336571298e-09
plain,4,saved,train_probe,0,0.02,0.025871574401855446,0.02587161890023157,4.4498376122747985e-08
plain,4,saved,train_probe,0,0.05,0.1702196350097656,0.17021956773820537,6.727156023900172e-08
plain,4,saved,train_probe,1,0.005,0.0012508239746093497,0.0012508975053049098,7.353069556015335e-08
plain,4,saved,train_probe,1,0.01,0.00487385559082032,0.004873913057262841,5.7466442521247885e-08
plain,4,saved,train_probe,1,0.02,0.01935528564453126,0.01935536405994001,7.841540874964359e-08
plain,4,saved,train_probe,1,0.05,0.12508155059814452,0.12508164459111257,9.399296804768476e-08
plain,4,saved,test_probe,0,0.005,0.001216049194335933,0.0012159732151626468,7.597917328627801e-08
plain,4,saved,test_probe,0,0.01,0.004346206665039154,0.004346162519243912,4.4145795241590235e-08
plain,4,saved,test_probe,0,0.02,0.017031631469726638,0.017031650424827793,1.895510115534904e-08
plain,4,saved,test_probe,0,0.05,0.11712631225585934,0.11712619770411958,1.1455173976049338e-07
plain,4,saved,test_probe,1,0.005,0.0008494262695312171,0.0008494955005733384,6.923104212130937e-08
plain,4,saved,test_probe,1,0.01,0.003023208618164075,0.003023345388232679,1.367700686039086e-07
plain,4,saved,test_probe,1,0.02,0.012301330566406254,0.012301275571215964,5.499519029061872e-08
plain,4,saved,test_probe,1,0.05,0.08555148315429695,0.08555142898522172,5.4169075225374286e-08
plain,4,recalibrated,train_probe,0,0.005,0.0006054763793945095,0.0006055149518373881,3.857244287863715e-08
plain,4,recalibrated,train_probe,0,0.01,0.0024013175964355538,0.002401399434326129,8.183789057536472e-08
plain,4,recalibrated,train_probe,0,0.02,0.009574462890624996,0.009574487373898127,2.4483273131092886e-08
plain,4,recalibrated,train_probe,0,0.05,0.0568444480895996,0.05684445843520927,1.0345609674500267e-08
plain,4,recalibrated,train_probe,1,0.005,0.0006042633056640434,0.000604323640857718,6.033519367454332e-08
plain,4,recalibrated,train_probe,1,0.01,0.0025434951782226656,0.002543596265333542,1.0108711087641886e-07
plain,4,recalibrated,train_probe,1,0.02,0.009580993652343772,0.009581078781686375,8.512934260296312e-08
plain,4,recalibrated,train_probe,1,0.05,0.05841559219360354,0.058415600191702166,7.99809862783718e-09
plain,4,recalibrated,test_probe,0,0.005,0.00011581420898432171,0.00011576795598700063,4.6252997321083456e-08
plain,4,recalibrated,test_probe,0,0.01,0.0010109863281251297,0.0010108745996376678,1.117284874618818e-07
plain,4,recalibrated,test_probe,0,0.02,0.004335479736328196,0.004335493819682568,1.4083354371585699e-08
plain,4,recalibrated,test_probe,0,0.05,0.029034469604492186,0.029034443263676213,2.6340815972858422e-08
plain,4,recalibrated,test_probe,1,0.005,0.0002847747802734446,0.00028470217793763464,7.260233580996811e-08
plain,4,recalibrated,test_probe,1,0.01,0.0011589050292968306,0.001158942456673584,3.742737675338503e-08
plain,4,recalibrated,test_probe,1,0.02,0.00435873413085941,0.004358562043086267,1.7208777314259294e-07
plain,4,recalibrated,test_probe,1,0.05,0.028413070678710906,0.028412977318280297,9.336043060859112e-08
plain,4,centre_frozen,train_probe,0,0.005,0.0017150001525879088,0.0017149990276784655,1.1249094433729567e-09
plain,4,centre_frozen,train_probe,0,0.01,0.006690231323242202,0.006690309386679305,7.80634371033706e-08
plain,4,centre_frozen,train_probe,0,0.02,0.026994495391845702,0.026994546772966338,5.1381120635962674e-08
plain,4,centre_frozen,train_probe,0,0.05,0.17774082946777342,0.17774073735131263,9.21164607925462e-08
plain,4,centre_frozen,train_probe,1,0.005,0.0013265304565429625,0.0013265911287076992,6.067216473670811e-08
plain,4,centre_frozen,train_probe,1,0.01,0.00517996597290038,0.005179987897587668,2.1924687287899758e-08
plain,4,centre_frozen,train_probe,1,0.02,0.020079322814941403,0.02007936294920204,4.013426063709247e-08
plain,4,centre_frozen,train_probe,1,0.05,0.12815099334716795,0.1281510292226487,3.587548075278946e-08
plain,4,centre_frozen,test_probe,0,0.005,0.0012267456054688708,0.001226685171726416,6.043374245479072e-08
plain,4,centre_frozen,test_probe,0,0.01,0.005048110961914043,0.00504793174774032,1.7921417372335213e-07
