pair,seed,alpha,policy,train_probe_ce,test_probe_ce,source
plain_gaussian,0,0.8200000000000001,recalibrated,0.6107901000976562,0.7432148132324219,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.84,recalibrated,0.5474383239746093,0.6979938659667969,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.86,recalibrated,0.4901480255126953,0.6622429809570313,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.88,recalibrated,0.4400313873291016,0.6313315124511719,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.9,recalibrated,0.39778321838378905,0.6075318603515625,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.92,recalibrated,0.362551513671875,0.5892926940917969,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.9400000000000001,recalibrated,0.3331810760498047,0.5770806884765625,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.96,recalibrated,0.3095518493652344,0.5688905944824219,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.98,recalibrated,0.2926997375488281,0.5661234130859375,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,1.0,recalibrated,0.2824344940185547,0.5683609161376953,v2:interp__plain_gaussian__seed0.jsonl
plain_resolution,0,0.0,recalibrated,0.22218031311035155,0.7570303955078125,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.02,recalibrated,0.23242023468017578,0.7529168090820313,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.04,recalibrated,0.2496934814453125,0.7524932250976563,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.06,recalibrated,0.27407308959960935,0.7555877685546875,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.08,recalibrated,0.30487153625488284,0.7619039916992187,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.1,recalibrated,0.3417687072753906,0.7703341979980469,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.12,recalibrated,0.38297674560546874,0.7813804321289063,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.14,recalibrated,0.4291009063720703,0.79551171875,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.16,recalibrated,0.4787416381835938,0.8126608276367188,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.18,recalibrated,0.5310220947265625,0.8332247619628906,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.2,recalibrated,0.5866915283203125,0.8580271301269531,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.22,recalibrated,0.6459053039550782,0.885815673828125,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.24,recalibrated,0.7043814086914062,0.9162832336425781,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.26,recalibrated,0.7620859375,0.9499307250976563,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.28,recalibrated,0.8209096374511718,0.9840393371582031,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.3,recalibrated,0.8783556213378906,1.0186426391601562,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.32,recalibrated,0.9348583068847657,1.053079132080078,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.34,recalibrated,0.9883950805664062,1.0886436462402345,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.36,recalibrated,1.0402034301757812,1.121651611328125,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.38,recalibrated,1.0871317138671874,1.1527020263671874,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.4,recalibrated,1.1285680541992187,1.183435791015625,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.42,recalibrated,1.1647261352539062,1.2112015380859376,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.44,recalibrated,1.1936032104492187,1.2356331787109376,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.46,recalibrated,1.21425,1.254370849609375,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.48,recalibrated,1.2282247924804688,1.2699030151367188,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.5,recalibrated,1.2365460815429687,1.2800455322265625,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.52,recalibrated,1.2376979370117187,1.2838489990234374,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.54,recalibrated,1.229604736328125,1.2818994750976562,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.56,recalibrated,1.2135785522460938,1.2726512451171874,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.58,recalibrated,1.1891669921875,1.2551851806640626,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.6,recalibrated,1.1568660278320313,1.2300745849609376,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.62,recalibrated,1.11828759765625,1.198038818359375,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.64,recalibrated,1.0739317321777344,1.1599615478515626,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.66,recalibrated,1.0247118530273438,1.1181104125976562,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.68,recalibrated,0.9717254333496094,1.0737648315429686,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.7000000000000001,recalibrated,0.9160459594726562,1.0260501708984375,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.72,recalibrated,0.85782373046875,0.9772491455078125,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.74,recalibrated,0.7985889282226563,0.9288433227539062,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.76,recalibrated,0.7393884582519531,0.8821948852539062,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.78,recalibrated,0.684346923828125,0.83753857421875,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.8,recalibrated,0.632142822265625,0.7950299682617188,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.8200000000000001,recalibrated,0.5822398376464843,0.7552457275390625,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.84,recalibrated,0.5346947326660156,0.7183490905761719,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.86,recalibrated,0.49028558349609375,0.6839435424804687,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.88,recalibrated,0.4500314331054687,0.6526242980957031,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.9,recalibrated,0.4141508941650391,0.6267222290039063,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.92,recalibrated,0.38343235778808593,0.6053411560058594,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.9400000000000001,recalibrated,0.35858596801757814,0.5875571899414063,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.96,recalibrated,0.33949899291992186,0.5742253112792969,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,0.98,recalibrated,0.32587147521972654,0.5645946655273437,v2:interp__plain_resolution__seed0.jsonl
plain_resolution,0,1.0,recalibrated,0.31810240173339843,0.5604129028320313,v2:interp__plain_resolution__seed0.jsonl
resolution_combined,0,0.0,recalibrated,0.31810240173339843,0.5604129028320313,v2:interp__resolution_combined__seed0.jsonl
resolution_combined,0,0.02,recalibrated,0.32603605651855466,0.5620946655273438,v2:interp__resolution_combined__seed0.jsonl
resolution_combined,0,0.04,recalibrated,0.34011880493164065,0.5680879516601562,v2:interp__resolution_combined__seed0.jsonl
resolution_combined,0,0.06,recalibrated,0.35899087524414064,0.5789474487304688,v2:interp__resolution_combined__seed0.jsonl
resolution_combined,0,0.08,recalibrated,0.38251939392089845,0.5943449096679687,v2:interp__resolution_combined__seed0.jsonl
resolution_combined,0,0.1,recalibrated,0.4123270263671875,0.6143655395507812,v2:interp__resolution_combined__seed0.jsonl
