method,epoch,state_label,state,seed,policy,split,centre_ce
gaussian_postrelu,9,before,r-_G0.7,3,recalibrated,test_probe,0.7433252258300781
gaussian_postrelu,9,before,r-_G0.7,4,saved,train_probe,0.6588937072753906
gaussian_postrelu,9,before,r-_G0.7,4,saved,test_probe,0.7872762451171875
gaussian_postrelu,9,before,r-_G0.7,4,recalibrated,train_probe,0.63043994140625
gaussian_postrelu,9,before,r-_G0.7,4,recalibrated,test_probe,0.7450202331542969
gaussian_postrelu,9,after,r-_G0.6,0,saved,train_probe,0.728359619140625
gaussian_postrelu,9,after,r-_G0.6,0,saved,test_probe,0.8003150024414063
gaussian_postrelu,9,after,r-_G0.6,0,recalibrated,train_probe,0.6574605102539063
gaussian_postrelu,9,after,r-_G0.6,0,recalibrated,test_probe,0.751110595703125
gaussian_postrelu,9,after,r-_G0.6,1,saved,train_probe,0.7329975891113282
gaussian_postrelu,9,after,r-_G0.6,1,saved,test_probe,0.7900924072265625
gaussian_postrelu,9,after,r-_G0.6,1,recalibrated,train_probe,0.6439085388183594
gaussian_postrelu,9,after,r-_G0.6,1,recalibrated,test_probe,0.6890432434082031
gaussian_postrelu,9,after,r-_G0.6,2,saved,train_probe,0.69307861328125
gaussian_postrelu,9,after,r-_G0.6,2,saved,test_probe,0.8007426147460938
gaussian_postrelu,9,after,r-_G0.6,2,recalibrated,train_probe,0.6326952209472656
gaussian_postrelu,9,after,r-_G0.6,2,recalibrated,test_probe,0.7492064819335937
gaussian_postrelu,9,after,r-_G0.6,3,saved,train_probe,0.7059200744628906
gaussian_postrelu,9,after,r-_G0.6,3,saved,test_probe,0.8058244934082032
gaussian_postrelu,9,after,r-_G0.6,3,recalibrated,train_probe,0.6448847351074218
gaussian_postrelu,9,after,r-_G0.6,3,recalibrated,test_probe,0.7479888000488282
gaussian_postrelu,9,after,r-_G0.6,4,saved,train_probe,0.7101962280273437
gaussian_postrelu,9,after,r-_G0.6,4,saved,test_probe,0.8066506042480469
gaussian_postrelu,9,after,r-_G0.6,4,recalibrated,train_probe,0.6604485168457032
gaussian_postrelu,9,after,r-_G0.6,4,recalibrated,test_probe,0.7560571899414062
gaussian_postrelu,9,final,r-_G0,0,saved,train_probe,4.12554931640625
gaussian_postrelu,9,final,r-_G0,0,saved,test_probe,4.044810424804687
gaussian_postrelu,9,final,r-_G0,0,recalibrated,train_probe,1.734211669921875
gaussian_postrelu,9,final,r-_G0,0,recalibrated,test_probe,1.7085941162109375
gaussian_postrelu,9,final,r-_G0,1,saved,train_probe,4.9787060546875
gaussian_postrelu,9,final,r-_G0,1,saved,test_probe,5.01886083984375
gaussian_postrelu,9,final,r-_G0,1,recalibrated,train_probe,1.613794189453125
gaussian_postrelu,9,final,r-_G0,1,recalibrated,test_probe,1.6136061401367188
gaussian_postrelu,9,final,r-_G0,2,saved,train_probe,5.391477294921875
gaussian_postrelu,9,final,r-_G0,2,saved,test_probe,5.24279248046875
gaussian_postrelu,9,final,r-_G0,2,recalibrated,train_probe,1.6866677856445313
gaussian_postrelu,9,final,r-_G0,2,recalibrated,test_probe,1.7015108032226562
gaussian_postrelu,9,final,r-_G0,3,saved,train_probe,2.8118736572265624
gaussian_postrelu,9,final,r-_G0,3,saved,test_probe,2.8505343017578126
gaussian_postrelu,9,final,r-_G0,3,recalibrated,train_probe,1.64642822265625
gaussian_postrelu,9,final,r-_G0,3,recalibrated,test_probe,1.66648828125
gaussian_postrelu,9,final,r-_G0,4,saved,train_probe,3.4503331298828126
gaussian_postrelu,9,final,r-_G0,4,saved,test_probe,3.483870361328125
gaussian_postrelu,9,final,r-_G0,4,recalibrated,train_probe,1.5729859008789062
gaussian_postrelu,9,final,r-_G0,4,recalibrated,test_probe,1.6075555419921874
gaussian_postrelu,12,before,r-_G0.6,0,saved,train_probe,0.5234802703857422
gaussian_postrelu,12,before,r-_G0.6,0,saved,test_probe,0.6444937744140625
gaussian_postrelu,12,before,r-_G0.6,0,recalibrated,train_probe,0.5247357177734375
gaussian_postrelu,12,before,r-_G0.6,0,recalibrated,test_probe,0.6402193908691406
gaussian_postrelu,12,before,r-_G0.6,1,saved,train_probe,0.5579021606445312
gaussian_postrelu,12,before,r-_G0.6,1,saved,test_probe,0.6389143676757812
gaussian_postrelu,12,before,r-_G0.6,1,recalibrated,train_probe,0.5567105102539063
gaussian_postrelu,12,before,r-_G0.6,1,recalibrated,test_probe,0.6424846496582032
gaussian_postrelu,12,before,r-_G0.6,2,saved,train_probe,0.5269605102539062
gaussian_postrelu,12,before,r-_G0.6,2,saved,test_probe,0.6779613647460937
gaussian_postrelu,12,before,r-_G0.6,2,recalibrated,train_probe,0.4978752136230469
gaussian_postrelu,12,before,r-_G0.6,2,recalibrated,test_probe,0.6490350036621094
gaussian_postrelu,12,before,r-_G0.6,3,saved,train_probe,0.49740155029296873
gaussian_postrelu,12,before,r-_G0.6,3,saved,test_probe,0.6751841735839844
gaussian_postrelu,12,before,r-_G0.6,3,recalibrated,train_probe,0.4795313262939453
gaussian_postrelu,12,before,r-_G0.6,3,recalibrated,test_probe,0.656010498046875
gaussian_postrelu,12,before,r-_G0.6,4,saved,train_probe,0.5225440673828124
gaussian_postrelu,12,before,r-_G0.6,4,saved,test_probe,0.6840399169921875
gaussian_postrelu,12,before,r-_G0.6,4,recalibrated,train_probe,0.49932135009765627
gaussian_postrelu,12,before,r-_G0.6,4,recalibrated,test_probe,0.6711195983886719
gaussian_postrelu,12,after,r-_G0.5,0,saved,train_probe,0.6520215454101562
gaussian_postrelu,12,after,r-_G0.5,0,saved,test_probe,0.7314706115722657
gaussian_postrelu,12,after,r-_G0.5,0,recalibrated,train_probe,0.5839668579101562
gaussian_postrelu,12,after,r-_G0.5,0,recalibrated,test_probe,0.6758897705078125
gaussian_postrelu,12,after,r-_G0.5,1,saved,train_probe,0.7988090209960937
gaussian_postrelu,12,after,r-_G0.5,1,saved,test_probe,0.8718997497558594
gaussian_postrelu,12,after,r-_G0.5,1,recalibrated,train_probe,0.6045130920410157
gaussian_postrelu,12,after,r-_G0.5,1,recalibrated,test_probe,0.679531494140625
gaussian_postrelu,12,after,r-_G0.5,2,saved,train_probe,0.6758320922851563
gaussian_postrelu,12,after,r-_G0.5,2,saved,test_probe,0.7899376220703125
gaussian_postrelu,12,after,r-_G0.5,2,recalibrated,train_probe,0.5650575103759765
gaussian_postrelu,12,after,r-_G0.5,2,recalibrated,test_probe,0.6928750610351563
gaussian_postrelu,12,after,r-_G0.5,3,saved,train_probe,0.6213564758300781
gaussian_postrelu,12,after,r-_G0.5,3,saved,test_probe,0.7686496276855469
gaussian_postrelu,12,after,r-_G0.5,3,recalibrated,train_probe,0.5327943115234375
gaussian_postrelu,12,after,r-_G0.5,3,recalibrated,test_probe,0.6854840087890625
gaussian_postrelu,12,after,r-_G0.5,4,saved,train_probe,0.7316979675292968
gaussian_postrelu,12,after,r-_G0.5,4,saved,test_probe,0.86246923828125
gaussian_postrelu,12,after,r-_G0.5,4,recalibrated,train_probe,0.5638710632324219
gaussian_postrelu,12,after,r-_G0.5,4,recalibrated,test_probe,0.7050281677246094
gaussian_postrelu,12,final,r-_G0,0,saved,train_probe,3.3423629150390624
