method,seed,policy,split,amplitude,S_mean,S_direction_sd,n_directions
gaussian_postrelu,1,recalibrated,train_probe,0.02,0.010978629684448262,0.0036108455714609967,20
gaussian_postrelu,1,recalibrated,train_probe,0.025,0.017113348770141618,0.005766272798080138,20
gaussian_postrelu,1,recalibrated,train_probe,0.05,0.0707335948944092,0.02675487171299532,20
gaussian_postrelu,1,recalibrated,train_probe,0.1,0.272630818939209,0.09042511530411025,20
gaussian_postrelu,1,recalibrated,train_probe,0.2,0.8728888389587401,0.2049937158933772,20
gaussian_postrelu,1,recalibrated,train_probe,0.25,1.2263080467224121,0.24236648537369107,20
gaussian_postrelu,1,recalibrated,train_probe,0.35,1.9425138275146483,0.2635110247751166,20
gaussian_postrelu,1,recalibrated,train_probe,0.5,2.815381951904297,0.2521969227081098,20
gaussian_postrelu,1,saved,test_probe,0.005,0.0010428688049317013,0.000385187791116665,20
gaussian_postrelu,1,saved,test_probe,0.01,0.004471603775024461,0.0016240215377401443,20
gaussian_postrelu,1,saved,test_probe,0.02,0.01908214492797857,0.006571837841019817,20
gaussian_postrelu,1,saved,test_probe,0.025,0.030387908172607486,0.010408115523240846,20
gaussian_postrelu,1,saved,test_probe,0.05,0.13556189727783208,0.04976398961226225,20
gaussian_postrelu,1,saved,test_probe,0.1,0.624653231048584,0.21273241376937083,20
gaussian_postrelu,1,saved,test_probe,0.2,2.6750964324951174,0.7414278461223641,20
gaussian_postrelu,1,saved,test_probe,0.25,4.158368615722656,1.119352352414914,20
gaussian_postrelu,1,saved,test_probe,0.35,7.9876198577880855,2.112962241901785,20
gaussian_postrelu,1,saved,test_probe,0.5,17.126036285400392,4.174208573434967,20
gaussian_postrelu,1,saved,train_probe,0.005,0.0014937507629394302,0.00039483736179405076,20
gaussian_postrelu,1,saved,train_probe,0.01,0.006112804794311502,0.0016760031897197847,20
gaussian_postrelu,1,saved,train_probe,0.02,0.024358306884765604,0.006797967606844693,20
gaussian_postrelu,1,saved,train_probe,0.025,0.038180718612670875,0.01070896787230343,20
gaussian_postrelu,1,saved,train_probe,0.05,0.15997901344299315,0.047963697055819904,20
gaussian_postrelu,1,saved,train_probe,0.1,0.68097783203125,0.2016557025998838,20
gaussian_postrelu,1,saved,train_probe,0.2,2.817241082763672,0.7003145017507562,20
gaussian_postrelu,1,saved,train_probe,0.25,4.34804958190918,1.0786843507335466,20
gaussian_postrelu,1,saved,train_probe,0.35,8.256091571044923,2.08732340544972,20
gaussian_postrelu,1,saved,train_probe,0.5,17.46246937866211,4.153916607477409,20
gaussian_postrelu,2,centre_frozen,test_probe,0.005,0.001045786285400452,0.000327912902427686,20
gaussian_postrelu,2,centre_frozen,test_probe,0.01,0.0040259231567383365,0.0012952277171900859,20
gaussian_postrelu,2,centre_frozen,test_probe,0.02,0.016051731872558647,0.004882195244571524,20
gaussian_postrelu,2,centre_frozen,test_probe,0.025,0.025249560546875043,0.007632023893907575,20
gaussian_postrelu,2,centre_frozen,test_probe,0.05,0.11172762527465825,0.03415228316860092,20
gaussian_postrelu,2,centre_frozen,test_probe,0.1,0.5401456451416016,0.1593858535593405,20
gaussian_postrelu,2,centre_frozen,test_probe,0.2,2.500629978942871,0.6149951583029216,20
gaussian_postrelu,2,centre_frozen,test_probe,0.25,3.9474135498046876,0.9275293256087189,20
gaussian_postrelu,2,centre_frozen,test_probe,0.35,7.785783486938476,1.8485545413894977,20
gaussian_postrelu,2,centre_frozen,test_probe,0.5,17.740930053710937,4.911297690755276,20
gaussian_postrelu,2,centre_frozen,train_probe,0.005,0.0012698291778564282,0.0002742847541279723,20
gaussian_postrelu,2,centre_frozen,train_probe,0.01,0.005158050918579083,0.001125353562507624,20
gaussian_postrelu,2,centre_frozen,train_probe,0.02,0.020738127517700176,0.004702338973800444,20
gaussian_postrelu,2,centre_frozen,train_probe,0.025,0.03263515205383299,0.007586142769977539,20
gaussian_postrelu,2,centre_frozen,train_probe,0.05,0.13718381805419919,0.0346351875226126,20
gaussian_postrelu,2,centre_frozen,train_probe,0.1,0.6128272567749024,0.15817593921525946,20
gaussian_postrelu,2,centre_frozen,train_probe,0.2,2.683055284118652,0.5872173113996318,20
gaussian_postrelu,2,centre_frozen,train_probe,0.25,4.178414436340331,0.8904453761666278,20
gaussian_postrelu,2,centre_frozen,train_probe,0.35,8.095001727294921,1.7964283634591698,20
gaussian_postrelu,2,centre_frozen,train_probe,0.5,18.179045907592773,4.94684583907921,20
gaussian_postrelu,2,recalibrated,test_probe,0.005,0.0003971168518066892,0.00019976252162263214,20
gaussian_postrelu,2,recalibrated,test_probe,0.01,0.0015156990051270053,0.000711483228485599,20
gaussian_postrelu,2,recalibrated,test_probe,0.02,0.005754994964599663,0.002481447717911014,20
gaussian_postrelu,2,recalibrated,test_probe,0.025,0.00903907699584966,0.00374438109544661,20
gaussian_postrelu,2,recalibrated,test_probe,0.05,0.039736358642578185,0.01771506709850887,20
gaussian_postrelu,2,recalibrated,test_probe,0.1,0.17949187316894538,0.07021202091279606,20
gaussian_postrelu,2,recalibrated,test_probe,0.2,0.7094660987854005,0.1759826151393847,20
gaussian_postrelu,2,recalibrated,test_probe,0.25,1.0406131759643555,0.2131961567593431,20
gaussian_postrelu,2,recalibrated,test_probe,0.35,1.7263090255737303,0.24616097883146223,20
gaussian_postrelu,2,recalibrated,test_probe,0.5,2.587735293579102,0.2991357427509476,20
gaussian_postrelu,2,recalibrated,train_probe,0.005,0.0005857154846191232,0.00017939228453513727,20
gaussian_postrelu,2,recalibrated,train_probe,0.01,0.0024328071594238096,0.0007652956281774343,20
gaussian_postrelu,2,recalibrated,train_probe,0.02,0.00977986240386961,0.003098849806617581,20
gaussian_postrelu,2,recalibrated,train_probe,0.025,0.01534829044342039,0.004968384182734803,20
gaussian_postrelu,2,recalibrated,train_probe,0.05,0.061858924293518046,0.02102863101697869,20
gaussian_postrelu,2,recalibrated,train_probe,0.1,0.24229242706298826,0.07334457465631333,20
gaussian_postrelu,2,recalibrated,train_probe,0.2,0.8610873291015626,0.17690597880729503,20
gaussian_postrelu,2,recalibrated,train_probe,0.25,1.231380534362793,0.21012535223548245,20
gaussian_postrelu,2,recalibrated,train_probe,0.35,1.9658466690063476,0.22815305556928855,20
gaussian_postrelu,2,recalibrated,train_probe,0.5,2.8791360717773435,0.27783944188186677,20
