method,seed,policy,split,direction,amplitude,centre_ce,dL_plus,dL_minus,S
plain,0,saved,train_probe,17,0.02,0.2235287322998047,0.032347702026367164,0.021915016174316404,0.027131359100341784
plain,0,saved,train_probe,17,0.025,0.2235287322998047,0.04923443603515626,0.03572119140625002,0.04247781372070314
plain,0,saved,train_probe,17,0.05,0.2235287322998047,0.1932317047119141,0.1536877136230469,0.1734597091674805
plain,0,saved,train_probe,17,0.1,0.2235287322998047,0.8204204864501952,0.7086476593017579,0.7645340728759765
plain,0,saved,train_probe,17,0.2,0.2235287322998047,3.309515579223633,3.2937147979736325,3.3016151885986327
plain,0,saved,train_probe,17,0.25,0.2235287322998047,5.110797683715821,5.372372146606446,5.241584915161133
plain,0,saved,train_probe,17,0.35,0.2235287322998047,11.198114334106446,11.569296463012694,11.38370539855957
plain,0,saved,train_probe,17,0.5,0.2235287322998047,27.790153884887694,25.561407791137697,26.675780838012695
plain,0,saved,train_probe,18,0.005,0.2235287322998047,0.0024758834838867205,0.0005588607788085953,0.001517372131347658
plain,0,saved,train_probe,18,0.01,0.2235287322998047,0.008301406860351551,0.004457138061523425,0.006379272460937488
plain,0,saved,train_probe,18,0.02,0.2235287322998047,0.030139083862304683,0.022782302856445308,0.026460693359374995
plain,0,saved,train_probe,18,0.025,0.2235287322998047,0.0457903289794922,0.03734169006347654,0.04156600952148437
plain,0,saved,train_probe,18,0.05,0.2235287322998047,0.17192733764648438,0.17662300109863283,0.1742751693725586
plain,0,saved,train_probe,18,0.1,0.2235287322998047,0.6510381927490234,0.9993449249267579,0.8251915588378906
plain,0,saved,train_probe,18,0.2,0.2235287322998047,2.657920120239258,6.825700271606445,4.741810195922851
plain,0,saved,train_probe,18,0.25,0.2235287322998047,4.232401443481446,12.149069900512695,8.19073567199707
plain,0,saved,train_probe,18,0.35,0.2235287322998047,8.506020584106444,26.385806228637694,17.44591340637207
plain,0,saved,train_probe,18,0.5,0.2235287322998047,16.489447830200195,56.69689900207519,36.593173416137695
plain,0,saved,train_probe,19,0.005,0.2235287322998047,0.00010646057128907427,0.0025453796386718797,0.001325920104980477
plain,0,saved,train_probe,19,0.01,0.2235287322998047,0.002980949401855476,0.007980125427246104,0.00548053741455079
plain,0,saved,train_probe,19,0.02,0.2235287322998047,0.017054367065429676,0.027390869140624996,0.022222618103027336
plain,0,saved,train_probe,19,0.025,0.2235287322998047,0.02783082580566404,0.041361724853515636,0.03459627532958984
plain,0,saved,train_probe,19,0.05,0.2235287322998047,0.12410449218750003,0.15064569091796876,0.1373750915527344
plain,0,saved,train_probe,19,0.1,0.2235287322998047,0.5619779205322266,0.6058018035888673,0.5838898620605469
plain,0,saved,train_probe,19,0.2,0.2235287322998047,2.768095291137695,2.7583520050048826,2.763223648071289
plain,0,saved,train_probe,19,0.25,0.2235287322998047,4.5871761016845705,4.329296463012695,4.458236282348633
plain,0,saved,train_probe,19,0.35,0.2235287322998047,9.384218338012696,7.17567951965332,8.279948928833008
plain,0,saved,train_probe,19,0.5,0.2235287322998047,19.492039627075194,12.312433181762696,15.902236404418945
plain,0,saved,test_probe,0,0.005,0.7621461791992188,0.0003393249511718377,0.000949859619140625,0.0006445922851562313
plain,0,saved,test_probe,0,0.01,0.7621461791992188,0.001598205566406219,0.003925689697265589,0.0027619476318359037
plain,0,saved,test_probe,0,0.02,0.7621461791992188,0.009143585205078075,0.01639480590820308,0.012769195556640578
plain,0,saved,test_probe,0,0.025,0.7621461791992188,0.014880340576171824,0.02529299926757811,0.020086669921874967
plain,0,saved,test_probe,0,0.05,0.7621461791992188,0.07217196655273439,0.10992388916015616,0.09104792785644528
plain,0,saved,test_probe,0,0.1,0.7621461791992188,0.37585223388671873,0.538519775390625,0.4571860046386719
plain,0,saved,test_probe,0,0.2,0.7621461791992188,2.049766906738281,2.4934553833007813,2.271611145019531
plain,0,saved,test_probe,0,0.25,0.7621461791992188,3.5552883911132813,3.9830759887695315,3.7691821899414064
plain,0,saved,test_probe,0,0.35,0.7621461791992188,7.058209533691406,7.304317199707031,7.181263366699218
plain,0,saved,test_probe,0,0.5,0.7621461791992188,13.857709777832032,13.587519348144532,13.722614562988282
plain,0,saved,test_probe,1,0.005,0.7621461791992188,0.003034240722656234,-0.00023239135742192385,0.001400924682617155
plain,0,saved,test_probe,1,0.01,0.7621461791992188,0.009234069824218705,0.0024956054687499396,0.005864837646484322
plain,0,saved,test_probe,1,0.02,0.7621461791992188,0.031508239746093736,0.018517639160156252,0.025012939453124994
