method,seed,a,b,train_ce,test_ce,source,policy
gaussian_postrelu,0,-0.475,-0.425,3.887112548828125,3.75256640625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.4,3.79095751953125,3.646615478515625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.375,3.6931937255859375,3.543834838867188,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.35,3.604832153320313,3.4512022705078125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.325,3.5270980224609376,3.373105712890625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.3,3.46169091796875,3.31198046875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.275,3.4092921142578123,3.26105908203125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.25,3.365936767578125,3.219511596679688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.225,3.32986083984375,3.17880078125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.2,3.298288940429688,3.14413330078125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.175,3.280167724609375,3.1247978515625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.15,3.274190673828125,3.109294921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.125,3.2832630615234377,3.104071044921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.1,3.294981689453125,3.1111943359375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.075,3.3218284912109377,3.128348510742188,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.05,3.350538696289062,3.1523544921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.025,3.3779140625,3.17977294921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.0,3.4029901123046877,3.2047684326171875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.025,3.427892822265625,3.232900390625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.05,3.445478515625,3.2600576171875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.075,3.4554970703125,3.288341552734375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.1,3.463155517578125,3.32524658203125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.125,3.464978759765625,3.362300537109375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.15,3.471137451171875,3.396652099609375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.175,3.4733035888671875,3.417609375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.2,3.474942749023437,3.424103759765625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.225,3.47260302734375,3.42329736328125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.25,3.467182373046875,3.420925659179688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.275,3.465326049804688,3.4147362060546875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.3,3.463729858398437,3.406774658203125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.325,3.466969482421875,3.4067109375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.35,3.474702880859375,3.4108251953125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.375,3.487479248046875,3.4172744140625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.4,3.497284912109375,3.425028076171875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.425,3.5118660888671878,3.43501611328125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.45,3.536001220703125,3.456206787109375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.475,3.5631451416015625,3.4840911865234374,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,0.5,3.589654296875,3.515282958984375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.5,4.13214306640625,4.049427001953125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.475,4.03250732421875,3.934619018554688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.45,3.92822900390625,3.81999658203125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.425,3.821983154296875,3.706969970703125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.4,3.721381103515625,3.593853271484375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.375,3.61999072265625,3.484218139648437,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.35,3.5217413330078124,3.3791055908203127,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.325,3.4335777587890624,3.2888162841796875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.3,3.36157666015625,3.2182637939453125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.275,3.303745361328125,3.162311279296875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.25,3.2600750732421875,3.1139493408203127,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.225,3.21769482421875,3.071757080078125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.2,3.182675537109375,3.0302816162109374,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.175,3.1624228515625,2.9962130126953124,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.15,3.147659912109375,2.9794537353515627,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.125,3.15502392578125,2.976443359375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.1,3.166935546875,2.991875244140625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.075,3.1925897216796875,3.0128294677734373,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.05,3.220778076171875,3.037663696289062,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,-0.025,3.2543216552734373,3.067931884765625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.0,3.283761962890625,3.0931949462890627,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.025,3.3108553466796877,3.119919799804688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.05,3.3298529052734374,3.1479656982421877,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.075,3.3441787109375,3.1787501220703125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.1,3.346207275390625,3.2145390625,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.125,3.3456087646484374,3.2530980224609376,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.15,3.3526270751953127,3.2892763671875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.175,3.361155151367188,3.312474487304688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.2,3.366960205078125,3.323582763671875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.225,3.36757568359375,3.326570068359375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.25,3.3671728515625,3.330180419921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.45,0.275,3.3709425048828123,3.331989501953125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
