A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,gaussian_postrelu,3,0.8,0.6387820434570313,0.777,0.8130713806152344,0.731
plain,gaussian_postrelu,3,0.8200000000000001,0.5678812866210937,0.793,0.7603235473632812,0.751
plain,gaussian_postrelu,3,0.84,0.5039402313232422,0.82,0.7144364013671874,0.753
plain,gaussian_postrelu,3,0.86,0.4474880981445313,0.839,0.673334716796875,0.761
plain,gaussian_postrelu,3,0.88,0.39920668029785156,0.867,0.6412659912109375,0.776
plain,gaussian_postrelu,3,0.9,0.3596400909423828,0.881,0.6159060974121093,0.784
plain,gaussian_postrelu,3,0.92,0.3263418426513672,0.891,0.5956856079101562,0.799
plain,gaussian_postrelu,3,0.9400000000000001,0.29878240966796876,0.901,0.5793511962890625,0.802
plain,gaussian_postrelu,3,0.96,0.27794354248046876,0.914,0.567563720703125,0.807
plain,gaussian_postrelu,3,0.98,0.26373733520507814,0.92,0.5599331359863281,0.803
plain,gaussian_postrelu,3,1.0,0.25617376708984374,0.924,0.5582676391601562,0.798
plain,resolution_max_b1,3,0.0,0.17704528045654297,0.952,0.7611475219726562,0.753
plain,resolution_max_b1,3,0.02,0.1866268768310547,0.951,0.7548727416992187,0.753
plain,resolution_max_b1,3,0.04,0.20288975524902345,0.945,0.7514354248046875,0.748
plain,resolution_max_b1,3,0.06,0.22642410278320313,0.933,0.7529599609375,0.745
plain,resolution_max_b1,3,0.08,0.25600140380859376,0.93,0.7585566101074219,0.752
plain,resolution_max_b1,3,0.1,0.2909070587158203,0.912,0.7682766723632812,0.75
plain,resolution_max_b1,3,0.12,0.33218797302246095,0.893,0.7820775756835937,0.749
plain,resolution_max_b1,3,0.14,0.3791650238037109,0.866,0.7980949096679687,0.743
plain,resolution_max_b1,3,0.16,0.4304123992919922,0.844,0.8171554870605469,0.732
plain,resolution_max_b1,3,0.18,0.485013916015625,0.825,0.8388041076660157,0.724
plain,resolution_max_b1,3,0.2,0.5432859954833984,0.802,0.8631426391601562,0.712
