study,method,n,acc,sd,delta,delta_sd,positive,negative,per_seed,train_ce,test_ce,train_ce_delta,test_ce_delta,higher_train,lower_test,train_acc,train_minutes,wall_minutes,train_ratio,wall_ratio
resnet20gn_cifar10,resolution_max_b1_gaussian_conv,3,78.85333333333334,0.21361959960016103,3.3733333333333317,0.6651566231597892,3,0,"[4.139999999999999, 2.949999999999997, 3.0299999999999994]",0.47196913655598954,0.6137776957194011,-0.041957021077473955,-0.09985875854492184,1,3,84.2,10.941583985038891,11.823098542255556,1.4392255250649848,1.4891412812640992
stl10,plain,3,57.34583333333333,0.5269803917920822,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.9027117716471355,1.1558599955240885,0.0,0.0,0,0,69.46666666666667,9.17375298219444,10.428881885094446,1.0,1.0
stl10,resolution_max_b1,3,59.92916666666667,0.4493629750361483,2.583333333333334,0.13010412496663054,3,0,"[2.4375000000000036, 2.6249999999999996, 2.6874999999999982]",0.8320738932291668,1.0842009315490724,-0.07063787841796876,-0.07165906397501616,0,3,70.86666666666666,8.057985474722221,10.387705747205555,0.8794830967898569,0.9976355023102039
stl10,gaussian_postrelu,3,58.4375,1.5466192970475978,1.0916666666666686,1.068902279599654,3,0,"[2.1500000000000075, 1.112499999999994, 0.012500000000004174]",0.979239522298177,1.142621866861979,0.07652775065104167,-0.013238128662109272,3,2,65.0,13.625708252377784,17.359973001333337,1.4877734821579771,1.6677596852900247
stl10,resolution_max_b1_gaussian_conv,3,56.05833333333333,0.43773803048551485,-1.2875000000000008,0.526930972708956,0,3,"[-1.0749999999999926, -1.8875000000000086, -0.9000000000000008]",1.1012080485026043,1.2115712178548177,0.19849627685546878,0.05571122233072915,3,0,62.26666666666666,14.590718961238887,18.610697713133334,1.5927879930788764,1.7874317373219153
svhn,plain,3,93.10335996721983,0.02908680775353364,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.033607312520345,0.24763750410231378,0.0,0.0,0,0,99.86666666666667,7.457377324333336,8.15828841973889,1.0,1.0
svhn,resolution_max_b1,3,94.26347060028682,0.07044941970640939,1.160110633067002,0.09464263210475123,3,0,"[1.171634910878927, 1.2484634296250796, 1.060233558696999]",0.10504500834147135,0.20179508316287295,0.07143769582112634,-0.04584242093944083,3,3,97.33333333333333,7.040373383427778,8.312570081872222,0.945113982145316,1.020196624012531
svhn,gaussian_postrelu,3,94.26347060028682,0.1404267565985626,1.1601106330669946,0.11758779859414363,3,0,"[1.2830362630608438, 1.0487092808850629, 1.1485863552550768]",0.0696175778706868,0.20248805365951253,0.0360102653503418,-0.04514945044280124,3,3,98.46666666666665,9.337590034566663,11.174362674166668,1.2526956970829848,1.3707531695727122
svhn,resolution_max_b1_gaussian_conv,3,94.8460868674452,0.19820914094508466,1.7427269002253627,0.1692117966360904,3,0,"[1.8016287645974072, 1.5519360786724001, 1.874615857406281]",0.10658484141031895,0.18322609467258266,0.07297752888997394,-0.0644114094297311,3,3,97.13333333333333,10.638588594505556,12.594020306444442,1.427591733165548,1.5451437121484919
vgg11_cifar10,plain,3,80.66666666666666,0.6141932377789077,0.0,0.0,0,0,"[0.0, 0.0, 0.0]",0.00015654891232643335,0.881376410929362,0.0,0.0,0,0,100.0,9.757142998588892,10.14175239391111,1.0,1.0
vgg11_cifar10,resolution_max_b1,3,83.76666666666667,0.4123509831846336,3.1000000000000028,0.37000000000000366,3,0,"[3.1000000000000028, 3.4700000000000064, 2.729999999999999]",0.0007459863424300666,0.6681787882486979,0.0005894374301036333,-0.21319762268066408,3,3,100.0,9.163467290222224,9.82949261605,0.9421165598677469,0.9725035072232414
vgg11_cifar10,gaussian_postrelu,3,84.66,0.24515301344262613,3.9933333333333305,0.625646332470144,3,0,"[3.7699999999999956, 4.700000000000005, 3.509999999999991]",0.0007427010337511334,0.6409161448160807,0.0005861521214247,-0.24046026611328122,3,3,100.0,12.898166383344442,14.108346151133333,1.3266522026203431,1.3966059037283964
vgg11_cifar10,resolution_max_b1_gaussian_conv,3,84.54333333333334,0.4523641600893418,3.876666666666665,0.5762233363317883,3,0,"[3.9200000000000013, 4.430000000000001, 3.279999999999994]",0.0020921980142593003,0.5927076075236003,0.0019356491019328667,-0.28866880340576173,3,3,100.0,12.096191810388888,13.169320485716668,1.2440132709519358,1.3033401344760527
