cell,radius,energy_fraction
gaussian_postrelu__lr_high__seed0,21,0.004188900402134105
gaussian_postrelu__lr_high__seed0,22,0.000818921336358332
gaussian_postrelu__lr_high__seed0,23,0.00024038566653539138
gaussian_postrelu__reference__seed2,0,0.0006408985893214971
gaussian_postrelu__reference__seed2,1,0.00470460744220886
gaussian_postrelu__reference__seed2,2,0.00874423384630027
gaussian_postrelu__reference__seed2,3,0.014600472794240642
gaussian_postrelu__reference__seed2,4,0.0365170238588901
gaussian_postrelu__reference__seed2,5,0.038007633827051274
gaussian_postrelu__reference__seed2,6,0.06081084229317557
gaussian_postrelu__reference__seed2,7,0.06353011903856057
gaussian_postrelu__reference__seed2,8,0.07765169386511633
gaussian_postrelu__reference__seed2,9,0.10230177374578711
gaussian_postrelu__reference__seed2,10,0.07614448757147611
gaussian_postrelu__reference__seed2,11,0.08967041655224262
gaussian_postrelu__reference__seed2,12,0.07406652782643144
gaussian_postrelu__reference__seed2,13,0.08251410827608058
gaussian_postrelu__reference__seed2,14,0.07247131696719174
gaussian_postrelu__reference__seed2,15,0.06411846130017891
gaussian_postrelu__reference__seed2,16,0.05990203072888575
gaussian_postrelu__reference__seed2,17,0.030732029973206745
gaussian_postrelu__reference__seed2,18,0.017190848198176158
gaussian_postrelu__reference__seed2,19,0.011240084775268633
gaussian_postrelu__reference__seed2,20,0.0052934368256664175
gaussian_postrelu__reference__seed2,21,0.006851394200338819
gaussian_postrelu__reference__seed2,22,0.001661998929674897
gaussian_postrelu__reference__seed2,23,0.0006335585745289669
plain__lr_low__seed0,0,0.0005497554711757576
plain__lr_low__seed0,1,0.003362368036246445
plain__lr_low__seed0,2,0.005270855338534493
plain__lr_low__seed0,3,0.008199030791539358
plain__lr_low__seed0,4,0.019502818894850053
plain__lr_low__seed0,5,0.020337001747551934
plain__lr_low__seed0,6,0.03222608148556895
plain__lr_low__seed0,7,0.035486893584050744
plain__lr_low__seed0,8,0.04464384938031732
plain__lr_low__seed0,9,0.06414807046906618
plain__lr_low__seed0,10,0.054949433613381324
plain__lr_low__seed0,11,0.07314500977881247
plain__lr_low__seed0,12,0.07224932246185016
plain__lr_low__seed0,13,0.09723219859852933
plain__lr_low__seed0,14,0.10500363485865682
plain__lr_low__seed0,15,0.10685437357801092
plain__lr_low__seed0,16,0.11214530285750468
plain__lr_low__seed0,17,0.061799824344742266
plain__lr_low__seed0,18,0.03663177022727301
plain__lr_low__seed0,19,0.023060796082371056
plain__lr_low__seed0,20,0.009548868001853632
plain__lr_low__seed0,21,0.010655021528699852
plain__lr_low__seed0,22,0.002193281156694837
plain__lr_low__seed0,23,0.000804437712718398
plain__wd_high__seed0,0,0.00020795992122878086
plain__wd_high__seed0,1,0.0016638990028903997
plain__wd_high__seed0,2,0.0033027483542814786
plain__wd_high__seed0,3,0.006100897478318319
plain__wd_high__seed0,4,0.01599806132734042
plain__wd_high__seed0,5,0.018122476607718988
plain__wd_high__seed0,6,0.02941071022537632
plain__wd_high__seed0,7,0.03398088770544666
plain__wd_high__seed0,8,0.044233215146187964
plain__wd_high__seed0,9,0.06468883991868524
plain__wd_high__seed0,10,0.05666970206747629
plain__wd_high__seed0,11,0.07501330322449329
plain__wd_high__seed0,12,0.07631211931792203
plain__wd_high__seed0,13,0.10462934601402075
plain__wd_high__seed0,14,0.11347978686147106
plain__wd_high__seed0,15,0.11683121423234354
plain__wd_high__seed0,16,0.119768030287997
plain__wd_high__seed0,17,0.06550965816931041
plain__wd_high__seed0,18,0.028620674062778455
plain__wd_high__seed0,19,0.015222643359203598
plain__wd_high__seed0,20,0.004873028941887183
plain__wd_high__seed0,21,0.004409784105525947
plain__wd_high__seed0,22,0.0007352270523368469
