policy,split,amplitude,method,n_seeds,mean_diff_vs_plain,sd_across_seeds,n_seeds_lower_than_plain,seed0,seed1,seed2,seed3,seed4
saved,test_probe,0.05,gaussian_postrelu,5,-0.002573032531738248,0.024717629254024417,3,-0.005391311645507768,-0.0190479927062987,-0.032999182128906165,0.023452504730224644,0.02112081909179675
saved,test_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.056598402099609355,0.009687837758436303,5,-0.051750476837158166,-0.06448681640625001,-0.06519594116210935,-0.059383102798461845,-0.04217567329406745
saved,test_probe,0.1,resolution_max_b1,5,-0.21224170700073247,0.041017225586320455,5,-0.187028044128418,-0.2527480972290038,-0.25371347808837896,-0.20754640350341796,-0.1601725120544436
saved,test_probe,0.1,gaussian_postrelu,5,0.009706398010253903,0.10905420053546898,2,0.024984284973144533,-0.08738433609008778,-0.1152196090698242,0.1346890846252442,0.09146256561279276
saved,test_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.2445999482727051,0.04593254597188193,5,-0.24502466812133789,-0.2989534744262695,-0.28033655014038095,-0.2067968978881835,-0.19188815078735366
saved,test_probe,0.2,resolution_max_b1,5,-0.874925307922363,0.15103088037131454,5,-0.9330290557861329,-0.9913299774169917,-0.9999283920288082,-0.8083436935424797,-0.6419954208374024
saved,test_probe,0.2,gaussian_postrelu,5,-0.3098649154663084,0.3653354671769868,4,-0.1347366210937504,-0.757630786132812,-0.6415584533691399,0.06331884002685584,-0.07871755676269565
saved,test_probe,0.2,resolution_max_b1_gaussian_conv,5,-1.0359162149047847,0.20808844982752842,5,-1.226194206237793,-1.2558044982910155,-1.0465414321899407,-0.8248114074707025,-0.826229530334472
saved,test_probe,0.25,resolution_max_b1,5,-1.2429372933959957,0.2136473412736047,5,-1.508371812438965,-1.343174569702147,-1.2779335510253902,-1.1440566253662112,-0.9411499084472656
saved,test_probe,0.25,gaussian_postrelu,5,-0.6979126647949215,0.41404460448508434,5,-0.5287945129394531,-1.2743169616699213,-0.9771374816894527,-0.2795781372070314,-0.4297362304687491
saved,test_probe,0.25,resolution_max_b1_gaussian_conv,5,-1.509822388000488,0.33625796894114074,5,-1.9272590576171877,-1.8182302307128895,-1.305612130737304,-1.2997789688110353,-1.1982315521240237
recalibrated,train_probe,0.025,resolution_max_b1,5,-0.005001470069885244,0.0018638099330155623,5,-0.003903800964355471,-0.007159192466735806,-0.006861773490905762,-0.0031478860855102316,-0.003934697341918952
recalibrated,train_probe,0.025,gaussian_postrelu,5,0.0031909200668334982,0.0026895404312518747,1,0.0025707569122314297,0.0015759241104126246,-8.328247070320954e-06,0.006593731117248541,0.005222516441345217
recalibrated,train_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.005306600303649893,0.002311677011103585,5,-0.005763369369506845,-0.00713815250396726,-0.00732121791839597,-0.0016558218002319294,-0.004654439926147461
recalibrated,train_probe,0.05,resolution_max_b1,5,-0.01749800884246826,0.005822603916663713,5,-0.013296183776855479,-0.024750210189819287,-0.02265549125671388,-0.011800810813903793,-0.014987348175048855
recalibrated,train_probe,0.05,gaussian_postrelu,5,0.019199610595703125,0.01283802311750048,0,0.013963567352294926,0.012794061660766624,0.005311871528625466,0.03796717014312745,0.02596138229370116
recalibrated,train_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.019092202873229984,0.007415561262223086,5,-0.02096601638793946,-0.025103601455688462,-0.024284114456176745,-0.00672901325225831,-0.018378268814086933
recalibrated,train_probe,0.1,resolution_max_b1,5,-0.06125487083435057,0.01680985275171016,5,-0.04465356216430666,-0.08309169654846188,-0.0739536334991455,-0.04700774879455563,-0.057567713165283224
recalibrated,train_probe,0.1,gaussian_postrelu,5,0.08351630653381348,0.04286396054220404,0,0.06701348495483397,0.062029526901245136,0.03781097412109369,0.14798956909179695,0.10273797760009765
recalibrated,train_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.06796291053771972,0.024992097117535306,5,-0.07548964462280275,-0.08929078025817869,-0.07939508972167963,-0.024964730072021463,-0.07067430801391605
recalibrated,train_probe,0.2,resolution_max_b1,5,-0.18969011001586905,0.04369395957615665,5,-0.13961517105102544,-0.2540256408691405,-0.20848814773559554,-0.1664419540405272,-0.1798796363830566
recalibrated,train_probe,0.2,gaussian_postrelu,5,0.21293277481079106,0.094548035463139,0,0.19506256866455063,0.12245005798339847,0.15206468276977558,0.36546992340087914,0.22961664123535153
recalibrated,train_probe,0.2,resolution_max_b1_gaussian_conv,5,-0.2196968803405761,0.07521094083391466,5,-0.23594741439819333,-0.2952313850402831,-0.22926259460449205,-0.09342484130859363,-0.2446181663513184
recalibrated,train_probe,0.25,resolution_max_b1,5,-0.2570071975708007,0.054719998547914796,5,-0.19821513519287093,-0.34117894058227527,-0.27577287445068344,-0.22754645004272467,-0.24232258758544933
recalibrated,train_probe,0.25,gaussian_postrelu,5,0.24048544845581055,0.11573789969887278,0,0.22805771560668964,0.11529131240844714,0.1860933898925783,0.4269353645324707,0.24604945983886695
recalibrated,train_probe,0.25,resolution_max_b1_gaussian_conv,5,-0.3028653343200683,0.09770341289647609,5,-0.31961134185791007,-0.405489891052246,-0.3067500770568845,-0.14183805160522467,-0.3406373100280762
recalibrated,test_probe,0.025,resolution_max_b1,5,-0.0002334888458252294,0.0008299229544796528,3,0.0006300727844237965,0.0004392677307128723,-0.000597809219360413,-0.00142662429809573,-0.00021235122680667278
recalibrated,test_probe,0.025,gaussian_postrelu,5,0.0048210861968993966,0.002324802086707629,0,0.0028610527038573537,0.00484849700927733,0.002171562957763667,0.006752762222290043,0.00747155609130859
recalibrated,test_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.0009242411804199626,0.0008831477533597162,4,-0.0005246669769286725,-0.0017166038513184547,-0.0016904815673829182,-0.0010773601531982374,0.00038790664672846975
recalibrated,test_probe,0.05,resolution_max_b1,5,-0.002512059478759792,0.001951913522900257,5,-0.00021482391357422956,-0.0014082756042480549,-0.004314439392089892,-0.0047635910034180065,-0.0018591674804687777
recalibrated,test_probe,0.05,gaussian_postrelu,5,0.024400519943237307,0.012439639432766336,0,0.013795174026489217,0.02327652282714844,0.01121542663574221,0.04010046310424807,0.03361501312255859
recalibrated,test_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.004027152404785185,0.0036632561655610177,4,-0.005158070373535117,-0.007254049682617267,-0.007184032058715914,-0.001645438003540025,0.0011058280944823973
recalibrated,test_probe,0.1,resolution_max_b1,5,-0.009573359985351604,0.006292635688012369,5,-0.0008358871459961392,-0.015028817749023426,-0.014260950469970779,-0.012699559020996135,-0.00504158554077154
recalibrated,test_probe,0.1,gaussian_postrelu,5,0.11137903579711912,0.0408561365747598,0,0.07786244430541986,0.10656859283447268,0.0684131652832031,0.16581060867309572,0.1382403678894043
recalibrated,test_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.013439123077392617,0.015705576979627146,4,-0.022350523376464815,-0.028657019805908276,-0.022063683319091892,0.008633090209960947,-0.0027574790954590506
recalibrated,test_probe,0.2,resolution_max_b1,5,-0.04654395401000973,0.04324272352337433,4,0.008111615753173873,-0.10345113372802728,-0.07373335266113284,-0.038204055023193295,-0.02544284439086908
recalibrated,test_probe,0.2,gaussian_postrelu,5,0.3164838716125488,0.09073508261102614,0,0.2781323020935057,0.25931533050537126,0.23610140075683594,0.460382169342041,0.34848815536499034
recalibrated,test_probe,0.2,resolution_max_b1_gaussian_conv,5,-0.06316860275268553,0.07240183661918931,4,-0.07248582000732412,-0.14231402587890624,-0.0988470680236817,0.05200013885498045,-0.05419623870849605
recalibrated,test_probe,0.25,resolution_max_b1,5,-0.07645219741821281,0.06533882111258746,5,-0.0009847610473633361,-0.1647456878662108,-0.12036696319580065,-0.05294516067504873,-0.04321841430664053
recalibrated,test_probe,0.25,gaussian_postrelu,5,0.3827144195556642,0.11728527250484223,0,0.3632738845825194,0.2875016174316407,0.2829813949584965,0.5694453155517579,0.4103698852539066
recalibrated,test_probe,0.25,resolution_max_b1_gaussian_conv,5,-0.10474246444702143,0.10213627909773283,4,-0.1056813705444335,-0.22010376968383794,-0.15482272491455074,0.05612950210571299,-0.09923395919799793
