method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
gaussian_postrelu,1,recalibrated,train_probe,0.1,20,0.272630818939209,0.09042511530411027,0.12072314453124999,0.4343209686279297
gaussian_postrelu,1,recalibrated,train_probe,0.2,20,0.8728888389587401,0.20499371589337717,0.47336390686035157,1.1863495330810547
gaussian_postrelu,1,recalibrated,train_probe,0.25,20,1.226308046722412,0.24236648537369107,0.7543974761962892,1.627839401245117
gaussian_postrelu,1,saved,test_probe,0.025,20,0.030387908172607492,0.010408115523240842,0.015225921630859451,0.06052099609375006
gaussian_postrelu,1,saved,test_probe,0.05,20,0.13556189727783213,0.049763989612262235,0.061963165283203114,0.27204560852050785
gaussian_postrelu,1,saved,test_probe,0.1,20,0.6246532310485841,0.21273241376937083,0.30487733459472666,1.2624232177734376
gaussian_postrelu,1,saved,test_probe,0.2,20,2.6750964324951174,0.7414278461223641,1.5751188964843752,4.485935760498047
gaussian_postrelu,1,saved,test_probe,0.25,20,4.158368615722656,1.1193523524149138,2.5338622741699224,6.239341217041016
gaussian_postrelu,1,saved,train_probe,0.025,20,0.03818071861267086,0.010708967872303438,0.02022827911376951,0.06687226867675783
gaussian_postrelu,1,saved,train_probe,0.05,20,0.15997901344299317,0.04796369705581991,0.07854148864746097,0.28155718994140627
gaussian_postrelu,1,saved,train_probe,0.1,20,0.68097783203125,0.20165570259988377,0.34463421630859375,1.270103576660156
gaussian_postrelu,1,saved,train_probe,0.2,20,2.817241082763672,0.700314501750756,1.7101100463867185,4.451811706542968
gaussian_postrelu,1,saved,train_probe,0.25,20,4.348049581909179,1.0786843507335464,2.738655578613282,6.346040222167968
gaussian_postrelu,2,recalibrated,test_probe,0.025,20,0.00903907699584966,0.003744381095446622,0.004003707885742225,0.017738388061523502
gaussian_postrelu,2,recalibrated,test_probe,0.05,20,0.03973635864257819,0.017715067098508872,0.019378753662109394,0.08205409240722661
gaussian_postrelu,2,recalibrated,test_probe,0.1,20,0.17949187316894535,0.07021202091279606,0.09920617675781251,0.34882095336914065
gaussian_postrelu,2,recalibrated,test_probe,0.2,20,0.7094660987854005,0.1759826151393847,0.44952557373046886,1.0291358642578126
gaussian_postrelu,2,recalibrated,test_probe,0.25,20,1.0406131759643558,0.2131961567593431,0.6838301086425782,1.342610107421875
gaussian_postrelu,2,recalibrated,train_probe,0.025,20,0.015348290443420393,0.004968384182734801,0.009404937744140585,0.025323524475097614
gaussian_postrelu,2,recalibrated,train_probe,0.05,20,0.061858924293518046,0.02102863101697868,0.03740202331542969,0.10885636901855467
gaussian_postrelu,2,recalibrated,train_probe,0.1,20,0.2422924270629882,0.07334457465631333,0.15170339202880856,0.4125413513183594
gaussian_postrelu,2,recalibrated,train_probe,0.2,20,0.8610873291015626,0.176905978807295,0.5564064636230468,1.1782883758544922
gaussian_postrelu,2,recalibrated,train_probe,0.25,20,1.231380534362793,0.21012535223548245,0.8274530181884765,1.5254422454833985
gaussian_postrelu,2,saved,test_probe,0.025,20,0.02595077285766606,0.007961626081967802,0.011165847778320415,0.04520541381835941
gaussian_postrelu,2,saved,test_probe,0.05,20,0.11409453735351567,0.035197029210421574,0.05409475708007816,0.19345538330078138
gaussian_postrelu,2,saved,test_probe,0.1,20,0.5461786415100098,0.16254359775426225,0.2892767028808595,0.811661376953125
gaussian_postrelu,2,saved,test_probe,0.2,20,2.5218291809082034,0.6272297354460046,1.3391563110351563,3.5958768920898434
gaussian_postrelu,2,saved,test_probe,0.25,20,3.980065005493164,0.9386634426361027,2.1362437133789065,5.4866682739257815
gaussian_postrelu,2,saved,train_probe,0.025,20,0.032959823417663556,0.007935271930022886,0.021022861480712862,0.04991366577148437
gaussian_postrelu,2,saved,train_probe,0.05,20,0.13867854537963864,0.03586698018104561,0.08354149627685548,0.21069716644287106
gaussian_postrelu,2,saved,train_probe,0.1,20,0.6188186714172363,0.1622006360273458,0.35323263549804684,0.8883552246093749
gaussian_postrelu,2,saved,train_probe,0.2,20,2.704651860046387,0.5996799084965543,1.5221437683105468,3.7571111145019533
gaussian_postrelu,2,saved,train_probe,0.25,20,4.212016137695312,0.9016695605499676,2.3479046936035153,5.675647369384766
gaussian_postrelu,3,recalibrated,test_probe,0.025,20,0.014193187332153351,0.007863462316199114,0.00600275421142582,0.03690910339355469
gaussian_postrelu,3,recalibrated,test_probe,0.05,20,0.06957568511962894,0.03255579392769591,0.03248338317871102,0.14935278320312506
gaussian_postrelu,3,recalibrated,test_probe,0.1,20,0.27927715606689457,0.09065358576082294,0.15012239074707034,0.48437065124511713
gaussian_postrelu,3,recalibrated,test_probe,0.2,20,0.9089584121704102,0.18327593769407674,0.5485545043945312,1.3000753173828126
