method,transition_update,seed,state_label,state,split,L_center_saved,L_center_recalibrated,S_recal_eps0.025,n_dirs_eps0.025,S_recal_eps0.05,n_dirs_eps0.05,S_recal_eps0.1,n_dirs_eps0.1,S_recal_eps0.2,n_dirs_eps0.2,S_recal_eps0.25,n_dirs_eps0.25
gaussian_postrelu,1173,1,before,"{""resolution"": null, ""sigma"": 1.0}",train_probe,1.163728271484375,1.0975481567382812,0.008475119018554734,10,0.03694893798828129,10,0.15004125976562505,10,0.507485760498047,10,0.7078987457275391,10
gaussian_postrelu,1173,1,before,"{""resolution"": null, ""sigma"": 1.0}",test_probe,1.197280517578125,1.1491889038085938,0.010653146362304588,10,0.040338497924804595,10,0.1478737304687499,10,0.48914266052246075,10,0.6787643585205078,10
gaussian_postrelu,1173,1,after,"{""resolution"": null, ""sigma"": 0.85}",train_probe,1.2389942626953125,1.0909322509765624,0.00824158935546886,10,0.03506101379394544,10,0.13958063354492192,10,0.4710884826660157,10,0.6580988311767579,10
gaussian_postrelu,1173,1,after,"{""resolution"": null, ""sigma"": 0.85}",test_probe,1.2595172119140625,1.1359733276367188,0.009271987915039071,10,0.03647189025878903,10,0.13655402221679686,10,0.4542250915527344,10,0.6325807952880858,10
gaussian_postrelu,1173,1,final,"{""resolution"": null, ""sigma"": 0.0}",train_probe,3.550977783203125,1.8868575439453126,0.005377206420898362,10,0.020438262939453077,10,0.07001506042480463,10,0.20453540344238275,10,0.2758583587646484,10
gaussian_postrelu,1173,1,final,"{""resolution"": null, ""sigma"": 0.0}",test_probe,3.5573143310546875,1.8730616455078124,0.007512466430664144,10,0.0257382354736329,10,0.08181902770996108,10,0.21924437561035162,10,0.2890237274169923,10
gaussian_postrelu,1173,2,before,"{""resolution"": null, ""sigma"": 1.0}",train_probe,1.113965576171875,1.0626693725585938,0.010406292724609245,10,0.041164358520507746,10,0.15933720092773435,10,0.48307909240722646,10,0.6520569000244139,10
gaussian_postrelu,1173,2,before,"{""resolution"": null, ""sigma"": 1.0}",test_probe,1.166549560546875,1.1198358764648437,0.009117053222656301,10,0.03703695678710939,10,0.1446483337402344,10,0.44567271728515634,10,0.6101675109863282,10
gaussian_postrelu,1173,2,after,"{""resolution"": null, ""sigma"": 0.85}",train_probe,1.1384300537109375,1.0749354858398437,0.009215625000000106,10,0.03662620849609379,10,0.1415381561279298,10,0.43802577514648444,10,0.5955223663330079,10
gaussian_postrelu,1173,2,after,"{""resolution"": null, ""sigma"": 0.85}",test_probe,1.1935607299804687,1.1240944213867188,0.008595343017578073,10,0.03399300842285154,10,0.1317658264160157,10,0.4090134521484375,10,0.5629090484619139,10
