method,seed,policy,split,direction,direction_seed,amplitude,L_center,dL_plus,dL_minus,S,acc_center,acc_plus,acc_minus
plain,0,saved,train_probe,6,1056382235,0.025,0.2235287322998047,0.05022018432617187,0.0407292022705078,0.04547469329833981,0.941,0.913,0.917
plain,0,saved,test_probe,6,1056382235,0.025,0.7621461791992188,0.06713327026367188,0.011457092285156234,0.039295181274414004,0.739,0.719,0.74
plain,0,saved,train_probe,6,1056382235,0.05,0.2235287322998047,0.1916722869873047,0.1949101715087891,0.19329122924804693,0.941,0.849,0.836
plain,0,saved,test_probe,6,1056382235,0.05,0.7621461791992188,0.20033081054687496,0.12173837280273436,0.1610345916748046,0.739,0.693,0.719
plain,0,saved,train_probe,6,1056382235,0.1,0.2235287322998047,0.7339310760498048,0.9929275054931641,0.8634292907714844,0.941,0.694,0.62
plain,0,saved,test_probe,6,1056382235,0.1,0.7621461791992188,0.6493200073242187,0.7897979125976562,0.7195589599609373,0.739,0.625,0.57
plain,0,saved,train_probe,6,1056382235,0.2,0.2235287322998047,2.7193228302001953,5.2182622833251955,3.968792556762695,0.941,0.42,0.253
plain,0,saved,test_probe,6,1056382235,0.2,0.7621461791992188,2.319491271972656,4.785626281738281,3.552558776855469,0.739,0.386,0.247
plain,0,saved,train_probe,6,1056382235,0.25,0.2235287322998047,3.995734939575195,8.231594314575196,6.113664627075195,0.941,0.297,0.207
plain,0,saved,test_probe,6,1056382235,0.25,0.7621461791992188,3.548987609863281,7.741023742675781,5.64500567626953,0.739,0.278,0.207
plain,0,saved,train_probe,7,2102009476,0.025,0.2235287322998047,0.025948806762695314,0.030668556213378884,0.028308681488037113,0.941,0.93,0.93
plain,0,saved,test_probe,7,2102009476,0.025,0.7621461791992188,0.027776092529296803,0.01753231811523437,0.022654205322265586,0.739,0.73,0.739
plain,0,saved,train_probe,7,2102009476,0.05,0.2235287322998047,0.11082106018066407,0.11759338378906248,0.11420722198486327,0.941,0.883,0.887
plain,0,saved,test_probe,7,2102009476,0.05,0.7621461791992188,0.10624740600585936,0.08322940063476558,0.09473840332031247,0.739,0.72,0.727
plain,0,saved,train_probe,7,2102009476,0.1,0.2235287322998047,0.4885053863525391,0.4734032745361328,0.48095433044433594,0.941,0.752,0.761
plain,0,saved,test_probe,7,2102009476,0.1,0.7621461791992188,0.42952520751953127,0.3750117797851562,0.40226849365234374,0.739,0.661,0.664
plain,0,saved,train_probe,7,2102009476,0.2,0.2235287322998047,2.19682014465332,1.970481521606445,2.083650833129883,0.941,0.475,0.442
plain,0,saved,test_probe,7,2102009476,0.2,0.7621461791992188,1.809196838378906,1.623760803222656,1.7164788208007813,0.739,0.444,0.405
plain,0,saved,train_probe,7,2102009476,0.25,0.2235287322998047,3.467739822387695,3.1397251739501955,3.3037324981689453,0.941,0.353,0.283
plain,0,saved,test_probe,7,2102009476,0.25,0.7621461791992188,2.946160705566406,2.7163519897460935,2.8312563476562502,0.739,0.337,0.272
plain,0,saved,train_probe,8,1641102468,0.025,0.2235287322998047,0.03815429687499999,0.03983195495605468,0.03899312591552734,0.941,0.928,0.922
plain,0,saved,test_probe,8,1641102468,0.025,0.7621461791992188,0.026979187011718753,0.034095947265624926,0.03053756713867184,0.739,0.731,0.745
plain,0,saved,train_probe,8,1641102468,0.05,0.2235287322998047,0.15248530578613279,0.15944798278808592,0.15596664428710932,0.941,0.863,0.865
plain,0,saved,test_probe,8,1641102468,0.05,0.7621461791992188,0.11920260620117185,0.14594360351562496,0.13257310485839846,0.739,0.701,0.718
plain,0,saved,train_probe,8,1641102468,0.1,0.2235287322998047,0.6397114715576171,0.711915786743164,0.6758136291503907,0.941,0.708,0.713
plain,0,saved,test_probe,8,1641102468,0.1,0.7621461791992188,0.5580713500976562,0.6477028198242187,0.6028870849609376,0.739,0.615,0.608
plain,0,saved,train_probe,8,1641102468,0.2,0.2235287322998047,3.638881301879883,3.4073250274658204,3.5231031646728517,0.941,0.304,0.365
plain,0,saved,test_probe,8,1641102468,0.2,0.7621461791992188,3.2030982055664063,3.1146115112304686,3.1588548583984375,0.739,0.31,0.344
plain,0,saved,train_probe,8,1641102468,0.25,0.2235287322998047,6.28839387512207,5.3237574005126955,5.806075637817383,0.941,0.197,0.259
plain,0,saved,test_probe,8,1641102468,0.25,0.7621461791992188,5.708367248535157,4.902170227050782,5.30526873779297,0.739,0.19,0.252
plain,0,saved,train_probe,9,1483983997,0.025,0.2235287322998047,0.0463351593017578,0.021901046752929698,0.03411810302734375,0.941,0.915,0.927
plain,0,saved,test_probe,9,1483983997,0.025,0.7621461791992188,0.01894219970703126,0.032182739257812454,0.025562469482421912,0.739,0.747,0.725
plain,0,saved,train_probe,9,1483983997,0.05,0.2235287322998047,0.1674131622314453,0.10923864746093748,0.1383259048461914,0.941,0.866,0.895
