seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,10,0.09791406293139851,0.660115393002828,0.7736378205128205,15.755223274230957,3168.473028347908,1.0,1.0,1.0,[1.0],0,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.7147696105957031,0.7607,0.7607,0.7613,0.706085986328125,2.0580822359586093,0.17499036217418446,0.5731529891490936,0.0
0,11,0.09716764694619869,0.64702736834685,0.7778645833333333,15.792487859725952,3160.9965727633153,1.0,1.0,1.0,[1.0],0,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.6495786743164063,0.7777,0.7777,0.7672,0.7103495971679687,,,,
0,12,0.09631106873602673,0.6382240825738662,0.7789463141025641,15.753454685211182,3168.828742489305,1.0,1.0,1.0,[1.0],0,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.7576492126464843,0.7382,0.7382,0.7726,0.6678738586425781,,,,
0,13,0.09534632887898234,0.626802013699825,0.7835336538461538,15.768495559692383,3165.806136103821,1.0,1.0,1.0,[1.0],0,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.7435723754882813,0.7355,0.7355,0.7592,0.7090668334960938,,,,
0,14,0.09427568056970322,0.6242565686121965,0.7838741987179487,15.769400119781494,3165.6245399835607,1.0,1.0,1.0,[1.0],0,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],0.6359625,0.7821,0.7821,0.7798,0.6476234008789062,,,,
0,15,0.09310162435692454,0.6107854202007637,0.7884615384615384,15.766531229019165,3166.200559582789,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6233314575195312,0.7863,0.7863,0.7781,0.6593203125,2.5608749554097088,0.261994922991038,0.5757161527872086,0.0
0,16,0.09182690230333156,0.5965355628576035,0.7940705128205128,15.768272876739502,3165.8508443013607,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6766446838378907,0.7709,0.7709,0.779,0.659291796875,,,,
0,17,0.09045449158134511,0.5859564748329994,0.7988581730769231,15.760798215866089,3167.352269617062,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6787945495605469,0.7684,0.7684,0.762,0.7104513061523438,,,,
0,18,0.08898759751979754,0.5761187668030079,0.8013421474358975,15.77585244178772,3164.329799876289,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6883633666992187,0.7667,0.7667,0.7889,0.6277359313964844,,,,
0,19,0.08742964611773862,0.5717253940991867,0.8026041666666667,15.758532285690308,3167.807705374336,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.5854673889160156,0.7958,0.7958,0.7716,0.6711307922363281,,,,
0,20,0.0857842760428561,0.5633853036623735,0.805068108974359,15.746737957000732,3170.1803977633613,1.0,1.0,1.0,[1.0],0,0.6666666666666667,0.6666666666666667,0.6666666666666667,[0.6666666666666667],0.6200689208984375,0.787,0.787,0.7902,0.6247466064453125,2.4551522394357055,0.26314315950296485,0.5782718658447266,0.0
