method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
plain,2,test_probe,centre_frozen,0.02,152.28112282801442,113.11402893066436,0.742797444817995
plain,2,test_probe,centre_frozen,0.025,152.28112282801442,113.95593261718757,0.7483260597302587
plain,2,test_probe,centre_frozen,0.05,152.28112282801442,117.30939697265626,0.7703475965641844
plain,2,test_probe,centre_frozen,0.1,152.28112282801442,131.39424926757812,0.8628400344537397
plain,2,test_probe,centre_frozen,0.2,152.28112282801442,156.58207588195796,1.028243507626359
plain,2,test_probe,centre_frozen,0.25,152.28112282801442,156.915416796875,1.0304324914526308
plain,2,test_probe,centre_frozen,0.35,152.28112282801442,147.7584934032207,0.9703007875119128
plain,2,test_probe,centre_frozen,0.5,152.28112282801442,157.22210625,1.0324464604031447
plain,3,train_probe,saved,0.005,105.33451959105147,119.33610534667903,1.1329249500542369
plain,3,train_probe,saved,0.01,105.33451959105147,121.27407836914043,1.15132322091535
plain,3,train_probe,saved,0.02,105.33451959105147,123.6063623428344,1.1734649080161104
plain,3,train_probe,saved,0.025,105.33451959105147,124.87867187499997,1.1855436599495237
plain,3,train_probe,saved,0.05,105.33451959105147,131.20867248535154,1.2456379256748247
plain,3,train_probe,saved,0.1,105.33451959105147,145.2779141998291,1.3792051719023641
plain,3,train_probe,saved,0.2,105.33451959105147,163.41684265136715,1.5514082495065555
plain,3,train_probe,saved,0.25,105.33451959105147,163.89628325195315,1.5559598495180937
plain,3,train_probe,saved,0.35,105.33451959105147,160.22886469626917,1.5211429768544855
plain,3,train_probe,saved,0.5,105.33451959105147,175.09326972656248,1.6622591568874183
plain,3,train_probe,centre_frozen,0.005,102.82327443185264,125.04988098144531,1.2161631855472919
plain,3,train_probe,centre_frozen,0.01,102.82327443185264,122.73047637939453,1.1936059910320753
plain,3,train_probe,centre_frozen,0.02,102.82327443185264,122.54148578643799,1.1917679772749683
plain,3,train_probe,centre_frozen,0.025,102.82327443185264,123.45027099609369,1.2006062992859836
plain,3,train_probe,centre_frozen,0.05,102.82327443185264,129.59361862182612,1.2603529632555697
plain,3,train_probe,centre_frozen,0.1,102.82327443185264,143.06699081420894,1.391387228278052
plain,3,train_probe,centre_frozen,0.2,102.82327443185264,160.24850044250485,1.5584847042457441
plain,3,train_probe,centre_frozen,0.25,102.82327443185264,160.73802143554687,1.5632455037412558
plain,3,train_probe,centre_frozen,0.35,102.82327443185264,157.15042283661515,1.528354584163418
plain,3,train_probe,centre_frozen,0.5,102.82327443185264,171.4996298461914,1.6679067146403204
plain,3,test_probe,saved,0.005,159.03681765620843,118.12390136718864,0.7427456302762441
plain,3,test_probe,saved,0.01,159.03681765620843,115.39979553222713,0.7256168554736054
plain,3,test_probe,saved,0.02,159.03681765620843,113.48433303833008,0.7135727104628713
plain,3,test_probe,saved,0.025,159.03681765620843,113.96611572265635,0.7166020887629814
plain,3,test_probe,saved,0.05,159.03681765620843,116.71427246093745,0.7338820920903985
plain,3,test_probe,saved,0.1,159.03681765620843,124.71831542968748,0.7842103310900774
plain,3,test_probe,saved,0.2,159.03681765620843,146.2426554107666,0.9195521990819817
plain,3,test_probe,saved,0.25,159.03681765620843,150.649909375,0.9472643605121771
plain,3,test_probe,saved,0.35,159.03681765620843,152.15320840640948,0.956716882598347
plain,3,test_probe,saved,0.5,159.03681765620843,169.8640642089844,1.0680801257994317
plain,3,test_probe,centre_frozen,0.005,155.97321969496662,105.55419921875053,0.6767456581660656
plain,3,test_probe,centre_frozen,0.01,155.97321969496662,109.92202758789071,0.7047493653260656
plain,3,test_probe,centre_frozen,0.02,155.97321969496662,110.97169113159195,0.7114791330756449
plain,3,test_probe,centre_frozen,0.025,155.97321969496662,111.89022216796882,0.7173681635013373
plain,3,test_probe,centre_frozen,0.05,155.97321969496662,114.42632263183596,0.7336280090621774
plain,3,test_probe,centre_frozen,0.1,155.97321969496662,122.23230499267576,0.7836749490183172
plain,3,test_probe,centre_frozen,0.2,155.97321969496662,143.24562026977534,0.9183988158346519
plain,3,test_probe,centre_frozen,0.25,155.97321969496662,147.6685765625,0.9467559677955752
plain,3,test_probe,centre_frozen,0.35,155.97321969496662,149.1728632214605,0.9564004866553025
plain,3,test_probe,centre_frozen,0.5,155.97321969496662,166.3191060546875,1.0663311713379648
plain,4,train_probe,saved,0.005,100.00554009012322,117.06417846679639,1.170576933650878
plain,4,train_probe,saved,0.01,100.00554009012322,117.51752853393552,1.1751101831761601
