coords,policy,probe,quantity,method,comparison,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
ordinary,saved,test_probe,min,resolution_max_b1_gaussian_conv,difference vs plain,5,4.6775769230915305,1.1539682637833315,0,5,0,4.593866126174632,2.857309398356173,5.167894587401529,4.7653111295180075,6.0035033740073125
ordinary,saved,test_probe,min,resolution_max_b1_gaussian_conv,ratio to plain,5,0.5185656714956497,0.030587524529892187,0,5,0,0.5675460365270285,0.5149578469675405,0.5201213502166122,0.48445390826941204,0.5057492154976553
ordinary,saved,test_probe,grad_norm,plain,value,5,6.674568503644634,1.118378574118207,0,5,0,7.343812965836728,4.688154782082113,7.2569101909053675,7.053101995452172,7.030862583946792
ordinary,saved,test_probe,grad_norm,resolution_max_b1,value,5,3.6864772568002495,0.7233513905392193,0,5,0,4.338956570284136,3.0314642086016166,4.278951019835972,2.7943733336411882,3.9886411516383355
ordinary,saved,test_probe,grad_norm,resolution_max_b1,difference vs plain,5,-2.9880912468443848,0.9206602249874695,5,0,0,-3.0048563955525918,-1.6566905734804962,-2.9779591710693953,-4.258728661810984,-3.0422214323084567
ordinary,saved,test_probe,grad_norm,resolution_max_b1,ratio to plain,5,0.5581174213799499,0.09513347369881589,0,5,0,0.5908315735257523,0.6466220399095434,0.5896381389972987,0.3961906882167584,0.5673046662503965
ordinary,saved,test_probe,grad_norm,gaussian_postrelu,value,5,4.049761216933355,0.7592798909239623,0,5,0,4.282540197236224,2.9530746456655907,3.6155573278542095,4.603852234101029,4.793781679809723
ordinary,saved,test_probe,grad_norm,gaussian_postrelu,difference vs plain,5,-2.6248072867112797,0.7410522282678962,5,0,0,-3.061272768600504,-1.735080136416522,-3.641352863051158,-2.449249761351143,-2.237080904137069
ordinary,saved,test_probe,grad_norm,gaussian_postrelu,ratio to plain,5,0.6091669402379123,0.07175067339903342,0,5,0,0.5831494098717541,0.6299012688216035,0.49822269157820936,0.6527414798580234,0.6818198510599708
ordinary,saved,test_probe,grad_norm,resolution_max_b1_gaussian_conv,value,5,3.6966956463414733,0.6906061222710009,0,5,0,4.4765630750116,2.632921866001586,3.8082212798808457,3.517703163290466,4.0480688475228686
ordinary,saved,test_probe,grad_norm,resolution_max_b1_gaussian_conv,difference vs plain,5,-2.977872857303161,0.5907683738121806,5,0,0,-2.8672498908251276,-2.0552329160805267,-3.448688911024522,-3.535398832161706,-2.9827937364239236
ordinary,saved,test_probe,grad_norm,resolution_max_b1_gaussian_conv,ratio to plain,5,0.5540910408539059,0.04337787765560229,0,5,0,0.6095693198936959,0.5616115483354941,0.524771725114285,0.4987455399849137,0.5757570709411411
ordinary,centre_frozen,train_probe,top1,plain,value,5,2354.3480259407215,160.10513877890574,0,5,0,2390.4589733988887,2117.175452989193,2510.258988969921,2476.0502264205174,2277.7964879250862
ordinary,centre_frozen,train_probe,top1,resolution_max_b1,value,5,1437.8625000746076,106.99509378851583,0,5,0,1528.6884656250706,1433.3969499007662,1298.7747593366207,1372.6100665187528,1555.8422589918282
ordinary,centre_frozen,train_probe,top1,resolution_max_b1,difference vs plain,5,-916.4855258661137,232.8975029669696,5,0,0,-861.770507773818,-683.778503088427,-1211.4842296333004,-1103.4401599017647,-721.954228933258
ordinary,centre_frozen,train_probe,top1,resolution_max_b1,ratio to plain,5,0.6142634014395132,0.07463576173856633,0,5,0,0.6394957966802064,0.6770326700496101,0.5173867577184017,0.5543546943726807,0.683047088376667
ordinary,centre_frozen,train_probe,top1,gaussian_postrelu,value,5,1274.6875185721954,127.94834502865234,0,5,0,1319.860435756021,1285.7722865703101,1166.6761106844774,1141.9548541818695,1459.1739056682995
ordinary,centre_frozen,train_probe,top1,gaussian_postrelu,difference vs plain,5,-1079.660507368526,257.024679412903,5,0,0,-1070.5985376428678,-831.4031664188831,-1343.5828782854437,-1334.095372238648,-818.6225822567867
ordinary,centre_frozen,train_probe,top1,gaussian_postrelu,ratio to plain,5,0.5452026874254912,0.08144610866743592,0,5,0,0.5521368283009557,0.6073054950429152,0.4647632438767684,0.46120019779757354,0.6406076721092433
ordinary,centre_frozen,train_probe,top1,resolution_max_b1_gaussian_conv,value,5,1135.4432403105359,69.96040102709438,0,5,0,1219.0239036425764,1113.7207253895322,1152.9011684792956,1029.9447256705278,1161.6256783707463
ordinary,centre_frozen,train_probe,top1,resolution_max_b1_gaussian_conv,difference vs plain,5,-1218.9047856301856,180.28850426737674,5,0,0,-1171.4350697563123,-1003.454727599661,-1357.3578204906255,-1446.1055007499897,-1116.17080955434
ordinary,centre_frozen,train_probe,top1,resolution_max_b1_gaussian_conv,ratio to plain,5,0.48424222308723824,0.045705417713672335,0,5,0,0.5099539114487708,0.5260408266197751,0.45927578530547797,0.4159627759891847,0.509977816072983
ordinary,centre_frozen,train_probe,top2,plain,value,5,1907.443264667765,177.11273450175005,0,5,0,1685.78042525928,1942.2836178198856,2011.4329565171472,2123.334482952679,1774.3848407898329
ordinary,centre_frozen,train_probe,top2,resolution_max_b1,value,5,1126.3365896461676,114.95981871559606,0,5,0,1070.13490019422,1312.5854252136992,1072.2586143296442,1020.5077113448266,1156.1962971484475
ordinary,centre_frozen,train_probe,top2,resolution_max_b1,difference vs plain,5,-781.1066750215975,226.5686684955791,5,0,0,-615.6455250650599,-629.6981926061865,-939.174342187503,-1102.8267716078526,-618.1885436413854
ordinary,centre_frozen,train_probe,top2,resolution_max_b1,ratio to plain,5,0.5951794813450281,0.08401401184321826,0,5,0,0.6348008816329854,0.6757949318889943,0.5330819557547124,0.4806156163986575,0.6516040210497905
ordinary,centre_frozen,train_probe,top2,gaussian_postrelu,value,5,1072.7685635962428,79.01537080048315,0,5,0,1156.017310620918,1064.328123847174,1032.628640752123,966.6651240559364,1144.203618705062
ordinary,centre_frozen,train_probe,top2,gaussian_postrelu,difference vs plain,5,-834.6747010715222,255.497451564162,5,0,0,-529.7631146383621,-877.9554939727116,-978.8043157650243,-1156.6693588967428,-630.181222084771
