method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
resolution_max_b1,6,2346,False,after,r=24,1,test_probe,1.1266748657226562,0.585,1.0577495727539064,0.63,0.0029991149902343084,0.012759022521972585,0.05483162536621082,0.228328106689453,0.3548157287597655,0.2510442535400391,1.8419388061523438
resolution_max_b1,6,2346,False,after,r=24,2,train_probe,1.0683145751953125,0.604,0.9953250427246094,0.638,0.004587591552734316,0.017593466186523354,0.0678905776977539,0.25458691101074216,0.38391470947265616,0.23451883239746102,1.8138755004882814
resolution_max_b1,6,2346,False,after,r=24,2,test_probe,1.0900490112304688,0.599,1.0336102905273437,0.624,0.003486642456054767,0.013262397766113442,0.05493004760742195,0.22495740051269544,0.3483649841308595,0.21387714843749994,1.7298541412353514
resolution_max_b1,6,2346,False,after,r=24,3,train_probe,1.1603134765625,0.579,1.0025051879882811,0.649,0.003997349548339945,0.015167126464843838,0.0590811187744142,0.22210854187011728,0.33445112915039077,0.2630645721435546,1.831453268432617
resolution_max_b1,6,2346,False,after,r=24,3,test_probe,1.1635038452148438,0.57,1.0346102294921875,0.624,0.0033946334838866887,0.014747305297851532,0.058833117675781234,0.2203947723388672,0.3315920715332032,0.2682881256103514,1.8392986999511716
resolution_max_b1,6,2346,False,after,r=24,4,train_probe,1.1800250854492187,0.575,1.0790322265625,0.603,0.003298461914062423,0.013790509033203047,0.05440813293457027,0.21513053588867176,0.32715584411621085,0.20422434082031254,1.4730630676269534
resolution_max_b1,6,2346,False,after,r=24,4,test_probe,1.2327152099609375,0.571,1.1355589599609375,0.593,0.0029829956054688413,0.012319827270507821,0.051635894775390635,0.20791139221191415,0.31699219360351566,0.19647106018066401,1.4469613586425782
resolution_max_b1,6,2346,False,r=32,r=32,0,train_probe,4.102716674804688,0.157,1.715031005859375,0.376,0.0034562225341797205,0.013954074096679725,0.05246033020019534,0.183993783569336,0.27020917663574223,0.08561331787109347,0.6386192443847653
resolution_max_b1,6,2346,False,r=32,r=32,0,test_probe,4.1056923828125,0.159,1.7683689575195312,0.383,0.0030353820800782085,0.013192126464843823,0.0510541076660157,0.1785138732910157,0.259465985107422,0.08863497314453106,0.6534670349121091
resolution_max_b1,6,2346,False,r=32,r=32,1,train_probe,4.25028515625,0.124,1.5019767456054687,0.445,0.0035233703613282152,0.014850241088867256,0.06099262390136726,0.2376829284667969,0.3570385040283203,0.007956018066406046,0.4187183471679684
resolution_max_b1,6,2346,False,r=32,r=32,1,test_probe,4.2547586669921875,0.121,1.526615234375,0.426,0.004758197021484434,0.01751394653320315,0.06424232788085953,0.23689086608886725,0.3526730865478517,0.01420504760742176,0.4318963317871093
resolution_max_b1,6,2346,False,r=32,r=32,2,train_probe,4.3150263671875,0.192,1.5392723388671874,0.441,0.004854968261718873,0.018355599975586067,0.07112822875976577,0.26042991333007826,0.37883792419433604,0.10170209350585893,0.9015131103515621
resolution_max_b1,6,2346,False,r=32,r=32,2,test_probe,4.2557265625,0.191,1.5741436157226563,0.415,0.0038182647705078177,0.01543847656249997,0.06525151672363283,0.25034241943359375,0.3673378570556641,0.10275008544921915,0.9055565795898441
resolution_max_b1,6,2346,False,r=32,r=32,3,train_probe,4.449870849609375,0.186,1.4672276000976563,0.475,0.0049463378906249075,0.01906692504882812,0.0712080535888671,0.24381704406738275,0.3537375457763672,0.11591998901367226,0.5334716735839846
resolution_max_b1,6,2346,False,r=32,r=32,3,test_probe,4.466350830078125,0.165,1.5562683715820314,0.431,0.00483183898925772,0.018245550537109256,0.06880740661621083,0.23560988159179677,0.33964075927734366,0.12677235107421908,0.5401442504882814
resolution_max_b1,6,2346,False,r=32,r=32,4,train_probe,3.23225048828125,0.176,1.663835693359375,0.396,0.003756964111328154,0.01445105895996095,0.05377586975097655,0.19040787963867192,0.28184124450683595,0.16662095336914043,1.0184312744140622
resolution_max_b1,6,2346,False,r=32,r=32,4,test_probe,3.3200411376953123,0.163,1.7710031127929688,0.364,0.0022186859130858493,0.010685159301757684,0.047358718872070216,0.18523773193359366,0.2755343231201171,0.17482929687500012,1.015922711181641
resolution_max_b1,12,4692,False,before,r=24,0,train_probe,0.5678358764648438,0.81,0.573742919921875,0.809,0.0039501296997070615,0.017033132934570327,0.07089467315673831,0.2827545166015625,0.43811840362548826,0.2602169616699218,1.8269209838867186
resolution_max_b1,12,4692,False,before,r=24,0,test_probe,0.6980221252441406,0.752,0.6934968566894532,0.755,0.0039858459472655984,0.01518453216552731,0.06065570526123043,0.24686280670166014,0.3856620513916015,0.24213547363281243,1.7528143463134764
resolution_max_b1,12,4692,False,before,r=24,1,train_probe,0.5121796569824218,0.816,0.5021781463623047,0.832,0.005193385314941357,0.02089738311767573,0.08444109344482419,0.3369711807250976,0.5221535827636719,0.29275932159423834,2.145943490600586
resolution_max_b1,12,4692,False,before,r=24,1,test_probe,0.6943160095214844,0.752,0.6875833129882812,0.752,0.004197209167480476,0.016057377624511725,0.06338017578125003,0.26475564117431644,0.42003487396240236,0.2553100311279296,2.0064431976318358
resolution_max_b1,12,4692,False,before,r=24,2,train_probe,0.5121905212402343,0.824,0.5013813781738281,0.827,0.005052563476562499,0.020759536743164074,0.08422129364013672,0.3271253280639649,0.5016466674804687,0.2699003967285157,2.2206597656250002
resolution_max_b1,12,4692,False,before,r=24,2,test_probe,0.6945444641113281,0.767,0.6715369567871093,0.764,0.00389858551025396,0.014937033081054717,0.06338005218505863,0.26630920104980477,0.42105832519531255,0.23504872589111328,2.0887586944580074
resolution_max_b1,12,4692,False,before,r=24,3,train_probe,0.5234846038818359,0.819,0.513119384765625,0.83,0.005318534088134752,0.021119685363769514,0.07900548706054684,0.2931756195068359,0.4492810882568358,0.22517452239990235,1.860724478149414
