problem,method,seed,probe,policy,coords,loss,grad_norm,grad_norm_relative_coords,n_params,n_nonzero_blocks,n_zero_norm_blocks,iterations_start0,orthogonality_error_start0,seconds_start0,top1_ritz,top1_rel_resid,top1_converged,top1,top1_start1_ritz,top1_start1_converged,top1_start_rel_diff,top1_rq_f32,top1_rq_f64,top1_quad_r1_f64,top1_r_of_direction,top1_grad_dot_dir_r1,top1_Cfd_t1e-05,top1_Cfd_t3e-05,top1_Cfd_t0.0001,top1_Cfd_t0.0003,top1_Cfd_t0.001,top1_Cfd_t0.003,top1_Cfd_t0.01,top2_ritz,top2_rel_resid,top2_converged,top2,top2_start1_ritz,top2_start1_converged,top2_start_rel_diff,min_ritz,min_rel_resid,min_converged,min,min_start1_ritz,min_start1_converged,min_start_rel_diff,min_rq_f32,min_rq_f64,min_quad_r1_f64,min_r_of_direction,min_grad_dot_dir_r1,min_Cfd_t1e-05,min_Cfd_t3e-05,min_Cfd_t0.0001,min_Cfd_t0.0003,min_Cfd_t0.001,min_Cfd_t0.003,min_Cfd_t0.01,iterations_start1,min_negative_verified
combined_s1_test_saved_ord,resolution_max_b1_gaussian_conv,1,test_probe,saved,ordinary,0.5529105961322784,2.632921866001586,3.3527366105246332,268336,698,0,90,1.9984014443252818e-15,101.75067400932312,1330.2759517222046,4.980499424469258e-07,True,1330.2759517222046,1330.275946260294,True,4.1058478319100406e-09,1330.2759289830594,1330.2055905765037,1472575.7146619703,0.030055265406676992,-40.786789984813836,1448852.054188876,1464794.429199618,1470243.8768522174,1480778.9289429905,1640935.0277037364,1518294.512059216,768030.3580805886,1040.3704007893143,5.143620879563896e-07,True,1040.3704007893143,1040.3703878751771,True,1.2413018649303428e-08,-3.0335381918840083,0.0006504126184413141,True,-3.0335381918840083,-3.033579808072864,True,1.3718696196816735e-05,-3.0335369736152415,-3.0334315445632325,-3337.4555581599416,0.03014805880295069,-0.983997544118725,-6989.407732582718,-4395.97275371363,-5636.984359158603,-3720.6891400150735,-3529.0855208540697,-1769.1990730224697,14069.605656259298,100,True
combined_s1_test_saved_rel,resolution_max_b1_gaussian_conv,1,test_probe,saved,relative,0.5529105961322784,2.632921866001586,3.3527366105246332,268336,698,0,100,2.4424906541753444e-15,106.03442335128784,2128.6652374852374,4.816890404862804e-07,True,2128.6652374852374,2128.6652192283586,True,8.576679157197964e-09,2128.6652219101993,2128.554505801383,1485731.0450493651,0.037850558205223234,-40.272736065973454,1462875.951514508,1477914.5088628097,1482973.509141372,1494986.7627791346,1666259.0815640637,1552063.4993838407,783674.6508728017,1671.532726589655,4.851844416927875e-07,True,1671.532726589655,1671.5327018977623,True,1.4772006800347057e-08,-4.830503404953285,0.000396882136164886,True,-4.830503404953285,-4.830516411759808,True,2.692639965673166e-06,-4.8305039311892495,-4.830418091814188,-3371.6318280862997,0.03785055820522325,-0.2313264339821185,-6385.5118503930435,-5097.065378656396,-5467.059675323682,-3901.1321724075688,-3587.6520313387064,-1825.3261170469375,15332.230101538958,110,True
combined_s1_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,ordinary,0.29508914053440094,1.8791869029608768,2.403548109971261,268336,698,0,70,1.9984014443252818e-15,79.97654008865356,1113.7207253895322,4.450156070955437e-07,True,1113.7207253895322,1113.7207402886706,True,1.3377804810465234e-08,1113.7207312498697,1113.7309513925138,1233679.9725440452,0.030046153894797513,-1.1985096601028329,1252313.402730909,1252844.3276386505,1257782.653997197,1278009.1657784858,1450028.3788304094,1393424.9469723376,812035.5067099414,928.8763031011574,4.7406911276371224e-07,True,928.8763031011574,928.8762867207138,True,1.7634687831986494e-08,-2.2160420928529367,0.000694963433956425,True,-2.2160420928529367,-2.216111507284516,True,3.132360698518452e-05,-2.2160423214446365,-2.2157700054746043,-2434.160708976489,0.030170861801985464,1.8439182909458016,-1301.420593513569,-3340.0890700166187,-3252.4467278971515,-2110.4296818230678,-853.1336271186963,1019.102349569355,18961.327995941698,80,True
combined_s1_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,relative,0.29508914053440094,1.8791869029608768,2.403548109971261,268336,698,0,80,2.6645352591003757e-15,85.23068499565125,1783.8783597064478,4.82368274161406e-07,True,1783.8783597064478,1783.8783439654649,True,8.824022575010778e-09,1783.8784367971066,1783.8954173291772,1245159.0012957654,0.037850558205223234,1.6373096240354814,1264178.0240640885,1264317.592633753,1270056.5617674852,1290983.3863563384,1472242.736657389,1429756.5419200116,825193.8138328444,1489.592153745277,4.676877900481038e-07,True,1489.592153745277,1489.5921485526442,True,3.4859427023914835e-09,-3.5158549589501322,0.0009422724658857813,True,-3.5158549589501322,-3.5158891998648847,True,9.739000940665603e-06,-3.5158552217935117,-3.515399243969943,-2453.7486722910194,0.037850558205223234,1.9981420858855343,-1428.2578608693084,-3397.376138315601,-3215.073495499432,-2061.2549625820266,-812.8840523776715,1002.8805213102812,18111.343528461122,90,True
combined_s1_train_saved_ord,resolution_max_b1_gaussian_conv,1,train_probe,saved,ordinary,0.2933417707681656,2.19223569262443,2.7941726767563213,268336,698,0,60,9.992007221626409e-16,64.9138536453247,1164.3456174446408,4.6771729612499135e-07,True,1164.3456174446408,1164.345618742523,True,1.114688041541318e-09,1164.3456307779322,1164.3527080219562,1288510.9451486138,0.030060640013432286,-11.809547867314219,1325726.4261146148,1324794.7576011666,1317361.8536380772,1339806.509730067,1519599.0919923706,1414125.8252013845,773902.2828647363,963.1839252045386,4.994375945227034e-07,True,963.1839252045386,963.1839115035443,True,1.4224691567828394e-08,-3.1106707116567636,0.0005025103295882125,True,-3.1106707116567636,-3.1106557176835783,True,4.820173710153783e-06,-3.110669776477171,-3.1107630669462027,-3413.587729511559,0.030187554535313518,-0.5200587328179888,1838.0809452267497,-486.1338604506611,-1302.725177954045,-1228.8558676483894,-874.3942797239113,2398.071676416776,50122.51755771343,60,True
combined_s1_train_saved_rel,resolution_max_b1_gaussian_conv,1,train_probe,saved,relative,0.2933417707681656,2.19223569262443,2.7941726767563213,268336,698,0,70,5.773159728050814e-15,74.85786557197571,1863.8687339609046,4.5331202863379963e-07,True,1863.8687339609046,1863.868692979092,True,2.1987499371887834e-08,1863.8687150584344,1863.8816004759972,1300989.357132245,0.03785055820522324,-12.259688411780672,1341386.899710306,1339359.0037447112,1331199.068166733,1354150.9017099326,1542780.4792027043,1452197.1081278296,792469.0450335247,1540.5737525225236,4.773439882660869e-07,True,1540.5737525225236,1540.5737488513969,True,2.3829606987194256e-09,-4.9279381819858985,0.0001146261823339522,True,-4.9279381819858985,-4.927920699332707,True,3.5476608159776566e-06,-4.927938356445984,-4.928082668640754,-3439.8017027112437,0.03785055820522324,-0.4414025228194419,1670.8412065025154,-515.3662527599165,-1296.015864460376,-1177.452221674042,-807.8058926888066,2486.573364551615,49778.49098780428,70,True
combined_s2_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,2,test_probe,centre_frozen,ordinary,0.5407951027154922,3.1795988695754085,4.120023157188198,268336,698,0,70,2.1094237467877974e-15,82.44659876823425,1322.5836227898296,4.713613666400294e-07,True,1322.5836227898296,1322.5836420253331,True,1.4543884526824998e-08,1322.5836078968093,1322.5851763893725,1486800.0952982847,0.02982534906997706,29.494361203529095,1466692.276410608,1465464.174979441,1461802.0014830923,1476111.8941223193,1580714.1096677112,1479719.1190077,756517.9137980341,1175.405251290246,5.059830207031325e-07,True,1175.405251290246,1175.4053120796625,True,5.171783637957556e-08,-4.235448196570314,0.00023243703647195878,True,-4.235448196570314,-4.235354429187668,True,2.2138715501684492e-05,-4.2354473365003615,-4.23545184496279,-4731.219251303637,0.02992012041461697,0.005252251711237665,-7797.905905437829,-4531.157809209121,-4219.363584012647,-4472.501063814941,-4392.624957477498,-594.547727454363,45128.11677277731,60,True
combined_s2_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,2,test_probe,centre_frozen,relative,0.5407951027154922,3.1795988695754085,4.120023157188198,268336,698,0,70,2.4424906541753444e-15,83.63786959648132,2148.843265270672,4.878272988885896e-07,True,2148.843265270672,2148.8432525863004,True,5.902883540030734e-09,2148.843273893637,2148.845895127614,1499894.4347990733,0.03785055820522324,-30.393217348776993,1475705.0459146546,1479203.9806398193,1473460.362277268,1489072.1058229888,1588259.6319462413,1458204.9489474962,733111.8469487849,1892.8953630227945,5.053916884599751e-07,True,1892.8953630227945,1892.895358949708,True,2.1517758503479644e-09,-6.846196706949457,0.00016027539594247895,True,-6.846196706949457,-6.846186984561851,True,1.4201151416281447e-06,-6.846197010043236,-6.846212532299388,-4778.656347544969,0.03785055820522324,0.004570026718594633,-7273.061741752683,-4134.755480469623,-3945.524373061282,-4428.4753829707915,-4401.668543712045,-735.2706635829333,43630.276131933155,70,True
combined_s2_test_saved_ord,resolution_max_b1_gaussian_conv,2,test_probe,saved,ordinary,0.5439988225698471,3.8082212798808457,4.8974978653114905,268336,698,0,70,1.9984014443252818e-15,82.34213590621948,1346.7399413612202,4.784675968557886e-07,True,1346.7399413612202,1346.7399699118298,True,2.1199794211581983e-08,1346.7399660419549,1346.737633158773,1514481.2663155277,0.029820130884108068,35.430734309085295,1495144.4759359052,1497738.7271265641,1491051.1583856144,1503974.4713789355,1610350.5447447447,1644322.3754361116,793631.0475731787,1177.309486639655,5.491128954595351e-07,True,1177.309486639655,1177.3094810250166,True,4.769042043087775e-09,-5.601275055245134,0.0005275309158520472,True,-5.601275055245134,-5.601283941838553,True,1.5865304473904335e-06,-5.601276206279337,-5.601474085673663,-6186.045670434833,0.030091553184771795,-1.0736114849074438,835.7792036228772,-923.8037298094545,-4168.882897448434,-5304.094851150195,-5504.98757992779,233.01255983741873,62706.84072673794,70,True
combined_s2_test_saved_rel,resolution_max_b1_gaussian_conv,2,test_probe,saved,relative,0.5439988225698471,3.8082212798808457,4.8974978653114905,268336,698,0,80,2.4424906541753444e-15,94.86509037017822,2188.7543042919333,4.6128069106015165e-07,True,2188.7543042919333,2188.754373503946,True,3.16216456071894e-08,2188.7543672583874,2188.7505565413367,1527747.8884658518,0.03785055820522324,-35.95836030473619,1505673.3562990308,1511134.2419429598,1502822.840410878,1517220.7725017203,1618989.3262403843,1620319.1437209938,781513.7906216793,1896.9699583740792,4.99735448633128e-07,True,1896.9699583740792,1896.9700463581687,True,4.638138265914783e-08,-8.95761646933787,0.0002286817365743147,True,-8.95761646933787,-8.95761733212186,True,9.631847858001677e-08,-8.957616759597954,-8.95794580571135,-6252.646172386519,0.03785055820522324,0.9828887579896635,2401.4659816273816,1246.6256143422388,-3744.951500483928,-5863.247860510908,-5634.286558055868,805.5311745603551,80271.54162082281,70,True
combined_s2_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,2,train_probe,centre_frozen,ordinary,0.29257166385650635,2.3139718723635463,2.963686846200001,268336,698,0,70,1.9984014443252818e-15,82.20896100997925,1152.9011684792956,4.98250124613681e-07,True,1152.9011684792956,1152.9011250144665,True,3.770039470261709e-08,1152.9011410961687,1152.8785146254372,1294527.1686649227,0.02984256771860451,19.163424797494436,1304405.0297705831,1327235.180142377,1334203.3346049553,1347224.0269203193,1537711.8140209247,1444399.7070748894,685807.0863252984,950.9020101176404,4.247960457750382e-07,True,950.9020101176404,950.9019855815018,True,2.580301481352374e-08,-3.019436067818948,0.0002863069763171721,True,-3.019436067818948,-3.019411911684128,True,8.0002140391185e-06,-3.0194345493233765,-3.019034583697323,-3345.72601722961,0.030039234224960406,1.91615782545962,-8452.526435442918,-2827.669619565043,-983.294031431381,-1156.85777372211,-394.06062754332453,1801.0906507125446,27874.39777628298,70,True
