method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max,n_negative_S,C_mean,C_direction_sd
plain,0,recalibrated,train_probe,0.005,20,0.0005355802536010868,6.844203036491365e-05,0.0004536209106445477,0.0007260398864745998,0,42.84642028808693,5.4753624291930905
plain,0,recalibrated,train_probe,0.01,20,0.0020846288681030376,0.0002736821271849486,0.0016181068420410283,0.0027243423461914273,0,41.692577362060746,5.473642543698972
plain,0,recalibrated,train_probe,0.02,20,0.008066945648193371,0.0011752774220831366,0.006172767639160165,0.01053900527954102,0,40.334728240966854,5.876387110415683
plain,0,recalibrated,train_probe,0.025,20,0.012399027633667003,0.0018498278248701265,0.009453048706054706,0.01647334289550781,0,39.676888427734404,5.919449039584403
plain,0,recalibrated,train_probe,0.05,20,0.04635681114196778,0.0069770610578055135,0.03681932830810544,0.06369864654541016,0,37.08544891357422,5.581648846244409
plain,0,recalibrated,train_probe,0.1,20,0.17226018295288087,0.024277076845616193,0.13858336639404298,0.23181572723388674,0,34.45203659057617,4.855415369123238
plain,0,recalibrated,train_probe,0.2,20,0.6232255348205566,0.07146595681718185,0.5039412536621094,0.7547496948242188,0,31.161276741027827,3.5732978408590914
plain,0,recalibrated,train_probe,0.25,20,0.935511552429199,0.10302131022443942,0.7605728607177734,1.1318594818115235,0,29.93636967773437,3.2966819271820613
plain,0,recalibrated,train_probe,0.35,20,1.6691335281372068,0.16440852813334286,1.3945932159423828,2.0133317108154296,0,27.251159643056447,2.6842208674831496
plain,0,recalibrated,train_probe,0.5,20,2.760580569458008,0.2499276430512347,2.3985055389404293,3.2783370208740235,0,22.084644555664063,1.9994211444098775
plain,0,recalibrated,test_probe,0.005,20,0.00016269836425784613,0.00010590436916497162,-4.510498046872424e-05,0.0003369750976562891,3,13.015869140627691,8.472349533197729
plain,0,recalibrated,test_probe,0.01,20,0.0006327911376953321,0.00033979722960596654,-3.0899047851584704e-05,0.0011184539794921733,1,12.65582275390664,6.795944592119329
plain,0,recalibrated,test_probe,0.02,20,0.002980815887451188,0.0012690523540756474,0.0012350311279296644,0.005503097534179768,0,14.904079437255941,6.345261770378236
plain,0,recalibrated,test_probe,0.025,20,0.004956983184814467,0.002053612908149282,0.0020577697753906277,0.008858978271484408,0,15.862346191406292,6.571561306077701
plain,0,recalibrated,test_probe,0.05,20,0.021817236328125007,0.006639253498367104,0.010648300170898461,0.03270799255371093,0,17.4537890625,5.311402798693682
plain,0,recalibrated,test_probe,0.1,20,0.0909640235900879,0.01956853726295163,0.059319717407226524,0.12870423889160165,0,18.19280471801758,3.9137074525903253
plain,0,recalibrated,test_probe,0.2,20,0.382791194152832,0.06101890854174376,0.2806832275390626,0.5068106689453123,0,19.139559707641602,3.050945427087187
plain,0,recalibrated,test_probe,0.25,20,0.6163014587402345,0.09556604577342699,0.47261471557617185,0.8288229064941405,0,19.721646679687503,3.0581134647496637
plain,0,recalibrated,test_probe,0.35,20,1.2211476867675777,0.16474127595066784,0.9749740600585938,1.5891996459960938,0,19.937105090082913,2.6896534849088622
plain,0,recalibrated,test_probe,0.5,20,2.220445587158203,0.2566075846434751,1.8797875976562501,2.7331964111328126,0,17.763564697265625,2.052860677147801
plain,0,centre_frozen,train_probe,0.005,20,0.0015583850860595798,0.00027120580402315237,0.0010017700195312507,0.0020074806213379037,0,124.67080688476638,21.69646432185219
plain,0,centre_frozen,train_probe,0.01,20,0.006109712600708016,0.0010961365470535565,0.0040761070251464915,0.007902980804443377,0,122.1942520141603,21.922730941071126
plain,0,centre_frozen,train_probe,0.02,20,0.024104459190368657,0.004379937577958137,0.015703548431396486,0.031292972564697236,0,120.52229595184329,21.89968788979068
plain,0,centre_frozen,train_probe,0.025,20,0.03765661449432374,0.006956344596354678,0.02421624755859375,0.04896345520019532,0,120.50116638183594,22.260302708334965
plain,0,centre_frozen,train_probe,0.05,20,0.1549480293273926,0.03180210532397909,0.09541747283935545,0.19811334228515629,0,123.95842346191402,25.44168425918327
plain,0,centre_frozen,train_probe,0.1,20,0.6926625160217285,0.17242394304681682,0.39297598266601563,0.9663011016845703,0,138.5325032043457,34.48478860936336
plain,0,centre_frozen,train_probe,0.2,20,3.3557221298217774,1.0954488486259617,1.8808389739990237,5.98249266052246,0,167.78610649108884,54.772442431298074
plain,0,centre_frozen,train_probe,0.25,20,5.392771322631836,1.8003635649142595,3.154061386108398,9.917974838256836,0,172.56868232421874,57.611634077256305
plain,0,centre_frozen,train_probe,0.35,20,10.522756619262697,3.4888038442006395,6.085843734741211,19.6025604095459,0,171.80010806959507,56.96006276245943
plain,0,centre_frozen,train_probe,0.5,20,22.406141085815435,7.302488430889849,11.914203475952148,41.9536277923584,0,179.24912868652348,58.41990744711879
plain,0,centre_frozen,test_probe,0.005,20,0.0010359008789062763,0.0003431329128369642,0.00046777343750004086,0.0015081176757812953,0,82.8720703125021,27.450633026957135
plain,0,centre_frozen,test_probe,0.01,20,0.00436428985595706,0.001343950615799062,0.0023712463378906534,0.006439743041992241,0,87.2857971191412,26.879012315981235
plain,0,centre_frozen,test_probe,0.02,20,0.018783665466308615,0.005146723749149088,0.008992309570312496,0.027369293212890722,0,93.91832733154305,25.733618745745442
plain,0,centre_frozen,test_probe,0.025,20,0.029941062927246104,0.008121511670892033,0.01427960205078127,0.04314633178710936,0,95.81140136718753,25.988837346854503
plain,0,centre_frozen,test_probe,0.05,20,0.12790127563476564,0.03411013039075114,0.0644658966064453,0.17948486328125002,0,102.32102050781249,27.28810431260091
plain,0,centre_frozen,test_probe,0.1,20,0.5893791793823243,0.17106594467003433,0.2984725952148438,0.8427724609374999,0,117.87583587646483,34.213188934006865
plain,0,centre_frozen,test_probe,0.2,20,3.006834379577637,1.0751852643587172,1.578239776611328,5.516652587890625,0,150.3417189788818,53.75926321793585
plain,0,centre_frozen,test_probe,0.25,20,4.945696209716798,1.776879386337324,2.7645849609375004,9.392351318359376,0,158.26227871093752,56.86014036279437
plain,0,centre_frozen,test_probe,0.35,20,9.986532415771485,3.473556036735819,5.600537353515625,19.11736608886719,0,163.04542719626915,56.71111896711542
plain,0,centre_frozen,test_probe,0.5,20,21.85129454956055,7.2692352231567705,11.458329589843752,41.37356481933594,0,174.8103563964844,58.153881785254164
plain,1,saved,train_probe,0.005,20,0.001899875640869146,0.0005134223721516294,0.001250839233398443,0.003382099151611334,0,151.99005126953168,41.073789772130354
plain,1,saved,train_probe,0.01,20,0.007397433853149418,0.0019225279500457572,0.004853134155273442,0.013071151733398456,0,147.94867706298837,38.450559000915135
plain,1,saved,train_probe,0.02,20,0.02907083435058594,0.007589357969472363,0.01827370071411133,0.05073875427246094,0,145.3541717529297,37.94678984736182
plain,1,saved,train_probe,0.025,20,0.04530290336608887,0.011983528263324298,0.027982452392578128,0.07949404525756837,0,144.96929077148437,38.34729044263775
plain,1,saved,train_probe,0.05,20,0.18505035972595216,0.05154277194264094,0.1063791885375977,0.32911351013183593,0,148.0402877807617,41.23421755411274
plain,1,saved,train_probe,0.1,20,0.8195357368469237,0.22676146522913973,0.4621956481933594,1.344158477783203,0,163.90714736938475,45.35229304582794
plain,1,saved,train_probe,0.2,20,3.7645762863159185,0.9265283509320069,2.35481655883789,5.266847045898438,0,188.2288143157959,46.32641754660033
plain,1,saved,train_probe,0.25,20,5.8613732727050785,1.3545732542148254,3.83550146484375,7.7861435546874995,0,187.5639447265625,43.346344134874414
plain,1,saved,train_probe,0.35,20,10.792948937988282,2.3372573041360725,6.3821910400390625,16.015429077148436,0,176.21141123246178,38.15930292467058
plain,1,saved,train_probe,0.5,20,22.002804919433594,5.20754619411025,10.490936523437501,33.089915039062504,0,176.02243935546875,41.660369552882
plain,1,saved,test_probe,0.005,20,0.0012489349365234325,0.0006287316693012257,0.0002961730957031783,0.0028238983154297292,0,99.9147949218746,50.29853354409804
plain,1,saved,test_probe,0.01,20,0.005529227447509777,0.0023642982142765994,0.0022653961181641202,0.011688995361328058,0,110.58454895019554,47.28596428553198
plain,1,saved,test_probe,0.02,20,0.023628968811035156,0.009202321086200886,0.011310272216796924,0.0468467712402344,0,118.14484405517578,46.01160543100443
plain,1,saved,test_probe,0.025,20,0.03717336959838868,0.014225164038930274,0.018487426757812453,0.07276681518554684,0,118.95478271484376,45.520524924576875
plain,1,saved,test_probe,0.05,20,0.15460988998413083,0.054775510744342,0.08493562316894532,0.28955084228515615,0,123.68791198730472,43.82040859547359
plain,1,saved,test_probe,0.1,20,0.7120375671386718,0.2297831722696423,0.3958604736328125,1.1942420654296875,0,142.40751342773433,45.956634453928444
plain,1,saved,test_probe,0.2,20,3.4327272186279294,0.9112733656441212,1.9336307067871092,4.988776153564453,0,171.63636093139644,45.56366828220605
plain,1,saved,test_probe,0.25,20,5.4326855773925775,1.3479514363366114,3.284626495361328,7.277580841064454,0,173.84593847656248,43.134445962771565
plain,1,saved,test_probe,0.35,20,10.267566931152343,2.375063307103936,5.850536285400391,15.625390899658203,0,167.63374581473218,38.77654378945202
plain,1,saved,test_probe,0.5,20,21.363787811279295,5.169584308466646,9.88147659301758,32.39516165161133,0,170.91030249023436,41.35667446773317
plain,1,recalibrated,train_probe,0.005,20,0.0007067239761352443,0.00019156104225464835,0.0003969573974609286,0.0012064552307128884,0,56.53791809081953,15.324883380371864
plain,1,recalibrated,train_probe,0.01,20,0.002674570655822749,0.0006056510278416747,0.0016231994628906343,0.004137401580810551,0,53.49141311645498,12.113020556833494
plain,1,recalibrated,train_probe,0.02,20,0.010116654586791984,0.002084758698411576,0.006573200225830078,0.014989368438720702,0,50.58327293395992,10.423793492057879
plain,1,recalibrated,train_probe,0.025,20,0.015537424659728993,0.00308623839452506,0.010221473693847627,0.022348388671874997,0,49.71975891113277,9.87596286248019
plain,1,recalibrated,train_probe,0.05,20,0.05793953323364257,0.010540186934801108,0.03888762283325195,0.07493120956420896,0,46.35162658691404,8.432149547840886
plain,1,recalibrated,train_probe,0.1,20,0.21060129203796385,0.03699454975978644,0.14545795440673825,0.2644747085571289,0,42.12025840759276,7.398909951957286
plain,1,recalibrated,train_probe,0.2,20,0.7504387809753417,0.11107919024382662,0.5685141220092773,0.8941787185668946,0,37.521939048767074,5.55395951219133
plain,1,recalibrated,train_probe,0.25,20,1.1110167343139647,0.15357093807322297,0.8586384963989258,1.3174185256958006,0,35.55253549804687,4.914270018343135
