policy,split,amplitude,method,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4,mean_relative_to_plain
saved,test_probe,0.35,resolution_max_b1,5,-1.8525768054199219,0.6551984624294177,5,0,0,-2.925915493774414,-1.8699847351074208,-1.2174289367675764,-1.7944583068847653,-1.4550965545654329,-0.1937040543537813
saved,test_probe,0.35,gaussian_postrelu,5,-1.6948784857177739,0.4016617440500235,5,0,0,-1.9030988830566402,-2.2799470733642586,-1.2981867309570312,-1.3878172607421861,-1.605342480468753,-0.177286998615999
saved,test_probe,0.35,resolution_max_b1_gaussian_conv,5,-2.427013253784179,0.8934775793536431,5,0,0,-3.5242604095458976,-3.0518781585693358,-1.350583334350583,-2.444500836181641,-1.763843530273438,-0.2526861660136319
saved,test_probe,0.5,resolution_max_b1,5,-2.9371307629394545,1.9424334120445637,5,0,0,-5.26035456542969,-2.4599277648925764,-0.46805830078125155,-4.508950842285159,-1.9883623413085942,-0.1396698455528601
saved,test_probe,0.5,gaussian_postrelu,5,-4.01474453430176,1.3013165881002797,5,0,0,-5.523174874877935,-4.2377515258789025,-1.9224725708007817,-4.249487048339848,-4.14083665161133,-0.19332824361566864
saved,test_probe,0.5,resolution_max_b1_gaussian_conv,5,-4.320460350341798,2.421369637152677,5,0,0,-6.7609541381836,-5.2684036010742155,-2.381877612304688,-6.023328039550783,-1.1677383605957026,-0.20484554130504457
recalibrated,train_probe,0.005,resolution_max_b1,5,-0.00027327800750731715,0.0001535884407292954,5,0,0,-0.00019634876251221623,-0.00038979053497310986,-0.0004786079406738225,-0.00018765029907224644,-0.00011399250030519055,-0.4151702704137633
recalibrated,train_probe,0.005,gaussian_postrelu,5,1.9668655395513324e-05,0.0001122083761256107,1,4,0,6.788959503171987e-05,2.9993057251250692e-06,-0.00016752815246582622,8.010749816896175e-05,0.00011487503051758614,0.05032983168008347
recalibrated,train_probe,0.005,resolution_max_b1_gaussian_conv,5,-0.00028231288909911893,0.00016775113979135346,5,0,0,-0.00026198062896729826,-0.0004056798934936421,-0.00048319091796872327,-5.8261108398442664e-05,-0.00020245189666748817,-0.4339630453906194
recalibrated,train_probe,0.01,resolution_max_b1,5,-0.000960154571533199,0.000433311254022567,5,0,0,-0.0007046747207641634,-0.0013750349044799508,-0.0014873468399047866,-0.0006157545089721509,-0.0006179618835449429,-0.38835872172124153
recalibrated,train_probe,0.01,gaussian_postrelu,5,0.00026932212829590234,0.0003665987026321523,1,4,0,0.00044236087799070936,0.00010300807952884176,-0.0002985460281372241,0.0005443969726562623,0.0005553907394409223,0.12548480761124509
recalibrated,train_probe,0.01,resolution_max_b1_gaussian_conv,5,-0.0009853330993652338,0.0005211836852777296,5,0,0,-0.0009693315505981529,-0.001391879463195796,-0.001558765220642071,-0.0002508138656616269,-0.0007558753967285225,-0.4011452248539561
recalibrated,train_probe,0.02,resolution_max_b1,5,-0.00333028202056884,0.0012770088570892423,5,0,0,-0.00258568038940431,-0.00476283226013181,-0.004659241485595701,-0.002080703163146947,-0.002562952804565432,-0.35691381780017817
recalibrated,train_probe,0.02,gaussian_postrelu,5,0.0017459954452514667,0.0015543076028559984,1,4,0,0.0015809120178222474,0.0008619750976562781,-0.00025802745819093406,0.003570757484436053,0.0029743600845336896,0.19997955867536316
recalibrated,train_probe,0.02,resolution_max_b1_gaussian_conv,5,-0.0035011814498901355,0.0015993341964203806,5,0,0,-0.00375330963134767,-0.00477271194458006,-0.00496965599060057,-0.0010257596969604557,-0.0029844699859619198,-0.37812401790666594
recalibrated,train_probe,0.025,resolution_max_b1,5,-0.005001470069885244,0.0018638099330155623,5,0,0,-0.003903800964355471,-0.007159192466735806,-0.006861773490905762,-0.0031478860855102316,-0.003934697341918952,-0.3490544201953282
recalibrated,train_probe,0.025,gaussian_postrelu,5,0.0031909200668334982,0.0026895404312518747,1,4,0,0.0025707569122314297,0.0015759241104126246,-8.328247070320954e-06,0.006593731117248541,0.005222516441345217,0.23576759658704144
recalibrated,train_probe,0.025,resolution_max_b1_gaussian_conv,5,-0.005306600303649893,0.002311677011103585,5,0,0,-0.005763369369506845,-0.00713815250396726,-0.00732121791839597,-0.0016558218002319294,-0.004654439926147461,-0.37364112284752654
recalibrated,train_probe,0.05,resolution_max_b1,5,-0.01749800884246826,0.005822603916663713,5,0,0,-0.013296183776855479,-0.024750210189819287,-0.02265549125671388,-0.011800810813903793,-0.014987348175048855,-0.3268184666592033
recalibrated,train_probe,0.05,gaussian_postrelu,5,0.019199610595703125,0.01283802311750048,0,5,0,0.013963567352294926,0.012794061660766624,0.005311871528625466,0.03796717014312745,0.02596138229370116,0.3709467688332556
recalibrated,train_probe,0.05,resolution_max_b1_gaussian_conv,5,-0.019092202873229984,0.007415561262223086,5,0,0,-0.02096601638793946,-0.025103601455688462,-0.024284114456176745,-0.00672901325225831,-0.018378268814086933,-0.3604476298212418
recalibrated,train_probe,0.1,resolution_max_b1,5,-0.06125487083435057,0.01680985275171016,5,0,0,-0.04465356216430666,-0.08309169654846188,-0.0739536334991455,-0.04700774879455563,-0.057567713165283224,-0.3127409321865079
recalibrated,train_probe,0.1,gaussian_postrelu,5,0.08351630653381348,0.04286396054220404,0,5,0,0.06701348495483397,0.062029526901245136,0.03781097412109369,0.14798956909179695,0.10273797760009765,0.43713273730009117
recalibrated,train_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.06796291053771972,0.024992097117535306,5,0,0,-0.07548964462280275,-0.08929078025817869,-0.07939508972167963,-0.024964730072021463,-0.07067430801391605,-0.3501092137530194
