method,seed,epoch,masked_weight_norm,mean_block_norm,fc_weight_norm,bn_gamma_norm
plain,4,18,33.89102053717828,1.280053225585102,5.420344070516793,23.485869473776678
plain,4,21,33.71086389801204,1.2727610174791986,5.664842296428204,23.362865307701835
plain,4,30,33.561434076256404,1.2666157125723747,5.88953273760927,23.279435855287474
resolution_max_b1,0,3,36.21075872586624,1.367572825946743,2.551829748173824,25.55489511216912
resolution_max_b1,0,6,35.490374461535446,1.341593185039301,3.327736042171284,24.908287323278763
resolution_max_b1,0,9,34.858999222689036,1.318111638679977,3.938469017599906,24.35946800578398
resolution_max_b1,0,12,34.34308836311671,1.2985305221793482,4.405642621125303,23.92144692951125
resolution_max_b1,0,18,33.64241889615872,1.271364543298992,5.067881341343396,23.364188172423788
resolution_max_b1,0,21,33.44263434953195,1.2634834464433795,5.2748203339533255,23.228375501059755
resolution_max_b1,0,30,33.28170253527865,1.2570627974231388,5.462309468164508,23.13243338902507
resolution_max_b1,1,3,36.20857475667198,1.3673436590661137,2.5727762878295053,25.56018244940865
resolution_max_b1,1,6,35.492621759980096,1.3414371428055427,3.346227006004599,24.919119287766478
resolution_max_b1,1,9,34.865158703971325,1.3180840290720488,4.010965142623716,24.385727438563038
resolution_max_b1,1,12,34.35241900669524,1.29857260359884,4.480980887963063,23.952350697393854
resolution_max_b1,1,18,33.65399226932224,1.2714452332914494,5.1297974647178535,23.395625047273576
resolution_max_b1,1,21,33.45542586549194,1.2635945478736008,5.337793267908015,23.260897158938906
resolution_max_b1,1,30,33.2944986543996,1.2571605665596346,5.52515617042517,23.16555571757595
resolution_max_b1,2,3,36.421393054305845,1.3755393341616693,2.656854059974999,25.56666636760945
resolution_max_b1,2,6,35.69582741558732,1.3492202210057243,3.4192838188015577,24.927857952663956
resolution_max_b1,2,9,35.06214607403359,1.3255918528366288,4.03713702002031,24.38476758954386
resolution_max_b1,2,12,34.54516105184006,1.3059238337033596,4.503181229195586,23.94966431101833
resolution_max_b1,2,18,33.838392431487854,1.2785128813861897,5.143660604552837,23.389886426578034
resolution_max_b1,2,21,33.635635098214856,1.2705293722989213,5.338657587722633,23.25175011396298
resolution_max_b1,2,30,33.472675140341885,1.2640361658263088,5.52092251996963,23.155367531240692
resolution_max_b1,3,3,36.266277266353136,1.3693871897665126,2.514649255038877,25.55436408815737
resolution_max_b1,3,6,35.54595210390791,1.343384123419043,3.2932127269898923,24.90952097376375
resolution_max_b1,3,9,34.91942983495552,1.3200961204821833,3.9339448867265365,24.367972378685636
