method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,18,0.05,0.2235287322998047,0.17192733764648438,0.17662300109863283,0.1742751693725586,139.42013549804685
plain,0,saved,train_probe,19,0.05,0.2235287322998047,0.12410449218750003,0.15064569091796876,0.13737509155273436,109.90007324218747
plain,0,saved,train_probe,0,0.1,0.2235287322998047,0.5451551361083984,0.6911362152099609,0.6181456756591797,123.62913513183591
plain,0,saved,train_probe,1,0.1,0.2235287322998047,0.8149656524658202,0.9026845245361328,0.8588250885009765,171.76501770019527
plain,0,saved,train_probe,2,0.1,0.2235287322998047,0.4427994232177735,0.36526509094238285,0.4040322570800781,80.8064514160156
plain,0,saved,train_probe,3,0.1,0.2235287322998047,1.1456900787353514,0.6920526580810547,0.918871368408203,183.77427368164058
plain,0,saved,train_probe,4,0.1,0.2235287322998047,0.4255896148681641,0.35705229187011717,0.3913209533691407,78.26419067382812
plain,0,saved,train_probe,5,0.1,0.2235287322998047,0.7044557037353516,0.5784513702392577,0.6414535369873047,128.29070739746092
plain,0,saved,train_probe,6,0.1,0.2235287322998047,0.7339310760498048,0.9929275054931641,0.8634292907714844,172.68585815429685
plain,0,saved,train_probe,7,0.1,0.2235287322998047,0.4885053863525391,0.4734032745361328,0.48095433044433594,96.19086608886717
plain,0,saved,train_probe,8,0.1,0.2235287322998047,0.6397114715576171,0.711915786743164,0.6758136291503907,135.1627258300781
plain,0,saved,train_probe,9,0.1,0.2235287322998047,0.6869604034423828,0.4586148223876953,0.5727876129150391,114.5575225830078
plain,0,saved,train_probe,10,0.1,0.2235287322998047,0.5020396575927735,0.5821982269287109,0.5421189422607422,108.42378845214841
plain,0,saved,train_probe,11,0.1,0.2235287322998047,0.7148765716552734,0.533418472290039,0.6241475219726562,124.82950439453121
plain,0,saved,train_probe,12,0.1,0.2235287322998047,0.5793561248779298,0.7211023712158202,0.650229248046875,130.04584960937498
plain,0,saved,train_probe,13,0.1,0.2235287322998047,0.5415135650634766,0.5215951080322265,0.5315543365478514,106.31086730957027
plain,0,saved,train_probe,14,0.1,0.2235287322998047,1.1411184844970703,0.6203851470947266,0.8807518157958985,176.15036315917965
plain,0,saved,train_probe,15,0.1,0.2235287322998047,0.7323920440673828,1.0275186309814452,0.879955337524414,175.99106750488278
plain,0,saved,train_probe,16,0.1,0.2235287322998047,0.7435635528564453,0.9671875762939453,0.8553755645751953,171.07511291503903
