method,seed,checkpoint,update,reason,state_label,resolution,sigma_G,policy,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,update_005815.pt,5815,transition_window,final,32,0.0,recalibrated,0.9747753295898437,0.708,1.0137846984863281,0.677
resolution_max_b1_gaussian_conv,3,update_005815.pt,5815,transition_window,current,32,0.5,saved,0.4676838531494141,0.842,0.5942392272949218,0.795
resolution_max_b1_gaussian_conv,3,update_005815.pt,5815,transition_window,current,32,0.5,recalibrated,0.46703022766113284,0.846,0.5944637145996093,0.788
resolution_max_b1_gaussian_conv,3,update_005855.pt,5855,transition_window,final,32,0.0,saved,3.3877626953125,0.313,3.233843994140625,0.307
resolution_max_b1_gaussian_conv,3,update_005855.pt,5855,transition_window,final,32,0.0,recalibrated,0.9692339477539063,0.708,1.0216032104492188,0.68
resolution_max_b1_gaussian_conv,3,update_005855.pt,5855,transition_window,current,32,0.5,saved,0.47492045593261717,0.835,0.6311776428222656,0.775
resolution_max_b1_gaussian_conv,3,update_005855.pt,5855,transition_window,current,32,0.5,recalibrated,0.47038735961914063,0.839,0.61666552734375,0.781
resolution_max_b1_gaussian_conv,3,update_005864.pt,5864,transition_window,final,32,0.0,saved,3.0625947265625,0.326,2.922041015625,0.332
resolution_max_b1_gaussian_conv,3,update_005864.pt,5864,transition_window,final,32,0.0,recalibrated,0.9845347290039063,0.698,1.0379388427734375,0.678
resolution_max_b1_gaussian_conv,3,update_005864.pt,5864,transition_window,current,32,0.5,saved,0.4724034118652344,0.842,0.6076196594238281,0.792
resolution_max_b1_gaussian_conv,3,update_005864.pt,5864,transition_window,current,32,0.5,recalibrated,0.4722041473388672,0.834,0.6022980346679687,0.799
resolution_max_b1_gaussian_conv,3,epoch_015.pt,5865,epoch_end,final,32,0.0,saved,3.0773238525390627,0.341,2.9284287109375,0.335
resolution_max_b1_gaussian_conv,3,epoch_015.pt,5865,epoch_end,final,32,0.0,recalibrated,0.987833984375,0.694,1.0397457275390625,0.674
resolution_max_b1_gaussian_conv,3,epoch_015.pt,5865,epoch_end,current,32,0.5,saved,0.47065240478515624,0.84,0.6066765441894532,0.796
resolution_max_b1_gaussian_conv,3,epoch_015.pt,5865,epoch_end,current,32,0.5,recalibrated,0.47382293701171874,0.834,0.6026468200683593,0.802
resolution_max_b1_gaussian_conv,3,update_005866.pt,5866,transition_window,final,32,0.0,saved,1.922172119140625,0.461,1.8355672607421876,0.447
resolution_max_b1_gaussian_conv,3,update_005866.pt,5866,transition_window,final,32,0.0,recalibrated,0.9879015808105469,0.693,1.0389505920410156,0.681
resolution_max_b1_gaussian_conv,3,update_005866.pt,5866,transition_window,current,32,0.4,saved,0.6732084045410156,0.78,0.7432686157226562,0.76
resolution_max_b1_gaussian_conv,3,update_005866.pt,5866,transition_window,current,32,0.4,recalibrated,0.6226727905273437,0.8,0.696115966796875,0.779
resolution_max_b1_gaussian_conv,3,update_005875.pt,5875,transition_window,final,32,0.0,saved,1.1147061767578126,0.613,1.13292724609375,0.604
resolution_max_b1_gaussian_conv,3,update_005875.pt,5875,transition_window,final,32,0.0,recalibrated,0.9048720703125,0.745,0.9679168395996094,0.702
resolution_max_b1_gaussian_conv,3,update_005875.pt,5875,transition_window,current,32,0.4,saved,0.5941925659179688,0.805,0.6709652099609374,0.774
resolution_max_b1_gaussian_conv,3,update_005875.pt,5875,transition_window,current,32,0.4,recalibrated,0.5884158325195312,0.814,0.6697369689941406,0.783
resolution_max_b1_gaussian_conv,3,update_005915.pt,5915,transition_window,final,32,0.0,saved,0.8334847717285156,0.715,0.8901926879882812,0.696
resolution_max_b1_gaussian_conv,3,update_005915.pt,5915,transition_window,final,32,0.0,recalibrated,0.7480879821777344,0.787,0.8203290710449219,0.742
resolution_max_b1_gaussian_conv,3,update_005915.pt,5915,transition_window,current,32,0.4,saved,0.535765869140625,0.814,0.6312484130859375,0.791
resolution_max_b1_gaussian_conv,3,update_005915.pt,5915,transition_window,current,32,0.4,recalibrated,0.5334472961425781,0.825,0.6279432067871094,0.794
resolution_max_b1_gaussian_conv,3,epoch_016.pt,6256,epoch_end,final,32,0.0,saved,0.7638507080078125,0.724,0.8258220825195313,0.721
resolution_max_b1_gaussian_conv,3,epoch_016.pt,6256,epoch_end,final,32,0.0,recalibrated,0.6010762329101562,0.829,0.677432861328125,0.78
resolution_max_b1_gaussian_conv,3,epoch_016.pt,6256,epoch_end,current,32,0.4,saved,0.47823638916015626,0.838,0.5880266418457031,0.801
