kind,method,seed,grid,checkpoint_update,state_label,a_dir0,b_dir1,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.175,0.7742320861816406,0.724,0.8969684143066406,0.71
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.15,0.7247449340820312,0.744,0.8612561645507812,0.719
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.125,0.6906933898925781,0.769,0.8412072143554687,0.72
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.09999999999999998,0.6769626159667969,0.773,0.8327016296386719,0.72
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.07499999999999998,0.6774853820800781,0.771,0.8378486633300781,0.722
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.04999999999999999,0.6953274536132813,0.76,0.8500788879394531,0.721
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.024999999999999994,0.7224194946289062,0.745,0.8687057800292969,0.719
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.0,0.7561137084960937,0.742,0.90118994140625,0.712
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.025000000000000022,0.8041177368164063,0.721,0.9383133239746094,0.697
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.050000000000000044,0.8654407043457031,0.697,0.9855083312988281,0.687
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.07500000000000001,0.9411644592285157,0.676,1.0397008056640624,0.667
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.10000000000000003,1.0260029907226562,0.65,1.1002960815429688,0.654
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.125,1.11877294921875,0.625,1.17189697265625,0.625
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.15000000000000002,1.2186002807617187,0.597,1.25518408203125,0.602
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.17500000000000004,1.3264616088867187,0.565,1.349323486328125,0.577
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.2,1.4404979248046874,0.539,1.4504935302734374,0.535
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.22500000000000003,1.55897412109375,0.517,1.5578187866210937,0.514
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,0.25,1.68048583984375,0.489,1.6713456420898438,0.481
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.25,0.992028076171875,0.673,1.1148925170898438,0.628
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.225,0.8717996826171875,0.697,0.9997041625976563,0.676
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.2,0.7663011169433593,0.734,0.9001119689941406,0.707
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.175,0.6835387878417969,0.76,0.8192061157226562,0.726
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.15,0.6205942993164062,0.78,0.7646539306640625,0.745
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.125,0.5741786193847657,0.798,0.7307420959472656,0.756
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.09999999999999998,0.5489732360839844,0.806,0.7119373474121093,0.752
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.07499999999999998,0.5404821166992188,0.814,0.7079387817382813,0.765
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.04999999999999999,0.5503538055419922,0.812,0.7219197082519532,0.761
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,-0.024999999999999994,0.5754949035644531,0.802,0.7445424499511719,0.755
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.0,0.6138701171875,0.785,0.7756585083007812,0.745
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.025000000000000022,0.6621911010742187,0.769,0.8185036010742187,0.74
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.050000000000000044,0.7193050231933594,0.747,0.8645826721191406,0.722
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.07500000000000001,0.7904670715332032,0.724,0.9178862609863281,0.702
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.10000000000000003,0.8753818969726562,0.701,0.9813689575195312,0.674
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.125,0.970513427734375,0.676,1.0560355834960937,0.655
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.15000000000000002,1.076242919921875,0.637,1.1431497802734376,0.628
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.17500000000000004,1.1893123168945312,0.609,1.2390059204101562,0.6
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.2,1.3090150146484374,0.57,1.342618896484375,0.578
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.22500000000000003,1.4322972412109376,0.542,1.4561986083984375,0.536
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.09999999999999998,0.25,1.5605228271484375,0.511,1.5739828491210937,0.506
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.25,0.9475038452148438,0.681,1.0791581420898437,0.644
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.225,0.8213212585449219,0.718,0.9743811645507813,0.677
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.2,0.7167868957519531,0.747,0.8815669250488282,0.72
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.175,0.6293319091796875,0.781,0.7894644165039062,0.731
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.15,0.5545538330078125,0.797,0.715391357421875,0.756
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.125,0.4978981170654297,0.823,0.6633331298828125,0.773
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.09999999999999998,0.45983847045898435,0.838,0.6324984436035156,0.775
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.07499999999999998,0.4373918151855469,0.85,0.6150590209960938,0.791
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.04999999999999999,0.4339759368896484,0.854,0.6140501098632812,0.789
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,-0.024999999999999994,0.4519798126220703,0.853,0.6321505432128907,0.779
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.0,0.4851356201171875,0.829,0.6651459350585938,0.774
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.025000000000000022,0.5328916015625,0.817,0.7072950439453125,0.768
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.050000000000000044,0.5914165344238281,0.793,0.7589803771972656,0.747
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.07500000000000001,0.66118115234375,0.772,0.8127216796875,0.736
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.10000000000000003,0.7450245361328125,0.743,0.8762336120605468,0.713
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.125,0.8404505920410156,0.715,0.95505322265625,0.678
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.15000000000000002,0.9486246643066406,0.682,1.0441393127441407,0.647
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.17500000000000004,1.067605712890625,0.644,1.1411829223632812,0.617
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.2,1.1922259521484375,0.615,1.2472699584960938,0.6
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.22500000000000003,1.3214253540039063,0.578,1.363409423828125,0.569
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.07499999999999998,0.25,1.45349853515625,0.543,1.4857086181640624,0.533
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.25,0.9167572326660156,0.681,1.0601463012695314,0.644
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.225,0.7896316528320313,0.729,0.9527959289550781,0.684
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.2,0.6816155395507812,0.764,0.8580663757324218,0.711
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.175,0.5926397399902343,0.79,0.7728997802734375,0.739
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.15,0.5169268188476562,0.811,0.6983293151855469,0.76
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.125,0.4563509521484375,0.836,0.641252197265625,0.785
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.09999999999999998,0.41002001953125,0.848,0.6024991455078125,0.801
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.07499999999999998,0.37787449645996096,0.867,0.5769066162109375,0.806
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.04999999999999999,0.36127581787109375,0.878,0.5627052917480468,0.815
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,-0.024999999999999994,0.36282579040527346,0.885,0.5597752075195312,0.811
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.0,0.3830734710693359,0.874,0.5778857727050781,0.798
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.025000000000000022,0.4222437438964844,0.855,0.6121694641113281,0.79
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.050000000000000044,0.4808947448730469,0.829,0.6590921936035157,0.776
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.07500000000000001,0.5541010131835937,0.809,0.716024658203125,0.753
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.10000000000000003,0.6389925842285156,0.78,0.7849382629394531,0.735
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.125,0.7343972778320312,0.759,0.8657059020996094,0.72
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.15000000000000002,0.8409382019042969,0.728,0.9564592895507813,0.675
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.17500000000000004,0.9596262512207031,0.676,1.0568481140136718,0.641
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.2,1.0864609375,0.649,1.1660957641601561,0.621
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.22500000000000003,1.2192280883789062,0.616,1.282805908203125,0.581
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.04999999999999999,0.25,1.3564159545898438,0.58,1.407066650390625,0.549
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.25,0.9107590942382813,0.686,1.0674187622070312,0.646
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.225,0.779177001953125,0.732,0.9544389038085938,0.684
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.2,0.6685013427734375,0.763,0.8543147583007813,0.712
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.175,0.57903515625,0.788,0.7674779357910156,0.751
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.15,0.5050987091064453,0.823,0.697008056640625,0.76
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.125,0.4422669677734375,0.839,0.6432811889648438,0.777
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.09999999999999998,0.39145243835449217,0.862,0.6042655029296875,0.797
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.07499999999999998,0.3536517333984375,0.881,0.5752480773925781,0.811
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.04999999999999999,0.3292137451171875,0.888,0.5542817230224609,0.825
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,-0.024999999999999994,0.31821502685546876,0.895,0.5393569641113282,0.826
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,0.0,0.32260597229003907,0.911,0.536343017578125,0.829
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,0.025000000000000022,0.3486707916259766,0.891,0.5513670501708985,0.812
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,0.050000000000000044,0.39448588562011716,0.868,0.5815927124023438,0.797
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,0.07500000000000001,0.46328871154785156,0.836,0.6281987609863281,0.787
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.024999999999999994,0.10000000000000003,0.5470242309570312,0.806,0.6926690979003907,0.77
