method,seed,checkpoint_update,state_label,resolution,sigma_G,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.025,1,1.0782254028320313,0.606,1.1319985961914063,0.589
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.025,-1,1.0851417846679687,0.591,1.1427802734375,0.589
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.05,1,1.08390234375,0.598,1.1336146240234375,0.592
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.05,-1,1.0974423828125,0.6,1.1553335571289063,0.581
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.1,1,1.1137598876953125,0.594,1.1532850341796874,0.592
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.1,-1,1.136693359375,0.576,1.1957586059570313,0.567
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.2,1,1.246498779296875,0.55,1.2803470458984374,0.547
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.2,-1,1.2851138916015625,0.538,1.3399898681640625,0.528
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.25,1,1.36330517578125,0.514,1.3867794799804687,0.502
resolution_max_b1,4,2346,after,24,,recalibrated,2,0.25,-1,1.38483935546875,0.497,1.4439725952148437,0.472
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.025,1,1.668028564453125,0.394,1.7738992919921874,0.362
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.025,-1,1.6647698974609375,0.397,1.7701962890625,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.05,1,1.6779727783203124,0.387,1.7810416259765625,0.358
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.05,-1,1.6716895751953125,0.393,1.7757611694335937,0.362
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.1,1,1.7145421752929688,0.371,1.8134637451171876,0.352
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.1,-1,1.700639404296875,0.38,1.8001303100585937,0.351
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.2,1,1.8703894653320312,0.326,1.9748839721679687,0.299
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.2,-1,1.8144287109375,0.365,1.9344180297851563,0.318
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.25,1,1.9928766479492188,0.292,2.0884765625,0.262
resolution_max_b1,4,2346,r=32,32,,recalibrated,2,0.25,-1,1.907362060546875,0.328,2.0364688720703126,0.294
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.025,1,0.8288369445800782,0.701,0.9683576965332031,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.025,-1,0.8221316223144531,0.702,0.9589573974609376,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.05,1,0.8434435424804687,0.699,0.9826090087890625,0.642
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.05,-1,0.8275344543457032,0.697,0.9627357788085937,0.661
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.1,1,0.891269775390625,0.68,1.0273204040527344,0.625
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.1,-1,0.8552556762695313,0.688,0.9821683959960937,0.654
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.2,1,1.05171142578125,0.621,1.1614371948242188,0.584
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.2,-1,0.9818850708007812,0.657,1.0777422485351562,0.627
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.25,1,1.154531494140625,0.586,1.2454534301757811,0.558
resolution_max_b1,4,2346,before,16,,recalibrated,3,0.25,-1,1.0780880126953125,0.618,1.1559373779296875,0.6
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.025,1,1.0864496459960937,0.598,1.1443411865234374,0.587
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.025,-1,1.076913330078125,0.608,1.1336541137695313,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.05,1,1.1002235107421876,0.588,1.1589493408203124,0.578
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.05,-1,1.080646728515625,0.613,1.139197998046875,0.579
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.1,1,1.1424244384765625,0.573,1.2004788208007813,0.576
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.1,-1,1.1039246215820313,0.594,1.16789892578125,0.583
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.2,1,1.283916015625,0.532,1.3349463500976562,0.519
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.2,-1,1.2128585205078124,0.547,1.2890266723632813,0.535
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.25,1,1.3722760009765624,0.507,1.4267066040039063,0.485
resolution_max_b1,4,2346,after,24,,recalibrated,3,0.25,-1,1.29017333984375,0.53,1.3782410888671874,0.505
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.025,1,1.6674547729492188,0.397,1.7707533569335938,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.025,-1,1.6649541625976563,0.393,1.7715955810546875,0.365
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.05,1,1.67360498046875,0.403,1.7740467529296875,0.363
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.05,-1,1.670610595703125,0.392,1.77396240234375,0.362
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.1,1,1.699907470703125,0.393,1.80197509765625,0.345
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.1,-1,1.6915846557617187,0.389,1.7865406494140625,0.357
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.2,1,1.8119486083984375,0.354,1.9231524658203125,0.317
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.2,-1,1.7648959350585938,0.365,1.8573568725585938,0.32
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.25,1,1.8896954345703125,0.333,2.0009789428710936,0.289
resolution_max_b1,4,2346,r=32,32,,recalibrated,3,0.25,-1,1.8191103515625,0.343,1.9125842895507812,0.301
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.025,1,0.832164306640625,0.699,0.967081787109375,0.653
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.025,-1,0.8197691650390625,0.699,0.9607216186523437,0.649
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.05,1,0.8485036315917969,0.693,0.9804759521484375,0.654
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.05,-1,0.8276846618652344,0.694,0.9680541381835938,0.643
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.1,1,0.9006782836914062,0.67,1.0289888916015626,0.648
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.1,-1,0.8764598083496093,0.678,1.0111533203125,0.636
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.2,1,1.09418505859375,0.598,1.1962919921875,0.587
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.2,-1,1.104603759765625,0.609,1.2032006225585938,0.571
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.25,1,1.2221775512695312,0.552,1.3121422119140624,0.552
resolution_max_b1,4,2346,before,16,,recalibrated,4,0.25,-1,1.270827880859375,0.55,1.3461495971679687,0.513
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.025,1,1.0860623168945311,0.598,1.1428762817382812,0.584
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.025,-1,1.0793873901367188,0.6,1.1349095458984375,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.05,1,1.0993778686523437,0.589,1.1564970092773437,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.05,-1,1.0879961547851562,0.6,1.1413023681640626,0.576
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.1,1,1.1437138671875,0.573,1.2038812255859375,0.565
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.1,-1,1.1290259399414062,0.586,1.182305419921875,0.564
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.2,1,1.3090579223632812,0.51,1.374898681640625,0.496
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.2,-1,1.3446819458007813,0.502,1.3970467529296875,0.491
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.25,1,1.425033203125,0.469,1.4907924194335938,0.453
resolution_max_b1,4,2346,after,24,,recalibrated,4,0.25,-1,1.4937611694335937,0.457,1.5439216918945313,0.448
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.025,1,1.6568204956054688,0.398,1.7582383422851562,0.358
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.025,-1,1.678810791015625,0.394,1.7870772705078124,0.37
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.05,1,1.6559133911132813,0.397,1.7520760498046875,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.05,-1,1.7013006591796875,0.388,1.80836962890625,0.358
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.1,1,1.6683950805664063,0.385,1.7676249389648437,0.358
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.1,-1,1.7702965087890625,0.368,1.8763535766601562,0.353
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.2,1,1.757386962890625,0.343,1.8769998779296875,0.3
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.2,-1,1.9346327514648438,0.327,2.04010302734375,0.304
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.25,1,1.8190084838867187,0.327,1.947364501953125,0.27
resolution_max_b1,4,2346,r=32,32,,recalibrated,4,0.25,-1,2.033740966796875,0.309,2.1441453857421875,0.272
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.025,1,0.8235380554199219,0.705,0.9634498291015625,0.653
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.025,-1,0.8295618286132812,0.7,0.96726953125,0.649
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.05,1,0.8344049377441406,0.697,0.9734569396972657,0.645
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.05,-1,0.8465081481933594,0.686,0.9825267944335937,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.1,1,0.8826186218261719,0.682,1.0157945556640624,0.626
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.1,-1,0.9012914123535156,0.662,1.0362514038085937,0.636
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.2,1,1.0724344482421875,0.596,1.1844475708007813,0.564
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.2,-1,1.0866531982421874,0.607,1.215418212890625,0.561
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.25,1,1.2123018188476562,0.543,1.3113394775390625,0.515
resolution_max_b1,4,2346,before,16,,recalibrated,5,0.25,-1,1.2037760620117188,0.57,1.3208726806640625,0.53
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.025,1,1.081125732421875,0.603,1.1373311767578125,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.025,-1,1.0863783569335939,0.594,1.1431052856445312,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.05,1,1.0901419677734374,0.593,1.1464108276367186,0.584
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.05,-1,1.1034305419921875,0.599,1.1609967651367188,0.581
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.1,1,1.1289340209960939,0.58,1.1937861328125,0.565
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.1,-1,1.1608341674804687,0.568,1.222416015625,0.56
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.2,1,1.2857542724609374,0.513,1.3764060668945313,0.491
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.2,-1,1.3377785034179688,0.508,1.3996828002929687,0.498
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.25,1,1.3953273315429688,0.464,1.4968428955078126,0.457
resolution_max_b1,4,2346,after,24,,recalibrated,5,0.25,-1,1.4387902221679687,0.481,1.4956048583984376,0.47
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.025,1,1.670086181640625,0.388,1.7806856079101563,0.36
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.025,-1,1.6672003784179688,0.398,1.7679882202148438,0.362
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.05,1,1.6822533569335938,0.388,1.7988833618164062,0.362
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.05,-1,1.6813446044921876,0.392,1.774871337890625,0.371
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.1,1,1.7220445556640624,0.369,1.8512237548828125,0.335
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.1,-1,1.7247086791992188,0.38,1.8001672973632812,0.372
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.2,1,1.8632724609375,0.3,2.020864013671875,0.283
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.2,-1,1.8503915405273437,0.334,1.92053125,0.343
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.25,1,1.9491360473632813,0.276,2.1132077026367186,0.246
resolution_max_b1,4,2346,r=32,32,,recalibrated,5,0.25,-1,1.9223226318359374,0.312,1.9888682861328124,0.318
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.025,1,0.8263943786621094,0.699,0.9613102416992187,0.653
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.025,-1,0.8240419006347657,0.7,0.9662145080566407,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.05,1,0.8383634338378906,0.694,0.9655744018554687,0.652
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.05,-1,0.8331026000976562,0.707,0.9748330688476563,0.652
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.1,1,0.8828436889648438,0.673,0.9902343139648437,0.648
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.1,-1,0.8667502746582031,0.694,1.007793701171875,0.638
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.2,1,1.0407008666992188,0.62,1.1098827514648437,0.612
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.2,-1,1.0314007568359376,0.63,1.141297119140625,0.589
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.25,1,1.1496846923828126,0.575,1.2070986328125,0.556
resolution_max_b1,4,2346,before,16,,recalibrated,6,0.25,-1,1.1546312255859374,0.595,1.2493779296875,0.556
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.025,1,1.084020751953125,0.596,1.1424310913085938,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.025,-1,1.0794446411132812,0.603,1.1340922241210938,0.586
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.05,1,1.0958681030273438,0.594,1.1536639404296876,0.576
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.05,-1,1.0867513427734374,0.597,1.1384059448242188,0.59
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.1,1,1.1379937133789062,0.568,1.188540771484375,0.567
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.1,-1,1.1199482421875,0.577,1.1669561767578125,0.584
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.2,1,1.2803930053710937,0.504,1.3104747314453125,0.516
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.2,-1,1.2739832763671874,0.517,1.3080026245117187,0.528
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.25,1,1.374215087890625,0.493,1.4036959228515624,0.485
resolution_max_b1,4,2346,after,24,,recalibrated,6,0.25,-1,1.3923287353515625,0.478,1.4240571899414063,0.48
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.025,1,1.6744385986328125,0.392,1.783759033203125,0.365
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.025,-1,1.659739501953125,0.405,1.7634048461914062,0.367
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.05,1,1.690783935546875,0.388,1.7999723510742187,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.05,-1,1.6625403442382813,0.407,1.7606895751953124,0.369
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.1,1,1.7402652587890626,0.366,1.8490439453125,0.328
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.1,-1,1.6864483032226563,0.405,1.7748582153320311,0.36
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.2,1,1.8940626220703125,0.313,2.0030338134765624,0.282
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.2,-1,1.8234384155273438,0.333,1.9194515380859376,0.294
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.25,1,1.98681103515625,0.292,2.10099658203125,0.254
resolution_max_b1,4,2346,r=32,32,,recalibrated,6,0.25,-1,1.9320921630859376,0.289,2.0292476806640627,0.271
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.025,1,0.8197427062988282,0.705,0.9554210205078125,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.025,-1,0.8332701721191407,0.687,0.9730286254882813,0.654
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.05,1,0.8277379760742187,0.706,0.9563169555664063,0.658
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.05,-1,0.8519383544921875,0.678,0.9916817932128906,0.643
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.1,1,0.8661563415527344,0.688,0.9799869384765625,0.657
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.1,-1,0.9090730590820313,0.662,1.0424461059570314,0.619
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.2,1,1.0536609497070313,0.619,1.1324244995117188,0.611
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.2,-1,1.0966577758789062,0.592,1.2136920166015626,0.574
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.25,1,1.19243505859375,0.567,1.2587581176757812,0.549
resolution_max_b1,4,2346,before,16,,recalibrated,7,0.25,-1,1.2384103393554688,0.556,1.351298583984375,0.519
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.025,1,1.0769005737304687,0.602,1.1317289428710937,0.599
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.025,-1,1.088339599609375,0.601,1.1457269897460938,0.576
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.05,1,1.083615234375,0.612,1.1354266967773436,0.6
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.05,-1,1.1037699584960938,0.59,1.16233154296875,0.581
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.1,1,1.1250077514648438,0.604,1.1696580810546875,0.594
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.1,-1,1.1533409423828125,0.575,1.2127854614257811,0.564
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.2,1,1.3254374389648438,0.519,1.3609552001953125,0.53
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.2,-1,1.3093631591796875,0.515,1.3713084106445312,0.519
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.25,1,1.4748692016601563,0.474,1.4987893676757813,0.481
resolution_max_b1,4,2346,after,24,,recalibrated,7,0.25,-1,1.4273427124023437,0.472,1.4938470458984374,0.462
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.025,1,1.6632422485351563,0.4,1.769624267578125,0.36
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.025,-1,1.6738941650390624,0.385,1.7812246704101562,0.369
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.05,1,1.6729951171875,0.403,1.7781707153320312,0.352
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.05,-1,1.6924700317382813,0.377,1.8018438720703125,0.372
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.1,1,1.7357098388671874,0.385,1.8272501220703126,0.334
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.1,-1,1.74823193359375,0.368,1.8637855224609374,0.352
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.2,1,2.00012060546875,0.287,2.06442724609375,0.28
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.2,-1,1.8552342529296875,0.322,1.972193359375,0.32
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.25,1,2.156168212890625,0.257,2.2184503173828123,0.244
resolution_max_b1,4,2346,r=32,32,,recalibrated,7,0.25,-1,1.9189926147460938,0.301,2.0416792602539062,0.296
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.025,1,0.82519140625,0.705,0.965580810546875,0.655
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.025,-1,0.8232247924804688,0.701,0.9594620361328124,0.651
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.05,1,0.8336938171386719,0.706,0.9737530822753906,0.65
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.05,-1,0.8286441650390625,0.693,0.9609126586914063,0.65
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.1,1,0.864972412109375,0.701,1.0009402770996094,0.646
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.1,-1,0.8564090881347656,0.672,0.9765730590820313,0.659
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.2,1,0.9941784057617188,0.648,1.1066229248046875,0.611
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.2,-1,0.967721923828125,0.638,1.072712371826172,0.62
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.25,1,1.085686767578125,0.614,1.1829613647460937,0.59
resolution_max_b1,4,2346,before,16,,recalibrated,8,0.25,-1,1.0473445434570312,0.616,1.1487073974609374,0.599
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.025,1,1.0852030639648438,0.605,1.1397305297851563,0.588
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.025,-1,1.0776201782226562,0.599,1.1355845947265626,0.59
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.05,1,1.0967825927734376,0.603,1.1483639526367186,0.582
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.05,-1,1.0807857666015626,0.596,1.1398475952148437,0.59
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.1,1,1.1329113159179687,0.591,1.17953857421875,0.573
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.1,-1,1.1021047973632812,0.582,1.159327880859375,0.585
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.2,1,1.2621989135742187,0.551,1.2933797607421875,0.535
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.2,-1,1.197606689453125,0.552,1.24446435546875,0.528
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.25,1,1.3476668090820312,0.531,1.3716981201171874,0.516
resolution_max_b1,4,2346,after,24,,recalibrated,8,0.25,-1,1.2657713623046876,0.518,1.3076001586914063,0.5
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.025,1,1.672914794921875,0.401,1.7801536865234375,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.025,-1,1.65890185546875,0.397,1.7639847412109375,0.364
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.05,1,1.684439208984375,0.397,1.7921400756835937,0.357
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.05,-1,1.658908447265625,0.397,1.7617740478515624,0.366
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.1,1,1.720295166015625,0.389,1.8267294311523437,0.351
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.1,-1,1.6702053833007813,0.389,1.7722669677734375,0.354
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.2,1,1.8330701904296876,0.365,1.9250986328125,0.331
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.2,-1,1.7353344116210938,0.365,1.84597412109375,0.323
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.25,1,1.9022328491210938,0.342,1.9851399536132812,0.324
resolution_max_b1,4,2346,r=32,32,,recalibrated,8,0.25,-1,1.7810094604492188,0.361,1.9030745239257814,0.309
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.025,1,0.8302845458984375,0.704,0.9753130493164063,0.643
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.025,-1,0.820255126953125,0.711,0.9547097778320313,0.649
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.05,1,0.8471196594238282,0.697,0.9972578430175781,0.642
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.05,-1,0.8266123962402344,0.706,0.954688720703125,0.658
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.1,1,0.9060010375976563,0.678,1.0614257202148438,0.624
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.1,-1,0.8625364074707031,0.696,0.969994873046875,0.658
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.2,1,1.1084566650390626,0.599,1.253450927734375,0.558
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.2,-1,1.016102569580078,0.624,1.0738462829589843,0.633
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.25,1,1.2573433837890624,0.559,1.381135986328125,0.516
resolution_max_b1,4,2346,before,16,,recalibrated,9,0.25,-1,1.1335638427734376,0.58,1.1659132690429688,0.593
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.025,1,1.092651123046875,0.594,1.152994140625,0.575
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.025,-1,1.0720751953125,0.605,1.1243487548828126,0.596
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.05,1,1.1153904418945313,0.581,1.1761928100585937,0.577
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.05,-1,1.073494140625,0.598,1.1199048461914063,0.601
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.1,1,1.181966796875,0.561,1.2436116943359374,0.547
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.1,-1,1.0976207885742189,0.591,1.1363051147460939,0.604
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.2,1,1.3868456420898438,0.508,1.4547374267578126,0.47
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.2,-1,1.2341327514648437,0.539,1.25635546875,0.547
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.25,1,1.51805517578125,0.463,1.5936917114257811,0.433
resolution_max_b1,4,2346,after,24,,recalibrated,9,0.25,-1,1.342306640625,0.511,1.351712890625,0.52
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.025,1,1.6796864013671875,0.379,1.7794137573242188,0.361
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.025,-1,1.6564518432617188,0.413,1.766990234375,0.361
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.05,1,1.70447216796875,0.384,1.7957943115234376,0.363
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.05,-1,1.6564640502929688,0.415,1.7686481323242187,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.1,1,1.7654730224609374,0.366,1.8478850708007812,0.344
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.1,-1,1.6741025390625,0.399,1.79973681640625,0.359
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.2,1,1.8986463623046874,0.333,1.9938912353515625,0.299
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.2,-1,1.7912448120117188,0.362,1.928319580078125,0.312
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.25,1,1.9982413940429689,0.304,2.09424755859375,0.269
resolution_max_b1,4,2346,r=32,32,,recalibrated,9,0.25,-1,1.8843646240234375,0.325,2.0073826904296874,0.288
resolution_max_b1,4,4692,before,24,,saved,,0.0,0,0.5140712890625,0.817,0.6981687316894531,0.762
resolution_max_b1,4,4692,before,24,,recalibrated,,0.0,0,0.5033207092285156,0.827,0.6889906921386719,0.763
resolution_max_b1,4,4692,before,24,,recalibrated,0,0.025,1,0.5067388305664062,0.821,0.6871728515625,0.762
