method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,1,recalibrated,12,0.25,1,1.087426513671875,0.65,1.3081015625,0.615
plain,1,saved,12,0.25,-1,5.1041884765625,0.25,5.174584716796875,0.246
plain,1,recalibrated,12,0.25,-1,1.2557715454101563,0.612,1.4221278686523438,0.548
plain,1,saved,13,0.025,1,0.2317785873413086,0.928,0.758029052734375,0.773
plain,1,recalibrated,13,0.025,1,0.21640206146240235,0.936,0.7175148315429688,0.773
plain,1,saved,13,0.025,-1,0.24802311706542968,0.911,0.7565873718261719,0.747
plain,1,recalibrated,13,0.025,-1,0.2149178924560547,0.936,0.7275718078613281,0.765
plain,1,saved,13,0.05,1,0.36147427368164065,0.874,0.8804419250488281,0.739
plain,1,recalibrated,13,0.05,1,0.2614695053100586,0.911,0.73369140625,0.767
plain,1,saved,13,0.05,-1,0.4103166961669922,0.834,0.8943766479492188,0.711
plain,1,recalibrated,13,0.05,-1,0.2637113037109375,0.918,0.7560601196289063,0.747
plain,1,saved,13,0.1,1,0.9518062133789063,0.709,1.476042236328125,0.612
plain,1,recalibrated,13,0.1,1,0.3944193115234375,0.867,0.8094493713378906,0.75
plain,1,saved,13,0.1,-1,1.2237275390625,0.646,1.65377783203125,0.56
plain,1,recalibrated,13,0.1,-1,0.4634161682128906,0.834,0.8720950317382813,0.735
plain,1,saved,13,0.2,1,4.17583447265625,0.333,4.40621142578125,0.316
plain,1,recalibrated,13,0.2,1,0.8578349304199219,0.706,1.1665487670898438,0.645
plain,1,saved,13,0.2,-1,5.772876708984375,0.272,6.03406396484375,0.269
plain,1,recalibrated,13,0.2,-1,1.0866719360351562,0.681,1.2975947265625,0.633
plain,1,saved,13,0.25,1,6.39799365234375,0.234,6.4569541015625,0.239
plain,1,recalibrated,13,0.25,1,1.1806992797851563,0.605,1.4500384521484375,0.582
plain,1,saved,13,0.25,-1,9.0227216796875,0.202,9.1732353515625,0.204
plain,1,recalibrated,13,0.25,-1,1.4585199584960937,0.602,1.6064760131835938,0.571
plain,1,saved,14,0.025,1,0.24187040710449217,0.932,0.7616149291992188,0.758
plain,1,recalibrated,14,0.025,1,0.21401875305175783,0.938,0.7191603698730469,0.776
plain,1,saved,14,0.025,-1,0.2471359176635742,0.914,0.7605790100097656,0.766
plain,1,recalibrated,14,0.025,-1,0.2155703582763672,0.932,0.7216057434082032,0.77
plain,1,saved,14,0.05,1,0.38466246032714846,0.859,0.8851184387207032,0.728
plain,1,recalibrated,14,0.05,1,0.2578953552246094,0.918,0.7430582885742187,0.768
plain,1,saved,14,0.05,-1,0.4043072052001953,0.865,0.9001125793457031,0.722
plain,1,recalibrated,14,0.05,-1,0.2628177185058594,0.913,0.7417277221679688,0.768
plain,1,saved,14,0.1,1,1.0275426940917969,0.672,1.4144111328125,0.632
plain,1,recalibrated,14,0.1,1,0.415664306640625,0.852,0.8271013793945312,0.743
plain,1,saved,14,0.1,-1,1.1955275268554688,0.643,1.6421658325195312,0.549
plain,1,recalibrated,14,0.1,-1,0.44295143127441405,0.84,0.8462494506835937,0.73
plain,1,saved,14,0.2,1,4.670181884765625,0.292,4.86466162109375,0.264
plain,1,recalibrated,14,0.2,1,0.9448766784667969,0.709,1.1629398803710937,0.646
plain,1,saved,14,0.2,-1,4.63852294921875,0.274,4.866475341796875,0.227
plain,1,recalibrated,14,0.2,-1,1.0256344604492187,0.66,1.3122600708007812,0.598
plain,1,saved,14,0.25,1,7.74883154296875,0.195,7.995844482421875,0.179
plain,1,recalibrated,14,0.25,1,1.3353847045898437,0.596,1.4614765014648436,0.581
plain,1,saved,14,0.25,-1,6.755464111328125,0.199,6.96030322265625,0.175
plain,1,recalibrated,14,0.25,-1,1.3973565063476563,0.556,1.6528177490234375,0.521
plain,1,saved,15,0.025,1,0.23681686401367188,0.929,0.7334311828613281,0.768
plain,1,recalibrated,15,0.025,1,0.21059534454345702,0.934,0.7139379577636719,0.777
plain,1,saved,15,0.025,-1,0.24714073181152343,0.921,0.7730488891601562,0.764
plain,1,recalibrated,15,0.025,-1,0.20795030975341797,0.94,0.7250531005859375,0.769
plain,1,saved,15,0.05,1,0.37404345703125,0.861,0.83294873046875,0.732
plain,1,recalibrated,15,0.05,1,0.2394023895263672,0.924,0.7243893432617188,0.773
plain,1,saved,15,0.05,-1,0.3849178771972656,0.862,0.9150992431640625,0.715
plain,1,recalibrated,15,0.05,-1,0.2364755630493164,0.932,0.7461137084960937,0.763
plain,1,saved,15,0.1,1,1.0207844543457032,0.672,1.371257080078125,0.582
plain,1,recalibrated,15,0.1,1,0.3426325225830078,0.879,0.7767608642578125,0.759
plain,1,saved,15,0.1,-1,1.0163242797851562,0.704,1.4998984375,0.606
plain,1,recalibrated,15,0.1,-1,0.3463860931396484,0.879,0.8262576904296876,0.745
plain,1,saved,15,0.2,1,4.221767822265625,0.326,4.32630908203125,0.301
plain,1,recalibrated,15,0.2,1,0.7341438293457031,0.741,1.0171355590820312,0.697
plain,1,saved,15,0.2,-1,4.06452783203125,0.369,4.428805419921875,0.332
plain,1,recalibrated,15,0.2,-1,0.8009871215820312,0.707,1.1314472045898438,0.646
plain,1,saved,15,0.25,1,6.5365634765625,0.252,6.59513330078125,0.22
plain,1,recalibrated,15,0.25,1,1.0025828857421875,0.673,1.2251480712890626,0.638
plain,1,saved,15,0.25,-1,6.33691455078125,0.264,6.581926513671875,0.248
plain,1,recalibrated,15,0.25,-1,1.1348578491210937,0.609,1.3771551513671876,0.565
plain,1,saved,16,0.025,1,0.22307923126220702,0.931,0.75754736328125,0.768
plain,1,recalibrated,16,0.025,1,0.20735940551757812,0.946,0.7130635070800782,0.775
plain,1,saved,16,0.025,-1,0.2481310119628906,0.918,0.7432381591796875,0.761
plain,1,recalibrated,16,0.025,-1,0.21449234771728515,0.94,0.7229232788085938,0.769
plain,1,saved,16,0.05,1,0.3393611145019531,0.873,0.8744121704101563,0.734
plain,1,recalibrated,16,0.05,1,0.23488037872314455,0.931,0.7195330200195312,0.775
plain,1,saved,16,0.05,-1,0.37495956420898435,0.862,0.8266890258789062,0.739
plain,1,recalibrated,16,0.05,-1,0.25316624450683595,0.921,0.739776123046875,0.761
plain,1,saved,16,0.1,1,0.9294813232421875,0.7,1.4276409912109376,0.609
plain,1,recalibrated,16,0.1,1,0.3433410186767578,0.878,0.7530380859375,0.769
plain,1,saved,16,0.1,-1,0.8125187377929688,0.737,1.2091142578125,0.652
plain,1,recalibrated,16,0.1,-1,0.3809314727783203,0.86,0.7991851196289063,0.737
plain,1,saved,16,0.2,1,3.6124151611328124,0.383,3.9205255126953125,0.371
plain,1,recalibrated,16,0.2,1,0.6960342712402344,0.769,0.9857940368652344,0.682
plain,1,saved,16,0.2,-1,2.16926953125,0.474,2.5463009033203123,0.412
plain,1,recalibrated,16,0.2,-1,0.8478766479492188,0.72,1.1421167602539062,0.632
plain,1,saved,16,0.25,1,5.478099853515625,0.291,5.6052998046875,0.276
plain,1,recalibrated,16,0.25,1,0.9161195678710937,0.688,1.1653012084960936,0.64
plain,1,saved,16,0.25,-1,3.249925537109375,0.323,3.597347412109375,0.308
plain,1,recalibrated,16,0.25,-1,1.1992601318359375,0.615,1.448084716796875,0.563
plain,1,saved,17,0.025,1,0.2322025375366211,0.927,0.7286106567382813,0.764
plain,1,recalibrated,17,0.025,1,0.2231183166503906,0.935,0.7129269104003906,0.777
plain,1,saved,17,0.025,-1,0.23557546997070314,0.934,0.7436951904296875,0.768
plain,1,recalibrated,17,0.025,-1,0.21355416107177735,0.937,0.7303002319335937,0.763
plain,1,saved,17,0.05,1,0.33754774475097654,0.885,0.7952718505859375,0.732
plain,1,recalibrated,17,0.05,1,0.2785934524536133,0.908,0.726063720703125,0.773
plain,1,saved,17,0.05,-1,0.34408465576171876,0.877,0.8099303894042968,0.745
plain,1,recalibrated,17,0.05,-1,0.26857818603515626,0.912,0.7640628967285156,0.755
plain,1,saved,17,0.1,1,0.7799629211425781,0.746,1.1510964965820312,0.657
plain,1,recalibrated,17,0.1,1,0.44015382385253904,0.855,0.7980199890136719,0.75
plain,1,saved,17,0.1,-1,0.7573985290527344,0.742,1.0759554443359376,0.666
plain,1,recalibrated,17,0.1,-1,0.4868983001708984,0.818,0.8879778442382813,0.732
plain,1,saved,17,0.2,1,2.8145792236328124,0.421,2.98704248046875,0.4
plain,1,recalibrated,17,0.2,1,0.9348723754882813,0.704,1.181974365234375,0.635
plain,1,saved,17,0.2,-1,2.365714111328125,0.419,2.3155499267578126,0.407
plain,1,recalibrated,17,0.2,-1,1.1508736572265625,0.637,1.3255747680664063,0.595
plain,1,saved,17,0.25,1,4.43052783203125,0.299,4.525003173828125,0.28
plain,1,recalibrated,17,0.25,1,1.276607666015625,0.614,1.483753173828125,0.577
plain,1,saved,17,0.25,-1,3.63409130859375,0.301,3.479580810546875,0.294
plain,1,recalibrated,17,0.25,-1,1.5269765014648438,0.53,1.6063041381835939,0.52
plain,1,saved,18,0.025,1,0.2596058654785156,0.91,0.7600948791503906,0.76
plain,1,recalibrated,18,0.025,1,0.21766567993164063,0.936,0.7231949768066406,0.766
plain,1,saved,18,0.025,-1,0.2513270263671875,0.918,0.7692705688476562,0.767
plain,1,recalibrated,18,0.025,-1,0.2163229217529297,0.933,0.723184814453125,0.773
plain,1,saved,18,0.05,1,0.4497887878417969,0.836,0.91226318359375,0.712
plain,1,recalibrated,18,0.05,1,0.26672834777832033,0.902,0.7550387268066406,0.76
plain,1,saved,18,0.05,-1,0.4187599182128906,0.851,0.9011906433105469,0.734
plain,1,recalibrated,18,0.05,-1,0.2627178955078125,0.906,0.7388882751464844,0.773
plain,1,saved,18,0.1,1,1.2923665771484374,0.602,1.6362977294921874,0.56
plain,1,recalibrated,18,0.1,1,0.44654725646972654,0.84,0.8609139099121094,0.735
plain,1,saved,18,0.1,-1,1.0568334350585937,0.703,1.4401866455078125,0.632
plain,1,recalibrated,18,0.1,-1,0.41168310546875,0.851,0.8133396911621094,0.744
plain,1,saved,18,0.2,1,4.9557646484375,0.237,5.082671142578125,0.215
plain,1,recalibrated,18,0.2,1,1.1328621826171874,0.635,1.3394959716796875,0.593
plain,1,saved,18,0.2,-1,3.5662498779296876,0.414,3.6938521728515625,0.395
plain,1,recalibrated,18,0.2,-1,0.8869731140136718,0.7,1.1657359008789063,0.617
plain,1,saved,18,0.25,1,7.6977568359375,0.142,7.6861064453125,0.148
plain,1,recalibrated,18,0.25,1,1.568538818359375,0.543,1.6845482177734374,0.514
plain,1,saved,18,0.25,-1,5.4961943359375,0.319,5.5559169921875,0.301
plain,1,recalibrated,18,0.25,-1,1.172756103515625,0.606,1.4118069458007811,0.558
plain,1,saved,19,0.025,1,0.21969903564453125,0.93,0.7389175720214843,0.762
plain,1,recalibrated,19,0.025,1,0.20818897247314452,0.935,0.724233642578125,0.764
plain,1,saved,19,0.025,-1,0.23946949768066406,0.921,0.7414880065917969,0.77
plain,1,recalibrated,19,0.025,-1,0.2141628646850586,0.939,0.7110433349609375,0.775
plain,1,saved,19,0.05,1,0.30859378051757813,0.884,0.8163341979980469,0.753
plain,1,recalibrated,19,0.05,1,0.23922074127197265,0.929,0.7457618408203125,0.754
plain,1,saved,19,0.05,-1,0.34881044006347656,0.873,0.8295564270019531,0.739
plain,1,recalibrated,19,0.05,-1,0.2475101623535156,0.92,0.7187233581542969,0.774
plain,1,saved,19,0.1,1,0.6818180541992187,0.764,1.1428936157226564,0.671
plain,1,recalibrated,19,0.1,1,0.3541072998046875,0.875,0.822489013671875,0.741
plain,1,saved,19,0.1,-1,0.8539939270019531,0.715,1.28488720703125,0.631
plain,1,recalibrated,19,0.1,-1,0.36263299560546874,0.88,0.7805396423339844,0.76
plain,1,saved,19,0.2,1,2.297546630859375,0.478,2.67496826171875,0.454
plain,1,recalibrated,19,0.2,1,0.766574951171875,0.725,1.125468505859375,0.645
plain,1,saved,19,0.2,-1,3.20791796875,0.324,3.367065185546875,0.341
plain,1,recalibrated,19,0.2,-1,0.8295933532714844,0.733,1.0806077880859375,0.669
plain,1,saved,19,0.25,1,3.613433349609375,0.339,3.8573935546875,0.344
plain,1,recalibrated,19,0.25,1,1.0342894287109374,0.65,1.3401069946289061,0.602
plain,1,saved,19,0.25,-1,4.46957666015625,0.245,4.55384521484375,0.256
plain,1,recalibrated,19,0.25,-1,1.1591717529296874,0.63,1.331146240234375,0.598
plain,4,saved,,0.0,0,0.16967857360839844,0.963,0.7400374145507812,0.768
plain,4,recalibrated,,0.0,0,0.16457229614257812,0.963,0.7361421203613281,0.769
plain,4,saved,0,0.025,1,0.20219506072998047,0.946,0.7530493774414062,0.758
plain,4,recalibrated,0,0.025,1,0.18080386352539063,0.955,0.7461473693847657,0.764
plain,4,saved,0,0.025,-1,0.21854810333251953,0.926,0.7819168701171875,0.771
plain,4,recalibrated,0,0.025,-1,0.17773645782470704,0.954,0.7394644470214844,0.769
plain,4,saved,0,0.05,1,0.3315059509277344,0.868,0.8380480041503906,0.725
plain,4,recalibrated,0,0.05,1,0.2271485366821289,0.935,0.775059326171875,0.755
plain,4,saved,0,0.05,-1,0.3482904663085937,0.868,0.8762794494628906,0.744
plain,4,recalibrated,0,0.05,-1,0.21568495178222657,0.942,0.7552938537597657,0.766
plain,4,saved,0,0.1,1,0.92497412109375,0.679,1.2710753173828124,0.611
plain,4,recalibrated,0,0.1,1,0.4086264953613281,0.85,0.8796708984375,0.729
plain,4,saved,0,0.1,-1,0.8602561950683594,0.742,1.2583734741210937,0.664
plain,4,recalibrated,0,0.1,-1,0.36044512939453127,0.877,0.8339293823242188,0.736
plain,4,saved,0,0.2,1,3.602546142578125,0.292,3.634367919921875,0.291
plain,4,recalibrated,0,0.2,1,0.9660790100097656,0.683,1.218371337890625,0.638
plain,4,saved,0,0.2,-1,2.786010986328125,0.513,3.062726318359375,0.45
plain,4,recalibrated,0,0.2,-1,0.8967970581054687,0.701,1.1719480590820313,0.644
plain,4,saved,0,0.25,1,5.49637353515625,0.199,5.459376220703125,0.225
plain,4,recalibrated,0,0.25,1,1.296210205078125,0.598,1.4952540283203124,0.57
plain,4,saved,0,0.25,-1,4.081046508789062,0.433,4.282663818359375,0.39
plain,4,recalibrated,0,0.25,-1,1.2312156372070313,0.614,1.4229402465820313,0.567
plain,4,saved,1,0.025,1,0.20126705932617187,0.942,0.7649397583007812,0.768
plain,4,recalibrated,1,0.025,1,0.1784765853881836,0.959,0.7376100158691407,0.771
plain,4,saved,1,0.025,-1,0.19899657440185547,0.947,0.7552030029296875,0.754
plain,4,recalibrated,1,0.025,-1,0.18029737854003905,0.952,0.7483742065429687,0.757
plain,4,saved,1,0.05,1,0.29592291259765624,0.899,0.8394171447753906,0.745
plain,4,recalibrated,1,0.05,1,0.21764366149902345,0.93,0.7579949035644531,0.759
plain,4,saved,1,0.05,-1,0.2935973358154297,0.903,0.8117606506347657,0.741
plain,4,recalibrated,1,0.05,-1,0.22833211517333984,0.924,0.771115478515625,0.747
plain,4,saved,1,0.1,1,0.7150317077636719,0.766,1.1572496337890625,0.668
plain,4,recalibrated,1,0.1,1,0.3557079162597656,0.881,0.8247316589355469,0.744
plain,4,saved,1,0.1,-1,0.691682861328125,0.762,1.0899906616210937,0.675
plain,4,recalibrated,1,0.1,-1,0.4091746826171875,0.85,0.8725206298828125,0.725
plain,4,saved,1,0.2,1,2.68947216796875,0.463,2.7557867431640624,0.419
plain,4,recalibrated,1,0.2,1,0.7890225524902343,0.734,1.1180137939453125,0.657
plain,4,saved,1,0.2,-1,2.53278369140625,0.451,2.6198095703125,0.417
plain,4,recalibrated,1,0.2,-1,0.9865868530273437,0.662,1.283837890625,0.622
plain,4,saved,1,0.25,1,4.1449931640625,0.338,4.084055297851562,0.323
plain,4,recalibrated,1,0.25,1,1.0625405883789063,0.673,1.31124169921875,0.612
plain,4,saved,1,0.25,-1,4.141189208984375,0.306,4.064521240234375,0.298
plain,4,recalibrated,1,0.25,-1,1.3951072998046874,0.558,1.565931884765625,0.544
plain,4,saved,2,0.025,1,0.19064138793945312,0.949,0.7548266296386719,0.763
plain,4,recalibrated,2,0.025,1,0.17874211120605468,0.954,0.7387760925292969,0.772
plain,4,saved,2,0.025,-1,0.2025748748779297,0.943,0.7533067932128906,0.766
plain,4,recalibrated,2,0.025,-1,0.1761242141723633,0.962,0.7423917846679687,0.773
plain,4,saved,2,0.05,1,0.2610619049072266,0.917,0.7993687438964844,0.753
plain,4,recalibrated,2,0.05,1,0.21764540100097657,0.937,0.7461260375976563,0.766
plain,4,saved,2,0.05,-1,0.29806678771972656,0.891,0.810699951171875,0.747
plain,4,recalibrated,2,0.05,-1,0.21215704345703126,0.94,0.7599100952148438,0.768
plain,4,saved,2,0.1,1,0.5748256225585937,0.795,1.0440975341796874,0.677
plain,4,recalibrated,2,0.1,1,0.35271994018554687,0.878,0.7979586791992187,0.746
plain,4,saved,2,0.1,-1,0.6884329223632812,0.763,1.0928878173828125,0.666
plain,4,recalibrated,2,0.1,-1,0.3549736328125,0.872,0.845123046875,0.739
plain,4,saved,2,0.2,1,2.397125,0.488,2.702612060546875,0.426
plain,4,recalibrated,2,0.2,1,0.8489894409179688,0.733,1.0867276611328125,0.663
plain,4,saved,2,0.2,-1,2.596051025390625,0.432,2.777681396484375,0.396
plain,4,recalibrated,2,0.2,-1,0.8619801635742188,0.708,1.2151864013671876,0.645
plain,4,saved,2,0.25,1,4.390128173828125,0.32,4.5508388671875,0.312
plain,4,recalibrated,2,0.25,1,1.1698146362304687,0.626,1.3089564208984374,0.61
plain,4,saved,2,0.25,-1,4.248593994140625,0.298,4.334102783203125,0.282
plain,4,recalibrated,2,0.25,-1,1.2185708618164062,0.613,1.504649658203125,0.57
plain,4,saved,3,0.025,1,0.2044177703857422,0.943,0.764662109375,0.767
plain,4,recalibrated,3,0.025,1,0.17916091918945312,0.957,0.7358616027832031,0.771
plain,4,saved,3,0.025,-1,0.23227244567871094,0.925,0.8148198852539063,0.752
plain,4,recalibrated,3,0.025,-1,0.1787858657836914,0.957,0.7473877868652343,0.774
plain,4,saved,3,0.05,1,0.3422195739746094,0.88,0.8819869995117188,0.732
plain,4,recalibrated,3,0.05,1,0.22275314331054688,0.933,0.7479251708984375,0.767
plain,4,saved,3,0.05,-1,0.412470703125,0.85,0.9938575439453124,0.725
plain,4,recalibrated,3,0.05,-1,0.21650521850585938,0.937,0.768377685546875,0.763
plain,4,saved,3,0.1,1,0.9408358154296875,0.722,1.3846890869140625,0.634
plain,4,recalibrated,3,0.1,1,0.37393312072753904,0.87,0.8043194580078125,0.737
plain,4,saved,3,0.1,-1,1.1167096557617187,0.698,1.5972805786132813,0.629
plain,4,recalibrated,3,0.1,-1,0.34021463012695313,0.881,0.8383915710449219,0.736
plain,4,saved,3,0.2,1,3.6081466064453127,0.404,3.752249267578125,0.376
plain,4,recalibrated,3,0.2,1,0.8408212280273437,0.726,1.0831793823242188,0.672
plain,4,saved,3,0.2,-1,3.211926513671875,0.464,3.492414306640625,0.434
plain,4,recalibrated,3,0.2,-1,0.7772792663574218,0.734,1.0839666137695312,0.673
plain,4,saved,3,0.25,1,6.244634765625,0.277,6.1965703125,0.276
plain,4,recalibrated,3,0.25,1,1.1173975830078124,0.645,1.3028162231445313,0.614
plain,4,saved,3,0.25,-1,4.424422607421875,0.365,4.6472900390625,0.339
plain,4,recalibrated,3,0.25,-1,1.0635245056152345,0.656,1.2835357055664063,0.605
plain,4,saved,4,0.025,1,0.22356079864501954,0.937,0.8146041870117188,0.74
plain,4,recalibrated,4,0.025,1,0.1787363052368164,0.953,0.7468074340820312,0.768
plain,4,saved,4,0.025,-1,0.2668447036743164,0.9,0.804652099609375,0.757
plain,4,recalibrated,4,0.025,-1,0.17930096435546874,0.959,0.7346408081054687,0.764
plain,4,saved,4,0.05,1,0.47085894775390624,0.814,1.0787967529296876,0.667
plain,4,recalibrated,4,0.05,1,0.2177978515625,0.932,0.7632667236328124,0.757
plain,4,saved,4,0.05,-1,0.5306621704101563,0.802,1.0095524291992188,0.711
plain,4,recalibrated,4,0.05,-1,0.22129598999023437,0.939,0.7476450500488281,0.757
plain,4,saved,4,0.1,1,1.7691572265625,0.539,2.2463155517578124,0.496
plain,4,recalibrated,4,0.1,1,0.3589388122558594,0.88,0.8244994812011719,0.736
plain,4,saved,4,0.1,-1,1.51291357421875,0.583,1.916600341796875,0.529
plain,4,recalibrated,4,0.1,-1,0.36763653564453125,0.879,0.8273419494628906,0.728
plain,4,saved,4,0.2,1,6.121995849609375,0.265,6.214645263671875,0.263
plain,4,recalibrated,4,0.2,1,0.7890691528320313,0.741,1.1163548583984375,0.667
plain,4,saved,4,0.2,-1,4.260034912109375,0.326,4.553586181640625,0.317
plain,4,recalibrated,4,0.2,-1,0.9101717834472656,0.705,1.256343994140625,0.619
plain,4,saved,4,0.25,1,8.4548056640625,0.212,8.400587890625,0.2
plain,4,recalibrated,4,0.25,1,1.0553784484863282,0.665,1.3340939331054686,0.599
plain,4,saved,4,0.25,-1,5.57677490234375,0.26,5.829781005859375,0.246
plain,4,recalibrated,4,0.25,-1,1.34362158203125,0.586,1.6169149169921875,0.548
plain,4,saved,5,0.025,1,0.19759051513671874,0.939,0.7825084838867188,0.763
plain,4,recalibrated,5,0.025,1,0.18246106719970703,0.952,0.7505173950195313,0.77
plain,4,saved,5,0.025,-1,0.23998969268798828,0.927,0.7906780395507812,0.755
plain,4,recalibrated,5,0.025,-1,0.18271224975585937,0.957,0.7433268432617187,0.771
plain,4,saved,5,0.05,1,0.3064818572998047,0.891,0.8916878967285157,0.731
plain,4,recalibrated,5,0.05,1,0.2279041290283203,0.933,0.7752410888671875,0.759
plain,4,saved,5,0.05,-1,0.45366458129882814,0.827,0.9655723266601562,0.718
plain,4,recalibrated,5,0.05,-1,0.23186498260498048,0.938,0.7632707824707031,0.76
plain,4,saved,5,0.1,1,0.7733503723144531,0.753,1.3290763549804687,0.634
plain,4,recalibrated,5,0.1,1,0.3924956207275391,0.855,0.8611812744140624,0.732
plain,4,saved,5,0.1,-1,1.5446694946289063,0.575,1.8797060546875,0.535
plain,4,recalibrated,5,0.1,-1,0.4049562072753906,0.856,0.8658396301269531,0.73
plain,4,saved,5,0.2,1,2.4895018310546875,0.494,2.899788330078125,0.462
plain,4,recalibrated,5,0.2,1,0.9518308715820313,0.691,1.2248834228515626,0.62
plain,4,saved,5,0.2,-1,7.422965576171875,0.198,7.40872216796875,0.184
plain,4,recalibrated,5,0.2,-1,0.9951422119140625,0.672,1.251825927734375,0.62
plain,4,saved,5,0.25,1,3.511487548828125,0.402,3.8943939208984375,0.387
plain,4,recalibrated,5,0.25,1,1.341430419921875,0.604,1.5024337768554688,0.557
plain,4,saved,5,0.25,-1,12.00565234375,0.132,11.8600888671875,0.132
plain,4,recalibrated,5,0.25,-1,1.3828818359375,0.585,1.522227294921875,0.549
plain,4,saved,6,0.025,1,0.19423872375488282,0.948,0.7403679504394531,0.763
plain,4,recalibrated,6,0.025,1,0.1765567169189453,0.959,0.7408547668457032,0.771
plain,4,saved,6,0.025,-1,0.20598383331298828,0.937,0.7743444519042969,0.761
plain,4,recalibrated,6,0.025,-1,0.17738551330566407,0.956,0.7390208435058594,0.772
plain,4,saved,6,0.05,1,0.27810560607910156,0.911,0.7906436157226563,0.742
plain,4,recalibrated,6,0.05,1,0.2083316192626953,0.941,0.75740234375,0.763
plain,4,saved,6,0.05,-1,0.3005927734375,0.896,0.8476070251464843,0.725
plain,4,recalibrated,6,0.05,-1,0.21159073638916015,0.941,0.7504089050292969,0.76
plain,4,saved,6,0.1,1,0.6408034362792969,0.782,1.0796574401855468,0.667
plain,4,recalibrated,6,0.1,1,0.32587034606933596,0.884,0.8320637512207031,0.731
plain,4,saved,6,0.1,-1,0.6632725524902344,0.788,1.1265756225585937,0.675
plain,4,recalibrated,6,0.1,-1,0.33828488159179687,0.889,0.7982527770996094,0.742
plain,4,saved,6,0.2,1,2.3305479736328123,0.501,2.6376317138671874,0.441
plain,4,recalibrated,6,0.2,1,0.7334792785644532,0.745,1.1582354125976562,0.642
plain,4,saved,6,0.2,-1,2.169021240234375,0.515,2.4301761474609376,0.477
plain,4,recalibrated,6,0.2,-1,0.7719820251464844,0.74,1.0462296142578125,0.675
plain,4,saved,6,0.25,1,3.68136279296875,0.385,3.891784423828125,0.321
plain,4,recalibrated,6,0.25,1,1.0408173217773438,0.662,1.4298187866210939,0.565
plain,4,saved,6,0.25,-1,3.2097384033203125,0.409,3.41810595703125,0.392
plain,4,recalibrated,6,0.25,-1,1.0630167846679688,0.665,1.27175927734375,0.602
plain,4,saved,7,0.025,1,0.21009342193603517,0.936,0.7667296447753906,0.768
plain,4,recalibrated,7,0.025,1,0.18279413604736328,0.952,0.7375826110839844,0.771
plain,4,saved,7,0.025,-1,0.19907373046875,0.947,0.762775634765625,0.765
plain,4,recalibrated,7,0.025,-1,0.17852989959716797,0.958,0.7453610229492188,0.762
plain,4,saved,7,0.05,1,0.3266810150146484,0.888,0.854786376953125,0.731
plain,4,recalibrated,7,0.05,1,0.2307694549560547,0.931,0.7549137878417969,0.764
plain,4,saved,7,0.05,-1,0.30140122985839846,0.899,0.8295848388671875,0.751
plain,4,recalibrated,7,0.05,-1,0.22466242980957032,0.93,0.7598408813476563,0.762
plain,4,saved,7,0.1,1,0.86340234375,0.727,1.2953071899414061,0.629
plain,4,recalibrated,7,0.1,1,0.3977398071289063,0.859,0.827367919921875,0.741
plain,4,saved,7,0.1,-1,0.7797440795898437,0.755,1.1524805908203124,0.673
plain,4,recalibrated,7,0.1,-1,0.3899085083007813,0.859,0.8358797302246094,0.747
plain,4,saved,7,0.2,1,4.225671875,0.292,4.4452470703125,0.271
plain,4,recalibrated,7,0.2,1,1.0123912658691405,0.674,1.1926722412109374,0.634
plain,4,saved,7,0.2,-1,3.039090087890625,0.434,3.0757330322265624,0.411
plain,4,recalibrated,7,0.2,-1,0.9194351501464844,0.684,1.1703690795898438,0.645
plain,4,saved,7,0.25,1,7.1232919921875,0.189,7.1824365234375,0.196
plain,4,recalibrated,7,0.25,1,1.3813591918945312,0.578,1.5393829345703125,0.545
plain,4,saved,7,0.25,-1,4.858107421875,0.309,4.776576171875,0.298
plain,4,recalibrated,7,0.25,-1,1.2608701171875,0.601,1.4476975708007813,0.579
plain,4,saved,8,0.025,1,0.19506070709228515,0.948,0.7483456420898438,0.767
plain,4,recalibrated,8,0.025,1,0.17028500366210939,0.965,0.730381103515625,0.775
plain,4,saved,8,0.025,-1,0.19577008056640624,0.952,0.7813802185058594,0.766
plain,4,recalibrated,8,0.025,-1,0.17716907501220702,0.964,0.7494320983886719,0.772
plain,4,saved,8,0.05,1,0.28822476196289065,0.902,0.823321044921875,0.75
plain,4,recalibrated,8,0.05,1,0.19263391876220703,0.947,0.7346795349121094,0.77
plain,4,saved,8,0.05,-1,0.2740865020751953,0.906,0.8637205200195313,0.735
plain,4,recalibrated,8,0.05,-1,0.20796068572998047,0.95,0.7692676391601563,0.767
plain,4,saved,8,0.1,1,0.7847505798339843,0.741,1.2203399047851562,0.676
plain,4,recalibrated,8,0.1,1,0.28341217041015626,0.899,0.7693955993652344,0.758
plain,4,saved,8,0.1,-1,0.572787109375,0.792,1.1446897583007813,0.676
plain,4,recalibrated,8,0.1,-1,0.3149219207763672,0.888,0.8282389526367188,0.732
plain,4,saved,8,0.2,1,3.0376090087890626,0.46,3.2397486572265626,0.438
plain,4,recalibrated,8,0.2,1,0.6451923828125,0.773,0.9502909545898437,0.703
plain,4,saved,8,0.2,-1,1.6146539916992189,0.545,2.040467102050781,0.508
plain,4,recalibrated,8,0.2,-1,0.6613481140136719,0.763,1.0551876220703125,0.678
