method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,saved,4,0.1,-1,0.6189315795898438,0.784,0.7878347778320313,0.736
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.1,-1,0.4096368865966797,0.858,0.6036594543457031,0.794
resolution_max_b1_gaussian_conv,3,saved,4,0.2,1,2.46154931640625,0.417,2.530199951171875,0.412
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.2,1,0.98728857421875,0.666,1.1567100830078125,0.638
resolution_max_b1_gaussian_conv,3,saved,4,0.2,-1,1.5451324462890625,0.581,1.660869873046875,0.538
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.2,-1,0.6548567504882813,0.763,0.8379058532714844,0.714
resolution_max_b1_gaussian_conv,3,saved,4,0.25,1,3.8541220703125,0.313,3.8148101806640624,0.276
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.25,1,1.3704981689453124,0.566,1.50287353515625,0.547
resolution_max_b1_gaussian_conv,3,saved,4,0.25,-1,2.1854959716796873,0.467,2.326062744140625,0.437
resolution_max_b1_gaussian_conv,3,recalibrated,4,0.25,-1,0.83342041015625,0.703,1.026144287109375,0.647
resolution_max_b1_gaussian_conv,3,saved,5,0.025,1,0.35089939880371096,0.887,0.5883050842285156,0.801
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.025,1,0.3134148101806641,0.904,0.5386576690673828,0.823
resolution_max_b1_gaussian_conv,3,saved,5,0.025,-1,0.33024249267578126,0.901,0.5566253356933594,0.81
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.025,-1,0.31325210571289064,0.901,0.5451429443359375,0.819
resolution_max_b1_gaussian_conv,3,saved,5,0.05,1,0.4912457122802734,0.824,0.71283837890625,0.761
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.05,1,0.3427543029785156,0.889,0.549086410522461,0.812
resolution_max_b1_gaussian_conv,3,saved,5,0.05,-1,0.4293985290527344,0.851,0.6389220581054688,0.775
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.05,-1,0.3411255340576172,0.886,0.5640823974609375,0.812
resolution_max_b1_gaussian_conv,3,saved,5,0.1,1,1.1286875,0.653,1.2742139892578126,0.623
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.1,1,0.44630258178710935,0.841,0.6059129638671875,0.784
resolution_max_b1_gaussian_conv,3,saved,5,0.1,-1,0.832669189453125,0.752,0.9652199401855469,0.702
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.1,-1,0.451044189453125,0.841,0.6392561340332031,0.785
resolution_max_b1_gaussian_conv,3,saved,5,0.2,1,3.9631727294921877,0.304,3.938134521484375,0.296
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.2,1,0.8056331481933594,0.723,0.8869742126464844,0.69
resolution_max_b1_gaussian_conv,3,saved,5,0.2,-1,2.3812431640625,0.436,2.413874755859375,0.411
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.2,-1,0.836437744140625,0.716,0.9613144226074218,0.672
resolution_max_b1_gaussian_conv,3,saved,5,0.25,1,6.145144775390625,0.215,6.041120361328125,0.2
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.25,1,1.0573004150390626,0.668,1.0945467834472655,0.631
resolution_max_b1_gaussian_conv,3,saved,5,0.25,-1,3.446193603515625,0.316,3.4657711181640627,0.289
resolution_max_b1_gaussian_conv,3,recalibrated,5,0.25,-1,1.111341796875,0.633,1.2091580200195313,0.603
resolution_max_b1_gaussian_conv,3,saved,6,0.025,1,0.3288580474853516,0.888,0.5699852905273437,0.81
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.025,1,0.3119615936279297,0.902,0.5404384002685547,0.816
resolution_max_b1_gaussian_conv,3,saved,6,0.025,-1,0.3261543731689453,0.89,0.5468309020996094,0.816
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.025,-1,0.31573460388183594,0.901,0.5441982727050781,0.815
resolution_max_b1_gaussian_conv,3,saved,6,0.05,1,0.4207952880859375,0.863,0.6529154663085938,0.778
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.05,1,0.3429143981933594,0.881,0.5597005310058594,0.817
resolution_max_b1_gaussian_conv,3,saved,6,0.05,-1,0.39811126708984373,0.855,0.5896893920898437,0.798
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.05,-1,0.34483779907226564,0.891,0.5633011169433594,0.803
resolution_max_b1_gaussian_conv,3,saved,6,0.1,1,0.8131506652832031,0.745,1.020435546875,0.685
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.1,1,0.45565969848632815,0.845,0.6430153503417969,0.777
resolution_max_b1_gaussian_conv,3,saved,6,0.1,-1,0.6832093505859375,0.764,0.7936903381347656,0.72
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.1,-1,0.44055078125,0.841,0.6238394165039063,0.785
resolution_max_b1_gaussian_conv,3,saved,6,0.2,1,2.7586387939453125,0.444,2.94381396484375,0.417
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.2,1,0.8272750244140625,0.72,0.9577083129882813,0.685
resolution_max_b1_gaussian_conv,3,saved,6,0.2,-1,1.7075755004882813,0.537,1.7439762573242188,0.502
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.2,-1,0.7352975158691406,0.751,0.8630402221679687,0.702
resolution_max_b1_gaussian_conv,3,saved,6,0.25,1,4.194984130859375,0.34,4.35107763671875,0.34
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.25,1,1.0612323608398437,0.659,1.1750820922851561,0.613
resolution_max_b1_gaussian_conv,3,saved,6,0.25,-1,2.4429722900390627,0.424,2.43420166015625,0.408
resolution_max_b1_gaussian_conv,3,recalibrated,6,0.25,-1,0.9271571350097656,0.7,1.0257295227050782,0.668
resolution_max_b1_gaussian_conv,3,saved,7,0.025,1,0.3329361572265625,0.895,0.5617203521728515,0.815
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.025,1,0.3170839385986328,0.906,0.5429441680908204,0.814
resolution_max_b1_gaussian_conv,3,saved,7,0.025,-1,0.31337312316894533,0.901,0.5496383819580078,0.824
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.025,-1,0.3105178375244141,0.903,0.5396881256103515,0.825
resolution_max_b1_gaussian_conv,3,saved,7,0.05,1,0.41486790466308593,0.862,0.6285651245117188,0.792
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.05,1,0.35021624755859376,0.888,0.5611772155761718,0.81
resolution_max_b1_gaussian_conv,3,saved,7,0.05,-1,0.36403584289550783,0.872,0.5921798095703125,0.795
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.05,-1,0.33438121032714846,0.888,0.5549861450195313,0.819
resolution_max_b1_gaussian_conv,3,saved,7,0.1,1,0.7859199829101563,0.726,0.9836300048828125,0.692
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.1,1,0.47992662048339846,0.831,0.6678057556152344,0.785
resolution_max_b1_gaussian_conv,3,saved,7,0.1,-1,0.5580986938476562,0.798,0.772620849609375,0.74
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.1,-1,0.41654249572753904,0.849,0.6149042358398438,0.796
resolution_max_b1_gaussian_conv,3,saved,7,0.2,1,2.771129150390625,0.408,2.91212744140625,0.396
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.2,1,0.9808638305664062,0.681,1.1442906494140626,0.648
resolution_max_b1_gaussian_conv,3,saved,7,0.2,-1,1.2635582885742187,0.593,1.3796531372070313,0.584
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.2,-1,0.7286017761230469,0.743,0.8729505310058594,0.701
resolution_max_b1_gaussian_conv,3,saved,7,0.25,1,4.271229248046875,0.31,4.3646748046875,0.3
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.25,1,1.2683502197265626,0.585,1.424595947265625,0.584
resolution_max_b1_gaussian_conv,3,saved,7,0.25,-1,1.7426622314453124,0.489,1.7820245971679687,0.5
resolution_max_b1_gaussian_conv,3,recalibrated,7,0.25,-1,0.9568062133789063,0.675,1.0686700439453125,0.642
resolution_max_b1_gaussian_conv,3,saved,8,0.025,1,0.32118446350097657,0.9,0.5597305450439453,0.811
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.025,1,0.30786239624023437,0.907,0.5403578186035156,0.819
resolution_max_b1_gaussian_conv,3,saved,8,0.025,-1,0.31922779846191407,0.899,0.5469308776855468,0.826
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.025,-1,0.3162550964355469,0.902,0.5426351623535156,0.824
resolution_max_b1_gaussian_conv,3,saved,8,0.05,1,0.3809450378417969,0.882,0.6083765869140625,0.796
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.05,1,0.3316824951171875,0.896,0.5538692932128906,0.811
resolution_max_b1_gaussian_conv,3,saved,8,0.05,-1,0.37529270935058595,0.868,0.5898782348632813,0.803
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.05,-1,0.3454141693115234,0.886,0.5595158386230469,0.818
resolution_max_b1_gaussian_conv,3,saved,8,0.1,1,0.6267632141113281,0.769,0.8227117309570312,0.725
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.1,1,0.4233082733154297,0.847,0.6163028259277343,0.784
resolution_max_b1_gaussian_conv,3,saved,8,0.1,-1,0.6055885314941406,0.794,0.807910888671875,0.74
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.1,-1,0.4318408050537109,0.855,0.6158809509277344,0.793
resolution_max_b1_gaussian_conv,3,saved,8,0.2,1,1.8581301879882812,0.502,1.962569091796875,0.465
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.2,1,0.7741759643554688,0.741,0.9152980651855469,0.687
resolution_max_b1_gaussian_conv,3,saved,8,0.2,-1,2.2527198486328124,0.444,2.5335977783203125,0.42
resolution_max_b1_gaussian_conv,3,recalibrated,8,0.2,-1,0.7174280090332031,0.768,0.8715531311035156,0.718
resolution_max_b1_gaussian_conv,3,saved,8,0.25,1,2.7740921630859376,0.368,2.8088765869140624,0.339
