seed,method,checkpoint,update,used_in_fit,dist_to_mean,resid_2pc,resid_5pc,resid_10pc,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
1,gaussian_postrelu,epoch_007.pt,2737,True,6.807422414337406,3.760520309223137,3.0084203450678393,1.0440670454624734,-5.3090079977947315,2.003477229841974,-1.0651921622069767,-1.9221948717187485,-0.5113243160388449,2.1133584370035354,-0.5832864700490136,-1.7635094165703529,0.20713322420002597,0.033769111644962435
1,gaussian_postrelu,epoch_008.pt,3128,True,6.996818451298666,3.4221252686173704,2.864478449829936,0.9696927516499286,-5.736806435306155,2.081725008293333,-1.2143416105102651,-1.35994316815915,-0.42618493278145697,1.962728820863179,-0.5103053911104986,-1.7485254209090804,0.07657801041233644,-0.29834778573056375
1,gaussian_postrelu,epoch_009.pt,3519,True,7.207277375382615,3.176695637212802,2.728167973102767,0.9582584693354972,-6.102585607722848,2.147533677181583,-1.343616552029653,-0.852573321042741,-0.34103955105121914,1.7879133135332934,-0.42143190106372014,-1.6825497909852238,-0.0378308684325846,-0.5639125443860109
1,gaussian_postrelu,epoch_010.pt,3910,True,7.428041077730871,2.9090741061437906,2.472032770921747,0.9489804259836102,-6.466945279217719,2.2117189814766465,-1.475841636244828,-0.32225403130652464,-0.26421570460156896,1.5186928554496995,-0.3434783289028258,-1.5094007117599266,-0.11784723561006474,-0.7027078627629701
1,gaussian_postrelu,epoch_011.pt,4301,True,7.64277619873415,2.7830642779473336,2.276315668021327,0.9766363547528365,-6.748740580114424,2.2629807403217836,-1.5858901488348454,0.11311184382233876,-0.18971531652156867,1.2844075147226337,-0.27025710523067137,-1.3381464484810188,-0.19102842472215842,-0.8233620756487711
1,gaussian_postrelu,epoch_012.pt,4692,True,7.845520295474012,2.7492668394196715,2.128901011338693,1.0724147511314421,-6.9773027959359695,2.3045533723881615,-1.6625582159724606,0.4961057529317793,-0.1266013375289069,1.0724584370222796,-0.19335260878481036,-1.1594190435645715,-0.2505351759360843,-0.8874533194534556
1,gaussian_postrelu,epoch_013.pt,5083,True,8.082371513770228,2.6883139774313483,1.7985313943774441,1.0411250874506783,-7.249607441768799,2.353909340990441,-1.7625840354679614,0.9385285824245654,-0.06912656925581136,0.7680575306127225,-0.12104699655486721,-0.9074319126066478,-0.24378634054065126,-0.8144596535649058
1,gaussian_postrelu,epoch_014.pt,5474,True,8.29323879424474,2.7631684307633715,1.6199468135803308,1.0755363925357762,-7.448849180396269,2.37851966763116,-1.8359694561040891,1.280586996942516,-0.013608727083195785,0.5496075886268076,-0.06119361336431352,-0.6978886722427714,-0.26044813676280787,-0.7789442576843667
1,gaussian_postrelu,epoch_015.pt,5865,True,8.477747094661297,2.8902122432057107,1.5029293132804995,1.132139004710612,-7.597961246878871,2.406211520458739,-1.8970202610763414,1.5795008358538543,0.031961362004520565,0.3497195973866117,-0.006411811170647735,-0.5020801052056081,-0.2679612367563078,-0.7285775388829203
1,gaussian_postrelu,epoch_016.pt,6256,True,8.738367241254894,3.018805154231011,1.0929881611041254,0.9376505930563062,-7.82774863184334,2.4438144038570986,-1.991933775529266,1.9862355841704658,0.07502984058794221,0.029212968634624442,0.04757600535278877,-0.22210625613337334,-0.17752298539562486,-0.48111538374468155
1,gaussian_postrelu,epoch_017.pt,6647,True,8.932661096830396,3.201835501462538,0.9248760583822097,0.8255144265709982,-7.965447519370558,2.468264472975759,-2.0511593357054996,2.2750989345090615,0.11412744105209556,-0.18065852857661407,0.08940302572572528,-0.017642922831361527,-0.14781403307499028,-0.3333631485864278
1,gaussian_postrelu,epoch_018.pt,7038,True,9.092104482864459,3.3817601785318674,0.8812152903844215,0.7373822706850531,-8.066101374815574,2.4835600724399094,-2.093075468022548,2.501451145575201,0.1467609231344887,-0.3478951959359462,0.13204572439920065,0.15661889822055838,-0.1293753124640835,-0.2303761781179443
1,gaussian_postrelu,epoch_019.pt,7429,True,9.332203005799892,3.648755697958727,0.8927001916785317,0.5678434395600945,-8.21528467786431,2.507128329328462,-2.1557656869314537,2.800013502641613,0.17059659796408522,-0.5642205798576503,0.16373817264561052,0.35693199563692535,-0.04249417542768516,-0.010305532522981942
1,gaussian_postrelu,epoch_020.pt,7820,True,9.486134134512584,3.8499359485836337,0.9944481874017175,0.43540807687541433,-8.295493495656482,2.5198257228009857,-2.1966283576948715,2.995012730730756,0.19442790875108293,-0.708520271330702,0.19505592298083452,0.4979482719602015,-0.007741385322390951,0.10623937804277617
1,gaussian_postrelu,epoch_021.pt,8211,True,9.605726074973653,4.01582394162726,1.1134686491283123,0.3555283900320117,-8.352736537966967,2.524861149567121,-2.2246209037070357,3.145398239726214,0.211095347821742,-0.8147613674224934,0.21327101260818837,0.6062467554570672,0.014701081768683802,0.19063088811202894
