seed,pc1,pc2,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
0,-11.975698770010887,7.5118712508042655,1.75621728515625,0.473,1.747364990234375,0.475
0,-11.975698770010887,8.179328128796694,1.947803955078125,0.442,1.9229224243164063,0.431
0,-11.975698770010887,8.846785006789126,2.147500732421875,0.414,2.1092252197265626,0.404
0,-11.295216011687975,-11.176921332983799,3.9175081787109374,0.199,3.84389599609375,0.188
0,-11.295216011687975,-10.509464454991368,3.7952713623046876,0.204,3.713358642578125,0.193
0,-11.295216011687975,-9.842007576998938,3.6643155517578125,0.204,3.5685489501953125,0.211
0,-11.295216011687975,-9.174550699006506,3.518823974609375,0.215,3.40948291015625,0.231
0,-11.295216011687975,-8.507093821014076,3.359285400390625,0.222,3.2432919921875,0.248
0,-11.295216011687975,-7.839636943021645,3.19581298828125,0.235,3.0721767578125,0.266
0,-11.295216011687975,-7.172180065029214,3.023603271484375,0.246,2.891007568359375,0.275
0,-11.295216011687975,-6.504723187036783,2.8435355224609373,0.263,2.706245361328125,0.288
0,-11.295216011687975,-5.837266309044352,2.6546126708984374,0.279,2.52444384765625,0.312
0,-11.295216011687975,-5.169809431051922,2.4616031494140627,0.315,2.3414833984375,0.338
0,-11.295216011687975,-4.502352553059491,2.264290283203125,0.348,2.16283154296875,0.373
0,-11.295216011687975,-3.8348956750670595,2.065649169921875,0.383,1.9842367553710938,0.412
0,-11.295216011687975,-3.167438797074629,1.867473388671875,0.423,1.8123203125,0.444
0,-11.295216011687975,-2.499981919082199,1.6792442016601563,0.463,1.6426439208984376,0.473
0,-11.295216011687975,-1.8325250410897667,1.5078121337890624,0.499,1.4892066040039063,0.507
0,-11.295216011687975,-1.1650681630973363,1.3507737426757813,0.539,1.3458804321289062,0.539
0,-11.295216011687975,-0.49761128510490593,1.2141611328125,0.577,1.2213809814453125,0.58
0,-11.295216011687975,0.16984559288752443,1.1021221923828124,0.613,1.1199381713867187,0.61
0,-11.295216011687975,0.8373024708799548,1.0140264587402343,0.647,1.0490222778320313,0.619
0,-11.295216011687975,1.504759348872387,0.9535464782714844,0.67,1.0067666625976563,0.637
0,-11.295216011687975,2.1722162268648173,0.9235938110351563,0.678,0.9908475036621094,0.643
0,-11.295216011687975,2.8396731048572477,0.9252205810546875,0.678,1.0001968383789062,0.642
0,-11.295216011687975,3.50712998284968,0.9568622741699219,0.658,1.0312756958007812,0.633
0,-11.295216011687975,4.17458686084211,1.018032989501953,0.64,1.0827277221679688,0.621
0,-11.295216011687975,4.8420437388345405,1.10581982421875,0.628,1.1577010498046876,0.598
0,-11.295216011687975,5.509500616826973,1.22284912109375,0.602,1.258495361328125,0.563
0,-11.295216011687975,6.176957494819401,1.3663958129882812,0.558,1.3831749267578124,0.54
0,-11.295216011687975,6.844414372811833,1.528548583984375,0.505,1.5300709228515625,0.515
0,-11.295216011687975,7.5118712508042655,1.7059203491210937,0.479,1.6941328735351562,0.476
0,-11.295216011687975,8.179328128796694,1.8980989379882813,0.441,1.8720344848632813,0.433
0,-11.295216011687975,8.846785006789126,2.101958740234375,0.399,2.060886962890625,0.404
0,-10.614733253365063,-11.176921332983799,3.73321728515625,0.206,3.666986572265625,0.198
0,-10.614733253365063,-10.509464454991368,3.6219482421875,0.208,3.548062255859375,0.207
0,-10.614733253365063,-9.842007576998938,3.500712158203125,0.208,3.4179432373046876,0.221
0,-10.614733253365063,-9.174550699006506,3.367063232421875,0.218,3.2699871826171876,0.235
0,-10.614733253365063,-8.507093821014076,3.216560791015625,0.228,3.1121861572265623,0.26
0,-10.614733253365063,-7.839636943021645,3.0620128173828123,0.25,2.9510233154296874,0.269
0,-10.614733253365063,-7.172180065029214,2.8965224609375,0.249,2.78370703125,0.274
0,-10.614733253365063,-6.504723187036783,2.72305615234375,0.267,2.6047197265625,0.291
0,-10.614733253365063,-5.837266309044352,2.544576171875,0.287,2.426059814453125,0.323
0,-10.614733253365063,-5.169809431051922,2.35720361328125,0.323,2.248940185546875,0.349
0,-10.614733253365063,-4.502352553059491,2.1693193359375,0.348,2.075537353515625,0.392
0,-10.614733253365063,-3.8348956750670595,1.9816320190429688,0.391,1.9087774047851562,0.423
0,-10.614733253365063,-3.167438797074629,1.7930299072265625,0.424,1.7434412841796876,0.456
0,-10.614733253365063,-2.499981919082199,1.6151326293945312,0.466,1.5847420654296875,0.489
0,-10.614733253365063,-1.8325250410897667,1.4546599731445313,0.505,1.4365952758789062,0.52
0,-10.614733253365063,-1.1650681630973363,1.3018609619140624,0.551,1.2958582153320313,0.554
0,-10.614733253365063,-0.49761128510490593,1.1664803466796876,0.585,1.1702115478515625,0.59
0,-10.614733253365063,0.16984559288752443,1.0559949951171874,0.62,1.0697154846191406,0.637
0,-10.614733253365063,0.8373024708799548,0.9707718505859375,0.65,1.0002084350585938,0.65
0,-10.614733253365063,1.504759348872387,0.9135451049804687,0.68,0.9615505065917969,0.655
0,-10.614733253365063,2.1722162268648173,0.888227783203125,0.686,0.9462324523925781,0.675
0,-10.614733253365063,2.8396731048572477,0.8913817138671875,0.682,0.9563474731445313,0.674
0,-10.614733253365063,3.50712998284968,0.9238372497558593,0.678,0.9902816772460937,0.656
0,-10.614733253365063,4.17458686084211,0.9882996215820312,0.656,1.044261474609375,0.634
0,-10.614733253365063,4.8420437388345405,1.0778045654296875,0.638,1.12331884765625,0.605
0,-10.614733253365063,5.509500616826973,1.1948682250976563,0.594,1.2259158935546874,0.576
0,-10.614733253365063,6.176957494819401,1.3350465087890624,0.547,1.34971435546875,0.549
0,-10.614733253365063,6.844414372811833,1.49503857421875,0.51,1.4942613525390624,0.516
0,-10.614733253365063,7.5118712508042655,1.673162109375,0.477,1.6580339965820312,0.483
0,-10.614733253365063,8.179328128796694,1.8681172485351563,0.432,1.8380692138671875,0.436
0,-10.614733253365063,8.846785006789126,2.0725445556640625,0.394,2.025766418457031,0.402
0,-9.934250495042154,-11.176921332983799,3.5407581787109375,0.226,3.494378173828125,0.221
0,-9.934250495042154,-10.509464454991368,3.4413277587890625,0.222,3.3803466796875,0.221
0,-9.934250495042154,-9.842007576998938,3.332476806640625,0.215,3.260822509765625,0.235
0,-9.934250495042154,-9.174550699006506,3.211468505859375,0.223,3.12632568359375,0.247
0,-9.934250495042154,-8.507093821014076,3.077194091796875,0.237,2.981942138671875,0.263
0,-9.934250495042154,-7.839636943021645,2.9289306640625,0.252,2.832399169921875,0.276
0,-9.934250495042154,-7.172180065029214,2.7761302490234376,0.257,2.6772369384765624,0.279
0,-9.934250495042154,-6.504723187036783,2.6160264892578127,0.268,2.5120078125,0.297
0,-9.934250495042154,-5.837266309044352,2.4478878173828127,0.294,2.3442032470703125,0.331
0,-9.934250495042154,-5.169809431051922,2.27065087890625,0.331,2.173509521484375,0.36
0,-9.934250495042154,-4.502352553059491,2.09445751953125,0.365,2.0073797607421877,0.397
0,-9.934250495042154,-3.8348956750670595,1.916807861328125,0.389,1.849196044921875,0.434
0,-9.934250495042154,-3.167438797074629,1.7412359619140625,0.428,1.6940429077148438,0.458
0,-9.934250495042154,-2.499981919082199,1.5710260620117187,0.473,1.5427147216796875,0.498
0,-9.934250495042154,-1.8325250410897667,1.41596240234375,0.513,1.401553466796875,0.52
0,-9.934250495042154,-1.1650681630973363,1.27260986328125,0.548,1.2676348266601563,0.558
0,-9.934250495042154,-0.49761128510490593,1.1408660888671875,0.589,1.1443318481445313,0.591
0,-9.934250495042154,0.16984559288752443,1.030503448486328,0.624,1.04671142578125,0.64
0,-9.934250495042154,0.8373024708799548,0.9465104370117188,0.648,0.9767269287109375,0.664
0,-9.934250495042154,1.504759348872387,0.8913590393066406,0.68,0.9350646667480469,0.671
0,-9.934250495042154,2.1722162268648173,0.8674701232910156,0.696,0.9216814270019531,0.689
0,-9.934250495042154,2.8396731048572477,0.8739330139160156,0.693,0.9330617980957031,0.684
0,-9.934250495042154,3.50712998284968,0.9104681396484375,0.682,0.967314453125,0.672
0,-9.934250495042154,4.17458686084211,0.9757814331054687,0.66,1.0264104919433594,0.651
0,-9.934250495042154,4.8420437388345405,1.0664011840820313,0.637,1.1071326904296874,0.611
0,-9.934250495042154,5.509500616826973,1.1809642944335939,0.597,1.2126148071289062,0.575
0,-9.934250495042154,6.176957494819401,1.319413818359375,0.562,1.335710205078125,0.546
0,-9.934250495042154,6.844414372811833,1.479694091796875,0.51,1.4781521606445311,0.525
0,-9.934250495042154,7.5118712508042655,1.66077783203125,0.472,1.6420704956054688,0.479
0,-9.934250495042154,8.179328128796694,1.8546802368164061,0.425,1.8205576171875,0.417
0,-9.934250495042154,8.846785006789126,2.05528369140625,0.389,2.0055145263671874,0.385
0,-9.253767736719242,-11.176921332983799,3.34314306640625,0.239,3.3109146728515624,0.238
0,-9.253767736719242,-10.509464454991368,3.252559326171875,0.24,3.2064132080078127,0.232
