method,seed,policy,split,direction,amplitude,S_f32,S_f64,diff,L0_diff,suspicious,C_f32,C_f64
plain,2,saved,test_probe,1,0.05,0.13015832519531245,0.1301580737577288,2.5143758364265523e-07,-1.323133337338689e-07,False,104.12666015624994,104.12645900618303
plain,2,recalibrated,train_probe,0,0.005,0.0005649337768554585,0.0005650151049642615,-8.132810880301378e-08,6.3967544317034e-08,False,45.19470214843668,45.201208397140924
plain,2,recalibrated,train_probe,0,0.01,0.0022467765808105444,0.0022468218573988286,-4.527658828412662e-08,6.3967544317034e-08,False,44.93553161621089,44.93643714797657
plain,2,recalibrated,train_probe,0,0.02,0.00851979064941405,0.008519851713009341,-6.106359529134409e-08,6.3967544317034e-08,False,42.59895324707025,42.5992585650467
plain,2,recalibrated,train_probe,0,0.05,0.04686835098266601,0.04686837265603966,-2.167337365133193e-08,6.3967544317034e-08,False,37.4946807861328,37.49469812483172
plain,2,recalibrated,train_probe,1,0.005,0.000621505737304684,0.0006215809974542963,-7.526014961234395e-08,6.3967544317034e-08,False,49.720458984374716,49.7264797963437
plain,2,recalibrated,train_probe,1,0.01,0.002310073852539063,0.0023101128390194403,-3.898648037736763e-08,6.3967544317034e-08,False,46.20147705078126,46.2022567803888
plain,2,recalibrated,train_probe,1,0.02,0.009246818542480467,0.009246838837276061,-2.0294795594066883e-08,6.3967544317034e-08,False,46.23409271240234,46.23419418638031
plain,2,recalibrated,train_probe,1,0.05,0.054758102416992166,0.05475822577440398,-1.2335741181312976e-07,6.3967544317034e-08,False,43.80648193359372,43.806580619523174
plain,2,recalibrated,test_probe,0,0.005,-2.8793334960974803e-05,-2.8790123167254933e-05,-3.2117937198705704e-09,1.1320918091861643e-08,False,-2.3034667968779843,-2.3032098533803946
plain,2,recalibrated,test_probe,0,0.01,7.45697021484748e-05,7.458133980697834e-05,-1.1637658503538262e-08,1.1320918091861643e-08,False,1.491394042969496,1.4916267961395668
plain,2,recalibrated,test_probe,0,0.02,0.0010061340332032653,0.0010061834136819714,-4.938047870606255e-08,1.1320918091861643e-08,False,5.030670166016327,5.030917068409857
plain,2,recalibrated,test_probe,0,0.05,0.010284118652343799,0.01028406582489938,5.282744441892362e-08,1.1320918091861643e-08,False,8.227294921875037,8.227252659919502
plain,2,recalibrated,test_probe,1,0.005,0.0003740692138671786,0.0003740796312542427,-1.041738706408779e-08,1.1320918091861643e-08,False,29.92553710937429,29.926370500339416
plain,2,recalibrated,test_probe,1,0.01,0.001538177490234438,0.0015381733340359416,4.156198496474417e-09,1.1320918091861643e-08,False,30.76354980468876,30.76346668071883
plain,2,recalibrated,test_probe,1,0.02,0.005671615600586044,0.0056717564708755885,-1.4087028954445913e-07,1.1320918091861643e-08,False,28.35807800293022,28.35878235437794
plain,2,recalibrated,test_probe,1,0.05,0.03288127136230479,0.03288128237726473,-1.1014959944155578e-08,1.1320918091861643e-08,False,26.305017089843826,26.30502590181178
plain,2,centre_frozen,train_probe,0,0.005,0.0016404914855956965,0.0016405551456842304,-6.366008853397886e-08,4.056886071523991e-08,False,131.2393188476557,131.24441165473843
plain,2,centre_frozen,train_probe,0,0.01,0.0063844528198241934,0.006384476659073268,-2.3839249074786295e-08,4.056886071523991e-08,False,127.68905639648386,127.68953318146536
plain,2,centre_frozen,train_probe,0,0.02,0.024825275421142545,0.02482537891732778,-1.0349618523308735e-07,4.056886071523991e-08,False,124.12637710571272,124.12689458663888
plain,2,centre_frozen,train_probe,0,0.05,0.15390243530273434,0.15390242167203644,1.3630697903721511e-08,4.056886071523991e-08,False,123.12194824218744,123.12193733762912
plain,2,centre_frozen,train_probe,1,0.005,0.0016472511291503733,0.0016473469271323093,-9.579798193604105e-08,4.056886071523991e-08,False,131.78009033202986,131.78775417058475
plain,2,centre_frozen,train_probe,1,0.01,0.006539924621582038,0.00654002636646106,-1.0174487902192553e-07,4.056886071523991e-08,False,130.79849243164077,130.8005273292212
plain,2,centre_frozen,train_probe,1,0.02,0.025729087829589825,0.025729170231915705,-8.240232587941598e-08,4.056886071523991e-08,False,128.64543914794913,128.6458511595785
plain,2,centre_frozen,train_probe,1,0.05,0.15960904693603511,0.15960899981316978,4.71228653320388e-08,4.056886071523991e-08,False,127.68723754882807,127.6871998505358
plain,2,centre_frozen,test_probe,0,0.005,0.0013085479736327787,0.0013086666553866477,-1.1868175386897661e-07,3.418800487153817e-08,False,104.6838378906223,104.69333243093182
plain,2,centre_frozen,test_probe,0,0.01,0.00517036437988283,0.005170445202741902,-8.082285907207165e-08,3.418800487153817e-08,False,103.4072875976566,103.40890405483805
plain,2,centre_frozen,test_probe,0,0.02,0.02176458740234377,0.021764628673920927,-4.127157715583252e-08,3.418800487153817e-08,False,108.82293701171885,108.82314336960464
plain,2,centre_frozen,test_probe,0,0.05,0.13608551025390625,0.13608551869925745,-8.445351196151307e-09,3.418800487153817e-08,False,108.86840820312499,108.86841495940594
plain,2,centre_frozen,test_probe,1,0.005,0.001396743774414122,0.0013968348762076754,-9.110179355342751e-08,3.418800487153817e-08,False,111.73950195312976,111.74679009661403
plain,2,centre_frozen,test_probe,1,0.01,0.004736114501953104,0.004736118799790856,-4.297837752353928e-09,3.418800487153817e-08,False,94.72229003906207,94.72237599581712
plain,2,centre_frozen,test_probe,1,0.02,0.01926290893554694,0.019262965717247393,-5.678170045264608e-08,3.418800487153817e-08,False,96.3145446777347,96.31482858623696
plain,2,centre_frozen,test_probe,1,0.05,0.12715077209472658,0.12715092918602966,-1.570913030768395e-07,3.418800487153817e-08,False,101.72061767578124,101.7207433488237
plain,3,saved,train_probe,0,0.005,0.002820281982421874,0.0028203425029806883,-6.052055881444751e-08,7.284948305708028e-08,False,225.6225585937499,225.62740023845507
plain,3,saved,train_probe,0,0.01,0.011640636444091773,0.011640719393692794,-8.294960102128712e-08,7.284948305708028e-08,False,232.81272888183545,232.81438787385588
plain,3,saved,train_probe,0,0.02,0.04683573913574218,0.046835817633159305,-7.849741712195879e-08,7.284948305708028e-08,False,234.1786956787109,234.17908816579651
plain,3,saved,train_probe,0,0.05,0.31820399475097655,0.318203985873736,8.877240553761823e-09,7.284948305708028e-08,False,254.5631958007812,254.56318869898874
plain,3,saved,train_probe,1,0.005,0.0025831031799316284,0.0025831669281370373,-6.37482054088867e-08,7.284948305708028e-08,False,206.64825439453026,206.65335425096296
