problem,method,seed,probe,policy,coords,vector,r2_frac_conv1,l2_frac_conv1,r2_frac_stage 1,l2_frac_stage 1,r2_frac_stage 2,l2_frac_stage 2,r2_frac_stage 3,l2_frac_stage 3,r2_frac_fc,l2_frac_fc
combined_s3_train_saved_rel,resolution_max_b1_gaussian_conv,3,train_probe,saved,relative,top1,0.006763673616184416,0.0098972841145372,0.1487120810781713,0.16505704435517918,0.404620788101877,0.40409551669816773,0.43594151177304896,0.4146642471406692,0.0039619454307183045,0.00628590769144669
combined_s3_train_saved_rel,resolution_max_b1_gaussian_conv,3,train_probe,saved,relative,top2,0.006767434645174789,0.01194440967836489,0.19429158776193645,0.20858037302852347,0.385881084623307,0.38413442334229336,0.40806027626867786,0.3869330583488189,0.00499961670090395,0.008407735601999469
combined_s3_train_saved_rel,resolution_max_b1_gaussian_conv,3,train_probe,saved,relative,min,0.012225978661496936,0.016989086091765682,0.12252223043000601,0.13581992016154285,0.2998217167112109,0.2994110157273131,0.5599933481357093,0.5379907925201862,0.005436726061576757,0.00978918549919205
combined_s4_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,ordinary,top1,0.002332771032112451,0.003048462949949431,0.14485833949173138,0.15351699030624627,0.4264662274748714,0.42921417400231365,0.42499111876374335,0.41199730644169297,0.0013515432375413874,0.0022230662997977683
combined_s4_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,ordinary,top2,0.0006163180220445499,0.0008289046952320587,0.06821161955841433,0.07177945343410758,0.4230882663175412,0.42472030976703495,0.5060365035091485,0.4993119453020495,0.0020472925928514047,0.0033593868015759907
combined_s4_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,ordinary,min,0.0031824875322078758,0.0039438017231659805,0.08622229605277952,0.0933192591336852,0.40517848552631885,0.40944793050841044,0.5045141120610755,0.4917298020032321,0.0009026188276180881,0.001559206631506368
combined_s4_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,relative,top1,0.00437142746943808,0.006438437552147358,0.16782950875580652,0.1819627853378346,0.43054411880379123,0.42905853200654037,0.393634962254893,0.37664292613614153,0.0036199827160712118,0.005897318967336112
combined_s4_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,relative,top2,0.0012340324527484391,0.0017818556385978145,0.0714249612031458,0.07650718253737286,0.42458991832966986,0.42388396558799263,0.4971461505419735,0.4885211847965356,0.005604937472462358,0.009305811439501033
combined_s4_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,relative,min,0.004628374657815108,0.006145517374304022,0.10243275439557337,0.11241652772308833,0.41558905961044873,0.4179580590306501,0.4746080862424266,0.45869028803686396,0.0027417250937361247,0.004789607835093728
combined_s4_test_saved_ord,resolution_max_b1_gaussian_conv,4,test_probe,saved,ordinary,top1,0.002322093332248479,0.003018085234398528,0.15406467161451115,0.1634660751879533,0.41226763453465914,0.4146722022791699,0.43005723389701106,0.4166812856266687,0.0012883666215701176,0.002162351671809541
combined_s4_test_saved_ord,resolution_max_b1_gaussian_conv,4,test_probe,saved,ordinary,top2,0.0007405527261567487,0.000952045799479672,0.0713742865550212,0.07570310636658387,0.39429437644023235,0.3976045125473195,0.5318466924797598,0.5226364546695089,0.0017440917988299867,0.0031038806171082645
combined_s4_test_saved_ord,resolution_max_b1_gaussian_conv,4,test_probe,saved,ordinary,min,0.004608932172744085,0.006220059958602705,0.034265947792574844,0.03709413443933809,0.35681561637581366,0.359340708403088,0.603312367340208,0.5956202630846723,0.0009971363186594062,0.0017248341142987904
combined_s4_test_saved_rel,resolution_max_b1_gaussian_conv,4,test_probe,saved,relative,top1,0.004286758352772009,0.006259184053400175,0.1781285652664274,0.1933890411940263,0.41596184418408655,0.41399504821041416,0.3980239872691366,0.3803741536076962,0.0035988449275774536,0.005982572934463175
combined_s4_test_saved_rel,resolution_max_b1_gaussian_conv,4,test_probe,saved,relative,top2,0.0013915412275532645,0.0019158914062609004,0.0800876276457006,0.08623130964384139,0.39910847721868425,0.40039901238540154,0.5138378754781615,0.5014428046706608,0.005574478429900295,0.010010981893835336
combined_s4_test_saved_rel,resolution_max_b1_gaussian_conv,4,test_probe,saved,relative,min,0.006842237828957925,0.009577684947264646,0.03986945574173711,0.04414822422187135,0.3620919090548934,0.36323649617833476,0.588187649520197,0.5777967525041312,0.00300874785421456,0.005240842148398105
combined_s4_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,ordinary,top1,0.002103205584514295,0.0028267708572455425,0.14528808468960433,0.15382182382905787,0.4252359457247947,0.4284007835499581,0.42587527818350723,0.41247495599158385,0.0014974858175796396,0.0024756657721545536
combined_s4_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,ordinary,top2,0.000866408556363909,0.0011430924722031683,0.062224042704392815,0.06517127729125458,0.4277273868233387,0.42988776267517076,0.5068446896981263,0.50013854967891,0.002337472217778145,0.0036593178824613783
combined_s4_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,ordinary,min,0.007003129424918474,0.008671664240004534,0.0898963969833304,0.09681723446076906,0.2997854188568321,0.302282124636484,0.6018925788385081,0.5897035749216031,0.0014224758964109443,0.0025254017411393327
combined_s4_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,relative,top1,0.004097465585414957,0.0060099035529012895,0.16762012216938516,0.18180594007888534,0.42948620844227625,0.42821712819304547,0.39473946171864993,0.3773529396020029,0.004056742084273652,0.006614088573165088
combined_s4_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,relative,top2,0.001632076022951731,0.0023576201166341597,0.06663091707338953,0.07076888828403734,0.4286206228889526,0.4287736332478822,0.49738816400638075,0.48896497485558565,0.005728220008325478,0.009134883495860571
combined_s4_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,4,train_probe,centre_frozen,relative,min,0.009840946175057493,0.012959765893169833,0.10741972659280843,0.11839646855479682,0.30490842741459034,0.305390842330031,0.57328430712801,0.555121880370238,0.004546592689533656,0.008131042851764327
