method,seed,probe,policy,direction,dHd,g_dot_d,L0,grad_norm
resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,15,61.92106283691246,-0.06775970865907124,0.5367680490016937,3.472546075106538
resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,16,46.90307673877953,-0.1184925817097449,0.5367680490016937,3.472546075106538
resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,17,67.56105565240127,-0.09081828590251367,0.5367680490016937,3.472546075106538
resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,18,99.25508077320177,-0.19437943801461552,0.5367680490016937,3.472546075106538
resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,19,105.85528410718018,0.02912891506445442,0.5367680490016937,3.472546075106538
gaussian_postrelu,3,train_probe,saved,0,223.48314909174147,-0.8646265893001915,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,1,92.61982343698467,0.1364659770346196,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,2,94.9561289883757,-0.1098194449549451,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,3,108.70764705546542,-0.32710404219093003,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,4,56.47297967092845,0.12209872944146657,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,5,85.3285330553565,-0.19162530925565535,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,6,63.71648669705755,-0.3254367004552838,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,7,129.52174897121736,0.24128978644210008,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,8,73.95865264779373,0.0582976606225131,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,9,134.1532639541228,0.1044678237112983,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,10,93.57326384109342,-0.09509734369530157,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,11,141.32327358985276,-0.3502330383842259,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,12,135.20553449079173,-0.06293413584462015,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,13,141.9582138623656,-0.10151014141415113,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,14,151.61003201744813,-0.33485390611058163,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,15,83.58364855766509,0.22003519895693516,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,16,79.50480667029007,0.4201952663407795,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,17,82.32601544842467,-0.24156388713527968,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,18,148.7963459733763,-0.26077249205267766,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,saved,19,138.84888536665625,-0.4881074581165935,0.25771790742874146,2.9094602482879264
gaussian_postrelu,3,train_probe,centre_frozen,0,217.79607567720356,-0.8069938306248154,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,1,89.63670656060982,0.1116967878785832,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,2,90.94862491449709,-0.17250745903624287,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,3,108.77457322205522,-0.2169737865812095,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,4,56.805395779100834,0.02346063379991606,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,5,82.69269697288618,-0.25425893243083014,0.2561737596988678,2.517048171921544
gaussian_postrelu,3,train_probe,centre_frozen,6,62.00723589467606,-0.25061337338882506,0.2561737596988678,2.517048171921544
