method,seed,epoch,update,state_label,state,produced_state,next_update_state,equals_final,policy,split,centre_ce,centre_acc,S_eps0.1,n_dirs_eps0.1,S_eps0.25,n_dirs_eps0.25
plain,2,6,2346,produced,plain,plain,plain,True,recalibrated,test_probe,0.9405217895507813,0.667,0.0683515106201172,10,0.41429043273925775,10
plain,2,9,3519,produced,plain,plain,plain,True,saved,train_probe,0.7173617553710937,0.746,0.26592185821533204,10,2.1439722595214845,10
plain,2,9,3519,produced,plain,plain,plain,True,saved,test_probe,0.8306056823730469,0.702,0.27368381805419917,10,2.1323896881103517,10
plain,2,9,3519,produced,plain,plain,plain,True,recalibrated,train_probe,0.6900796813964843,0.768,0.07202088928222658,10,0.46859431304931654,10
plain,2,9,3519,produced,plain,plain,plain,True,recalibrated,test_probe,0.80040576171875,0.709,0.07512345733642581,10,0.46976842956542963,10
plain,2,12,4692,produced,plain,plain,plain,True,saved,train_probe,0.5590089721679687,0.798,0.30210400848388674,10,2.5459931427001954,10
plain,2,12,4692,produced,plain,plain,plain,True,saved,test_probe,0.7432257690429688,0.743,0.2891897476196289,10,2.4890166015624997,10
plain,2,12,4692,produced,plain,plain,plain,True,recalibrated,train_probe,0.5460830993652344,0.81,0.08825842590332032,10,0.5551096023559572,10
plain,2,12,4692,produced,plain,plain,plain,True,recalibrated,test_probe,0.7302637939453125,0.759,0.06767897949218751,10,0.5030255599975586,10
plain,2,18,7038,produced,plain,plain,plain,True,saved,train_probe,0.3966556091308594,0.855,0.46503158569335934,10,3.586639108276367,10
plain,2,18,7038,produced,plain,plain,plain,True,saved,test_probe,0.7003948364257813,0.773,0.4378228576660156,10,3.458960415649414,10
plain,2,18,7038,produced,plain,plain,plain,True,recalibrated,train_probe,0.3495184020996094,0.883,0.13177628326416016,10,0.7625855606079102,10
plain,2,18,7038,produced,plain,plain,plain,True,recalibrated,test_probe,0.6711316833496094,0.779,0.08908011169433594,10,0.6216308166503907,10
plain,2,21,8211,produced,plain,plain,plain,True,saved,train_probe,0.2756592483520508,0.907,0.5704173309326172,10,4.365557182312012,10
plain,2,21,8211,produced,plain,plain,plain,True,saved,test_probe,0.6969293518066406,0.768,0.515410368347168,10,4.169915704345703,10
plain,2,21,8211,produced,plain,plain,plain,True,recalibrated,train_probe,0.2725125961303711,0.912,0.15624238586425782,10,0.8498443206787109,10
plain,2,21,8211,produced,plain,plain,plain,True,recalibrated,test_probe,0.68825146484375,0.781,0.09215284423828127,10,0.6492227355957031,10
plain,2,30,11730,produced,plain,plain,-,True,saved,train_probe,0.19614462280273437,0.945,0.7106756866455078,10,5.186639318847656,10
plain,2,30,11730,produced,plain,plain,-,True,saved,test_probe,0.738413818359375,0.782,0.6285470108032226,10,4.8999943481445305,10
plain,2,30,11730,produced,plain,plain,-,True,recalibrated,train_probe,0.19441744995117188,0.943,0.1968652114868164,10,1.034511328125,10
plain,2,30,11730,produced,plain,plain,-,True,recalibrated,test_probe,0.7352325439453125,0.784,0.1039849258422852,10,0.7419906677246094,10
plain,3,3,1173,produced,plain,plain,plain,True,saved,train_probe,1.1796427612304687,0.559,0.27451445007324216,10,1.9808635437011717,10
plain,3,3,1173,produced,plain,plain,plain,True,saved,test_probe,1.20496240234375,0.546,0.2709446044921875,10,1.9266072448730474,10
plain,3,3,1173,produced,plain,plain,plain,True,recalibrated,train_probe,1.1611065673828125,0.573,0.054082919311523425,10,0.3147214538574219,10
plain,3,3,1173,produced,plain,plain,plain,True,recalibrated,test_probe,1.1821074829101563,0.564,0.053187625122070245,10,0.30390850524902346,10
plain,3,6,2346,produced,plain,plain,plain,True,saved,train_probe,0.8464042358398437,0.691,0.3230779052734375,10,2.335439163208008,10
plain,3,6,2346,produced,plain,plain,plain,True,saved,test_probe,0.9727882690429688,0.65,0.293490640258789,10,2.223636444091797,10
plain,3,6,2346,produced,plain,plain,plain,True,recalibrated,train_probe,0.8272467651367188,0.695,0.07371790161132806,10,0.42644772949218746,10
plain,3,6,2346,produced,plain,plain,plain,True,recalibrated,test_probe,0.9564703979492187,0.658,0.054257119750976565,10,0.36378013000488285,10
plain,3,9,3519,produced,plain,plain,plain,True,saved,train_probe,0.7062231750488281,0.753,0.32818919067382807,10,2.4864020355224605,10
plain,3,9,3519,produced,plain,plain,plain,True,saved,test_probe,0.885018798828125,0.69,0.2892238082885742,10,2.334932992553711,10
plain,3,9,3519,produced,plain,plain,plain,True,recalibrated,train_probe,0.6736587524414063,0.771,0.0748453720092773,10,0.45098498687744143,10
plain,3,9,3519,produced,plain,plain,plain,True,recalibrated,test_probe,0.857590087890625,0.703,0.052204919433593774,10,0.360378564453125,10
plain,3,12,4692,produced,plain,plain,plain,True,saved,train_probe,0.5488598022460938,0.81,0.3883237976074219,10,2.857013287353516,10
plain,3,12,4692,produced,plain,plain,plain,True,saved,test_probe,0.7837779235839843,0.713,0.3283402893066406,10,2.666593704223633,10
plain,3,12,4692,produced,plain,plain,plain,True,recalibrated,train_probe,0.52233740234375,0.826,0.08549542694091794,10,0.49392499389648437,10
plain,3,12,4692,produced,plain,plain,plain,True,recalibrated,test_probe,0.7446895141601563,0.735,0.05403199310302733,10,0.38514665069580073,10
plain,3,18,7038,produced,plain,plain,plain,True,saved,train_probe,0.32844908142089846,0.897,0.5470217102050781,10,4.017211099243164,10
plain,3,18,7038,produced,plain,plain,plain,True,saved,test_probe,0.7316573486328125,0.751,0.46409145812988273,10,3.719932916259766,10
plain,3,18,7038,produced,plain,plain,plain,True,recalibrated,train_probe,0.32220906066894534,0.905,0.1265330955505371,10,0.7059870697021484,10
plain,3,18,7038,produced,plain,plain,plain,True,recalibrated,test_probe,0.7067020263671875,0.761,0.07932447814941404,10,0.5155813873291016,10
plain,3,21,8211,produced,plain,plain,plain,True,saved,train_probe,0.26254483795166017,0.923,0.6696726913452148,10,4.774734226989746,10
plain,3,21,8211,produced,plain,plain,plain,True,saved,test_probe,0.7549288330078125,0.753,0.5792164764404297,10,4.428994738769531,10
plain,3,21,8211,produced,plain,plain,plain,True,recalibrated,train_probe,0.2533171844482422,0.927,0.14289350357055666,10,0.8045797500610352,10
plain,3,21,8211,produced,plain,plain,plain,True,recalibrated,test_probe,0.7351434020996094,0.756,0.08741101074218752,10,0.5648006713867187,10
plain,3,30,11730,produced,plain,plain,-,True,saved,train_probe,0.1793782958984375,0.953,0.8360481506347656,10,5.878265014648438,10
plain,3,30,11730,produced,plain,plain,-,True,saved,test_probe,0.7676930236816406,0.752,0.7271535430908204,10,5.4493148925781245,10
plain,3,30,11730,produced,plain,plain,-,True,recalibrated,train_probe,0.17704528045654297,0.952,0.1767852470397949,10,0.963408038330078,10
plain,3,30,11730,produced,plain,plain,-,True,recalibrated,test_probe,0.7611475219726562,0.753,0.10503095550537112,10,0.6679472320556641,10
plain,4,3,1173,produced,plain,plain,plain,True,saved,train_probe,1.2111292114257812,0.568,0.22631758728027346,10,1.7157765075683593,10
plain,4,3,1173,produced,plain,plain,plain,True,saved,test_probe,1.25753125,0.532,0.22751290893554685,10,1.6694343078613283,10
plain,4,3,1173,produced,plain,plain,plain,True,recalibrated,train_probe,1.1709573974609375,0.592,0.06159548950195308,10,0.3417672973632812,10
plain,4,3,1173,produced,plain,plain,plain,True,recalibrated,test_probe,1.210896728515625,0.543,0.05898986816406258,10,0.32795888671875006,10
plain,4,6,2346,produced,plain,plain,plain,True,saved,train_probe,0.9370338134765624,0.653,0.2645709915161133,10,1.973231350708008,10
plain,4,6,2346,produced,plain,plain,plain,True,saved,test_probe,1.031733642578125,0.628,0.2590526916503907,10,1.9081059539794925,10
plain,4,6,2346,produced,plain,plain,plain,True,recalibrated,train_probe,0.8618920288085937,0.691,0.06573347473144535,10,0.4113513214111328,10
plain,4,6,2346,produced,plain,plain,plain,True,recalibrated,test_probe,0.9431935424804687,0.662,0.060238395690918045,10,0.38334891662597653,10
plain,4,9,3519,produced,plain,plain,plain,True,saved,train_probe,0.71155712890625,0.746,0.27813497314453123,10,2.041337390136719,10
plain,4,9,3519,produced,plain,plain,plain,True,saved,test_probe,0.8567567749023437,0.723,0.2468748748779297,10,1.9179820770263674,10
plain,4,9,3519,produced,plain,plain,plain,True,recalibrated,train_probe,0.6664255981445313,0.758,0.0729721527099609,10,0.43743574371337884,10
plain,4,9,3519,produced,plain,plain,plain,True,recalibrated,test_probe,0.7894526977539063,0.741,0.05783236999511719,10,0.372934489440918,10
plain,4,12,4692,produced,plain,plain,plain,True,saved,train_probe,0.5347566070556641,0.811,0.3153180725097656,10,2.4756591705322264,10
plain,4,12,4692,produced,plain,plain,plain,True,saved,test_probe,0.7201289672851563,0.753,0.279204214477539,10,2.3458579498291017,10
plain,4,12,4692,produced,plain,plain,plain,True,recalibrated,train_probe,0.5267862701416015,0.811,0.08847177734375003,10,0.5156877975463868,10
plain,4,12,4692,produced,plain,plain,plain,True,recalibrated,test_probe,0.7142293395996093,0.748,0.06438779296875005,10,0.42819372711181636,10
plain,4,18,7038,produced,plain,plain,plain,True,saved,train_probe,0.31886331176757815,0.896,0.4918258438110351,10,3.604832907104492,10
plain,4,18,7038,produced,plain,plain,plain,True,saved,test_probe,0.7089091186523437,0.758,0.4075567047119141,10,3.2828340057373047,10
plain,4,18,7038,produced,plain,plain,plain,True,recalibrated,train_probe,0.3243059844970703,0.891,0.14522610855102538,10,0.7724262344360351,10
