policy,split,method_state,method,epoch,quantity,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
saved,train_probe,final,gaussian_postrelu,3,S_eps0.25,5,1.8643184539794924,1.3622164820791987,0,5,0,1.0082341339111336,0.14339410400390618,3.249885296630859,3.2011573425292976,1.7189213928222657
saved,train_probe,final,gaussian_postrelu,6,centre_ce,5,4.933773974609376,1.99992765333957,0,5,0,5.555515441894531,3.8649596557617194,7.817916076660157,4.976585266113282,2.4538934326171873
saved,train_probe,final,gaussian_postrelu,6,S_eps0.1,5,0.2757241915893554,0.2276670431178236,1,4,0,0.3044170501708989,-0.006185455322266165,0.6170872039794915,0.2891802734375001,0.17412188568115256
saved,train_probe,final,gaussian_postrelu,6,S_eps0.25,5,1.8263925390624998,1.4155791919041891,0,5,0,1.837491552734376,0.0482888916015618,3.9651481628417966,1.9647908538818353,1.3162432342529293
saved,train_probe,final,gaussian_postrelu,9,centre_ce,5,3.443692694091797,1.0676348379582756,0,5,0,3.3873246459960935,4.312596801757812,4.674115539550781,2.105650482177734,2.7387760009765625
saved,train_probe,final,gaussian_postrelu,9,S_eps0.1,5,0.16270060546875004,0.19168189676955266,1,4,0,0.23926804199218754,-0.12535427703857382,0.40172568817138604,0.16650249633789088,0.1313610778808595
saved,train_probe,final,gaussian_postrelu,9,S_eps0.25,5,1.0647180456542966,1.1430836241005156,1,4,0,1.000860202026367,-0.413264392089844,2.8003660705566404,0.9095218536376954,1.0261064941406244
saved,train_probe,final,gaussian_postrelu,12,centre_ce,5,2.428861129760742,0.4721647321790887,0,5,0,2.727491821289062,2.7912606201171872,2.3048289184570314,1.6545573120117187,2.666166976928711
saved,train_probe,final,gaussian_postrelu,12,S_eps0.1,5,0.11455439361572264,0.15756227102162693,1,4,0,0.29824109649658215,-0.08070337677001943,0.23823098297119127,0.004384387207031215,0.11261887817382799
saved,train_probe,final,gaussian_postrelu,12,S_eps0.25,5,0.5044790722656247,0.9496066852108466,1,4,0,1.2879402404785147,-0.831578448486328,1.4900741729736322,0.020576757812500013,0.5553826385498044
