m,s,policy,probe,hvp_seconds_f32,hvp_repeat_bitwise,hvp_repeat_max_abs_diff,symmetry_rel,loss_f32,grad_norm_f32,hvp_seconds_f64,hvp_f32_vs_f64_rel,key,fd_err_all_masked_h0.01,fd_err_all_masked_h0.001,fd_err_all_masked_h0.0001,fd_err_fc_only_h0.01,fd_err_fc_only_h0.001,fd_err_fc_only_h0.0001
gaussian_postrelu,4,saved,train_probe,0.9919698238372803,True,0.0,3.605143531826753e-07,0.26593391597270966,3.03921282675085,4.048464059829712,6.174356949519956e-05,hchecks|saved,0.10364091563741509,0.2620227986377712,0.9205636217832,0.0001026348433521555,1.0266250857872643e-06,1.0266076475154003e-08
gaussian_postrelu,4,centre_frozen,train_probe,1.0060169696807861,True,0.0,1.2770912553436122e-08,0.26275741308927536,2.066454196707556,4.089940309524536,0.00013784703744333318,hchecks|centre_frozen,0.09322730296909823,0.27233839092752693,0.9829467933834339,9.735854861870624e-05,9.738736865927525e-07,9.738259816798453e-09
plain,4,saved,train_probe,1.6073782444000244,True,0.0,2.5952671088304456e-06,0.16967857629060745,4.480362712501544,4.028872728347778,8.20344970631994e-05,hchecks|saved,0.08475607204064341,0.24212527435192074,0.7688574217209362,0.00021819084948556677,2.1819689560554816e-06,2.1819949589485175e-08
plain,4,centre_frozen,train_probe,1.0022757053375244,True,0.0,1.2810999234424033e-06,0.16457229107618332,2.812873864039472,4.0847108364105225,9.661036191131237e-05,hchecks|centre_frozen,0.08443920195044365,0.24885448685603415,0.7423797812534072,0.0002108218675968651,2.1082392158562153e-06,2.1082834058633326e-08
resolution_max_b1,4,saved,train_probe,1.5919673442840576,True,0.0,4.20782036123256e-07,0.30783331394195557,3.688923660811742,4.060388565063477,5.7193751849139966e-05,hchecks|saved,0.11714855358388178,0.26515858432793366,1.0321141380182761,3.244254447242348e-05,3.2444941872919005e-07,3.244157808257018e-09
resolution_max_b1,4,centre_frozen,train_probe,0.9645419120788574,True,0.0,5.983139615329331e-07,0.30201809108257294,2.1448694239472452,4.024634122848511,9.745810239623685e-05,hchecks|centre_frozen,0.10002649581333607,0.28715464912501937,0.807767965945309,3.303592196901779e-05,3.303859594453571e-07,3.3040601227787644e-09
resolution_max_b1_gaussian_conv,1,saved,train_probe,1.0494678020477295,True,0.0,1.8362650584688126e-06,0.2933417707681656,2.19223569262443,4.148361921310425,7.862408859928673e-05,hchecks|saved,0.11411494931857093,0.39219975904380816,1.107792273447411,5.7350929075247466e-05,5.735287415703609e-07,5.735282112437559e-09
resolution_max_b1_gaussian_conv,1,centre_frozen,train_probe,1.0993244647979736,True,0.0,5.690548557619703e-06,0.29508914053440094,1.8791869029608768,4.186050653457642,6.378696697229583e-05,hchecks|centre_frozen,0.11396029536675663,0.3677580173323554,1.1152103202358505,5.6852145449607406e-05,5.685330270801202e-07,5.685591712369353e-09
gaussian_postrelu,1,saved,train_probe,1.0200791358947754,True,0.0,1.8182883891340173e-06,0.28923945128917694,2.7244397477897757,4.111870288848877,0.00014871817693090398,hchecks|saved,0.20401194582044646,0.5783324820501612,1.906242056644208,4.969895164739333e-05,4.970021197787948e-07,4.970180283351875e-09
gaussian_postrelu,1,centre_frozen,train_probe,1.0258898735046387,True,0.0,1.0085285384033615e-06,0.2910343259572983,2.504399406512799,4.163102388381958,0.00014201432657596767,hchecks|centre_frozen,0.2154626989702225,0.596967613385352,1.769645347549814,5.183102384353093e-05,5.183301723145337e-07,5.183256392516473e-09
