problem,method,seed,source_probe,source_policy,coords,vector,eval_policy,t,train_probe_ce,test_probe_ce,train_probe_acc,test_probe_acc
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.35,57090506752.0,56638847320.064,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.5,7503858964103.168,7426270916771.84,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.5,1936988911435.776,1922845852565.504,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.35,18777161859.072,18670695743.488,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.2,43533058.048,43372249.088,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.1,188179.272,187781.472,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.05,5336.77675,5331.6255,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.02,330.246828125,329.636703125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.01,93.164703125,93.1572890625,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.005,33.691318359375,33.97326171875,0.101,0.101
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.002,7.342119873046875,7.764538330078125,0.258,0.233
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.001,1.7313839111328124,2.2363690185546874,0.565,0.497
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,-0.0005,0.49912457275390626,1.0259856872558595,0.809,0.684
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.0,0.2235287322998047,0.7621461791992188,0.941,0.739
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.0005,0.4765920715332031,1.0826613159179688,0.823,0.677
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.001,1.2006049194335937,1.8636642456054688,0.652,0.554
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.002,3.504429931640625,4.0944921875,0.431,0.39
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.005,10.51509375,10.71122705078125,0.192,0.191
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.01,19.74213671875,19.5679833984375,0.093,0.101
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.02,41.238708984375,40.990830078125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.05,418.32071875,416.723078125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.1,6082.78375,6062.9245,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.2,486114.448,482015.424,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.35,139694972.928,137489334.272,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top2,saved,0.5,14574109065.216,14288184934.4,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.5,928445071.36,921236275.2,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.35,16712346.624,16626486.272,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.2,119614.632,119301.536,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.1,1857.1214375,1853.6343125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.05,128.86043359375,128.4340078125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.02,17.121833984375,17.4545126953125,0.165,0.168
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.01,2.1251181640625,2.5874534912109377,0.521,0.468
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.005,0.3483472595214844,0.8608667602539063,0.876,0.715
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.002,0.22771122741699218,0.7579701538085938,0.942,0.736
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.001,0.2241072006225586,0.7580674438476562,0.942,0.737
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,-0.0005,0.22358578491210937,0.7599670104980468,0.942,0.736
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.0,0.2235287322998047,0.7621461791992188,0.941,0.739
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.0005,0.22369524383544923,0.7635233154296875,0.939,0.74
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.001,0.22434075164794923,0.7645194702148438,0.939,0.74
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.002,0.22793688201904297,0.7666828308105469,0.94,0.743
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.005,0.3519334411621094,0.8718049926757813,0.869,0.724
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.01,2.46203564453125,2.908114990234375,0.522,0.47
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.02,19.1778134765625,19.443109375,0.179,0.167
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.05,119.75191796875,120.2712890625,0.13,0.122
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.1,1053.6695625,1056.5185625,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.2,27676.057,27720.884,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.35,1718011.328,1728825.856,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,min,saved,0.5,58586234.88,59221434.368,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.5,275603798360.064,275462525812.736,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.35,2636550111.232,2635078041.6,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.2,6349361.664,6347832.576,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.1,31321.411,31312.736,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.05,1205.5120625,1204.141625,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.02,118.260109375,117.73387890625,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.01,40.981142578125,41.13600390625,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.005,15.7942744140625,16.283744140625,0.179,0.171
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.002,4.440898681640625,5.137806396484375,0.374,0.336
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.001,1.4892991943359375,2.1485284423828124,0.652,0.549
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,-0.0005,0.55745947265625,1.1422559814453126,0.807,0.651
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.0,0.22218031311035155,0.7570303955078125,0.94,0.737
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.0005,0.648023681640625,1.2031668701171876,0.763,0.656
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.001,2.24144189453125,2.7974603271484373,0.503,0.454
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.002,8.80355078125,9.3888935546875,0.165,0.156
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.005,35.55669921875,35.79147265625,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.01,88.765296875,88.99410546875,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.02,298.942890625,299.27590625,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.05,4882.8055,4881.17275,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.1,204213.312,203845.104,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.2,62632337.408,62323111.936,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.35,34971198685.184,34682569752.576,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,top1,centre_frozen,0.5,4233261366640.64,4187723439013.888,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.5,29458161.664,29536954.368,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.35,785989.408,783765.568,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.2,18893.866,18800.464,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.1,1222.67125,1221.1835,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.05,220.7844453125,220.926921875,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.02,34.791310546875,35.150599609375,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.01,4.514101806640625,5.21645556640625,0.309,0.288
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.005,0.41230633544921874,0.99032470703125,0.85,0.687
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.002,0.22717694091796875,0.7674433288574218,0.941,0.733
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.001,0.22323662567138672,0.759745849609375,0.942,0.734
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,-0.0005,0.2226324996948242,0.7581506652832031,0.941,0.735
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.0,0.22218031311035155,0.7570303955078125,0.94,0.737
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.0005,0.22173332214355468,0.7558725891113282,0.94,0.737
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.001,0.22139841461181642,0.7552986755371094,0.941,0.742
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.002,0.2242381591796875,0.7602701110839843,0.942,0.74
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.005,0.49157644653320315,1.0962655944824218,0.83,0.681
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.01,8.4888330078125,9.3208837890625,0.152,0.141
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.02,60.993384765625,61.24319921875,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.05,473.396890625,472.27703125,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.1,4292.76775,4281.70575,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.2,190831.296,189985.176,0.1,0.1
plain_s0_train_centre_frozen_ord,plain,0,train_probe,centre_frozen,ordinary,min,centre_frozen,0.35,21816531.968,21719753.728,0.1,0.1
