method,split,amplitude,n_seeds,ratio_pw_over_cf_median,ratio_pw_over_cf_min,ratio_pw_over_cf_max,delta_centre_frozen_mean,delta_centre_frozen_sd,relchange_centre_frozen_mean,n_below_plain_centre_frozen,delta_pointwise_mean,delta_pointwise_sd,relchange_pointwise_mean,n_below_plain_pointwise,delta_saved_mean,delta_saved_sd,relchange_saved_mean,n_below_plain_saved,n_seeds_sign_differs_cf_vs_pw
gaussian_postrelu,test_probe,0.025,5,0.3843704123689285,0.29392833857908685,0.39425260517204663,-0.0034466145324707417,0.005469650650538394,-0.09661124451024253,3.0,0.0048210861968994,0.0023248020867076033,0.781774741107579,0.0,-0.0032865566253661785,0.005100957057133116,-0.09101002141692452,4.0,3.0
gaussian_postrelu,test_probe,0.05,5,0.3752575851169295,0.2952370895350827,0.41081841664243257,-0.0036067677307128785,0.026125456693295197,-0.020331206354154106,3.0,0.024400519943237303,0.012439639432766351,0.949596877253146,0.0,-0.002573032531738259,0.024717629254024442,-0.012793623689467699,3.0,3.0
gaussian_postrelu,test_probe,0.1,5,0.35060681765321405,0.2762836073053053,0.37267081550949294,0.006740700683593626,0.11006654119604457,0.019547725310528223,2.0,0.11137903579711912,0.04085613657475981,1.0680684674174787,0.0,0.009706398010253903,0.10905420053546898,0.02455145633656603,2.0,2.0
gaussian_postrelu,test_probe,0.2,5,0.28535034134034737,0.23143880332972508,0.3092847876577523,-0.31436468475341817,0.36813026594568093,-0.09681636427904779,4.0,0.3164838716125489,0.09073508261102615,0.7203294458758209,0.0,-0.3098649154663084,0.365335467176987,-0.09526814322593118,4.0,4.0
gaussian_postrelu,test_probe,0.25,5,0.26361899072263245,0.223334655009822,0.2925866742387556,-0.7033857067871094,0.42314664311207456,-0.14058035749465403,5.0,0.38271441955566426,0.11728527250484223,0.5474570357950662,0.0,-0.6979126647949215,0.41404460448508434,-0.13933678926377427,5.0,5.0
gaussian_postrelu,test_probe,0.35,5,0.22297565636725408,0.20674629557412666,0.2548012205094957,-1.7091033386230472,0.4502615601773085,-0.17903814038259042,5.0,0.3972074435424807,0.15715395487613584,0.29504513964999207,0.0,-1.6948784857177734,0.40166174405002386,-0.17728699861599903,5.0,5.0
gaussian_postrelu,test_probe,0.5,5,0.15565416143454683,0.14586243707318014,0.16874842864529063,-4.03859898010254,1.3315100803351796,-0.19501961209956023,5.0,0.20813206237792975,0.17642606008806502,0.08951198831259657,0.0,-4.014744534301758,1.3013165881002795,-0.19332824361566855,5.0,5.0
gaussian_postrelu,train_probe,0.005,5,0.46125533641292354,0.41023369649357405,0.4697286910634485,-0.00022113040924071997,0.00023079052959335968,-0.12346276752707415,4.0,1.966865539553995e-05,0.00011220837612561743,0.0503298316801412,1.0,-0.00022985507965085994,0.00024712083243894046,-0.1286755152310094,4.0,3.0
gaussian_postrelu,train_probe,0.01,5,0.45494707716307964,0.4199427199152422,0.4821019834379263,-0.0006296940231323397,0.0008336709309032496,-0.08923380386411348,4.0,0.0002693221282959,0.00036659870263215004,0.12548480761124747,1.0,-0.0006659327316284401,0.0008660312364043527,-0.09388948070383167,4.0,3.0
gaussian_postrelu,train_probe,0.02,5,0.4564536362894291,0.40903369814252116,0.4877507431379699,-0.00185463729858402,0.003439640421614943,-0.06491458136097414,3.0,0.0017459954452514793,0.0015543076028559696,0.19997955867536582,1.0,-0.0020181475448608197,0.0034047586912508954,-0.07090386949611194,3.0,2.0
