problem,method,seed,probe,policy,coords,vector,t,C_fd,quad_r1_f64,ratio_C_fd_over_quad,sign_agrees
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,0.001,1468.4527952461003,-3596.8773529596247,-0.4082576777431154,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,0.003,5155.125994053569,-3596.8773529596247,-1.4332226228986562,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,0.01,60737.2833528711,-3596.8773529596247,-16.886114646887957,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,1e-05,2948837.735220477,2836225.851037925,1.039704836672771,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,3e-05,2922547.025080559,2836225.851037925,1.0304352257458778,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,0.0001,2923617.2507588253,2836225.851037925,1.030812567232232,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,0.0003,3104804.758761651,2836225.851037925,1.094695881720928,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,0.001,3412841.74063727,2836225.851037925,1.2033039397720497,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,0.003,2508607.943380901,2836225.851037925,0.884488075046234,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,top1,0.01,1618488.037925457,2836225.851037925,0.5706485036560706,True
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,1e-05,8575.290950663115,-3627.557931965837,-2.363929428968765,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,3e-05,7258.157664644414,-3627.557931965837,-2.0008385257437067,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,0.0001,1482.2932573932412,-3627.557931965837,-0.4086201475464682,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,0.0003,791.5721612319596,-3627.557931965837,-0.21821075667921666,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,0.001,1608.6304468977964,-3627.557931965837,-0.44344721078680377,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,0.003,5180.401269615399,-3627.557931965837,-1.4280685151754555,False
plain_s2_train_centre_frozen_rel,plain,2,train_probe,centre_frozen,relative,min,0.01,58499.36816661729,-3627.557931965837,-16.126377376670995,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,1e-05,2886330.8453153097,2856396.5417786352,1.0104797436556323,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,3e-05,2935986.5684304894,2856396.5417786352,1.027863787638636,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,0.0001,2947112.497626825,2856396.5417786352,1.0317588802959767,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,0.0003,3109207.9406983275,2856396.5417786352,1.0885071085971385,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,0.001,3405030.8738798657,2856396.5417786352,1.1920721874840263,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,0.003,2464953.037323868,2856396.5417786352,0.8629589769034585,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,top1,0.01,1552961.7338329789,2856396.5417786352,0.5436786213394492,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,1e-05,-674.3706920664393,-5543.924912794758,0.12164138271607311,True
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,3e-05,3762.177527042196,-5543.924912794758,-0.6786126410838487,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,0.0001,2312.506573665107,-5543.924912794758,-0.4171244398220656,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,0.0003,809.2646863423605,-5543.924912794758,-0.1459732408125998,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,0.001,131.9182639011318,-5543.924912794758,-0.02379510292368485,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,0.003,7337.07922074457,-5543.924912794758,-1.3234449124322396,False
plain_s2_train_saved_ord,plain,2,train_probe,saved,ordinary,min,0.01,131899.47228898326,-5543.924912794758,-23.791713337345904,False
