method,u1,u2,t1,t2,T1,T2,train_probe_ce,test_probe_ce,train_probe_ce_centred,test_probe_ce_centred
resolution_max_b1,0.45,0.1,0.0005507459806680121,0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,0.6353201293945312,0.9235155029296875,0.31721772766113276,0.36310260009765627
resolution_max_b1,0.45,0.15,0.0005507459806680121,0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,0.6632917175292968,0.9590262451171875,0.3451893157958984,0.3986133422851562
resolution_max_b1,0.45,0.2,0.0005507459806680121,0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,0.6990069580078125,1.0020289306640624,0.3809045562744141,0.44161602783203113
resolution_max_b1,0.45,0.25,0.0005507459806680121,0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,0.7424943237304688,1.0525548095703126,0.4243919219970703,0.4921419067382813
resolution_max_b1,0.45,0.3,0.0005507459806680121,0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,0.7938165283203125,1.1105643920898438,0.47571412658691403,0.5501514892578125
resolution_max_b1,0.45,0.35,0.0005507459806680121,0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,0.8529579772949218,1.1759312133789062,0.5348555755615234,0.6155183105468749
resolution_max_b1,0.45,0.4,0.0005507459806680121,0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,0.9199622192382813,1.2486806640625,0.6018598175048828,0.6882677612304686
resolution_max_b1,0.45,0.45,0.0005507459806680121,0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,0.994955810546875,1.3285142822265625,0.6768534088134766,0.7681013793945313
resolution_max_b1,0.45,0.5,0.0005507459806680121,0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,1.0774339599609375,1.4150487060546875,0.7593315582275391,0.8546358032226562
resolution_max_b1,0.45,0.55,0.0005507459806680121,0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,1.1670783081054688,1.508012451171875,0.8489759063720703,0.9475995483398438
resolution_max_b1,0.45,0.6,0.0005507459806680121,0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.2636996459960939,1.6072310791015625,0.9455972442626954,1.0468181762695312
resolution_max_b1,0.45,0.65,0.0005507459806680121,0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.3670505981445313,1.712349365234375,1.048948196411133,1.1519364624023438
resolution_max_b1,0.45,0.7,0.0005507459806680121,0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.4766749267578125,1.8230369873046874,1.158572525024414,1.2626240844726562
resolution_max_b1,0.45,0.75,0.0005507459806680121,0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.5923837890625,1.9394627075195312,1.2742813873291017,1.3790498046875
resolution_max_b1,0.45,0.8,0.0005507459806680121,0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.713954833984375,2.06142333984375,1.3958524322509767,1.5010104370117188
