objective,method,seed,probe,draw,rademacher_seed,z_sha256,trace_ordinary,trace_relative,trace_covariance,zHz_direct,seconds
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,48,846966782,97ba49ea96dc785f65251cbc77f23bc01b1e0838cd1ae2e993b64e70a21502cd,10284.090609140287,17637.652521632423,125.11471804037886,10284.090609140287,1.0734906196594238
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,49,787817564,111821d8d5a504362a6f947d8cd5fbca5033b5735f2f9f3563317439ca1fc98c,11723.43613797045,19173.489284786025,59.66066189967905,11723.43613797045,1.0781433582305908
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,50,772679580,c4deffb74ace17e90d80ef3106fb94fd3decc7a844443a286bbbd643d5f384fb,10031.376606382692,17706.59958231165,112.61911363354655,10031.376606382692,1.0778582096099854
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,51,810174495,4274bc68813179f912bfca3eadf64bf6009b54996d59cc52613bb0363e5c4435,13967.491505743703,22796.99302954262,119.58906133253512,13967.491505743703,1.0779807567596436
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,52,2088756404,29e1cdc7edada1ad01770f7575a8e613054560e13f26f435c83cb61f4c2b7aae,11711.890278134379,20418.347076726575,119.19993649664268,11711.890278134379,1.0805299282073975
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,53,1758154797,d015ed822917bb11c42165300cd3eb19f190e29364384ef33bc38d4f4986ad76,18494.529227342704,30231.963401538913,134.03563627937635,18494.529227342704,1.082115888595581
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,54,1664344291,c68a6fde42ef6e2dc5221b4b8d432d6e45344a92674b0d8061ad6b71a07e9422,9025.29724446722,15288.081151215172,90.09572167712173,9025.29724446722,1.0856051445007324
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,55,1530737715,50d850d9b712b28880f337e7e1097b2b1aed07fdf66920e090efdfff243ea8c0,9396.327965528995,16076.15303645308,141.43621538161494,9396.327965528995,1.0823419094085693
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,56,1205378019,8d9b89778ea4875ce6eaf4a1d0a0104b6a251be89c2f94fbf7207f860b54e7c5,15903.198133019294,26686.99043124471,163.88395686048347,15903.198133019294,1.085695505142212
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,57,73356104,6790f8766567e9380f4bdf24ec6cac721ebf59a58f17e09af34ecafb9922bec2,18573.469724731127,29752.849705810786,106.61056106134123,18573.469724731127,1.0856413841247559
