objective,method,seed,probe,bn_policy,parameter_subset,n_draws,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_min_relative,G,P,loss,grad_norm,trace_ordinary,trace_ordinary_mc_sd,trace_ordinary_mc_sem,trace_ordinary_mc_sem_rel,trace_ordinary_meets_5pct,trace_ordinary_cv,trace_ordinary_cv_mc_sem,trace_relative,trace_relative_mc_sd,trace_relative_mc_sem,trace_relative_mc_sem_rel,trace_relative_meets_5pct,trace_relative_cv,trace_relative_cv_mc_sem,trace_covariance,trace_covariance_mc_sd,trace_covariance_mc_sem,trace_covariance_mc_sem_rel,trace_covariance_meets_5pct,trace_covariance_cv,trace_covariance_cv_mc_sem,mean_eigenvalue_ordinary,lambda_top1_over_mean_eigenvalue,top2_share_of_trace_signed,r_units_extreme_top1,r_units_isotropic_relative_mean,quadform_20dir_mean,quadform_20dir_sem,trHC_minus_quadform_z,covariance_trace_over_extreme_r_units
gaussian_s2_test_centre_frozen,gaussian_postrelu,2,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1449.2722435605874,1059.9235377420437,-4.81201568846076,2378.5781042673448,-7.764737145770668,698,268336,0.5980935990810394,3.519500270418104,11980.266775490505,4177.991526239568,369.28576749299145,0.030824502860694592,True,11676.680081614388,262.7569968315673,20168.06074963889,6762.100161182974,597.6908598793908,0.029635514653539134,True,19728.478787606284,436.33100360579607,111.37311897263876,37.729923841744956,3.3348856252687313,0.02994336206107345,True,109.79097920604488,3.00553628290676,0.044646513235236815,32461.03981120666,0.2094440656727277,1660247.5167786067,52.46149008425238,107.12404281217195,6.191811904884741,0.6041815701514602,6.708223794771098e-05
combined_s2_test_centre_frozen,resolution_max_b1_gaussian_conv,2,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1322.5836227898296,1175.405251290246,-4.235448196570314,2148.843265270672,-6.846196706949457,698,268336,0.5407951027154922,3.1795988695754085,9978.680436540326,3211.6215592381704,283.86992289277794,0.028447641418928683,True,10078.435788498917,199.34680918833686,16387.129913990302,5232.22656872167,462.4678609309393,0.028221406882001546,True,16567.21749897344,325.881747799632,76.77340585609647,24.454859286730027,2.1615246043262024,0.028154600935351867,True,78.53585234187881,1.7544397625543042,0.037187259393224634,35565.504002448724,0.2503325855523784,1499892.599158929,42.626470842396216,77.17669528915538,4.592795186840895,-0.07944996502548689,5.1185935512414346e-05
plain_s3_test_centre_frozen,plain,3,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,3539.047014743923,3225.841589842531,-10.546056155165742,5670.13194535396,-16.628678581382342,698,268336,0.761147528886795,7.372191152821192,23206.26979819703,9017.347276369039,797.0284259293239,0.03434539169200074,True,22625.737569857778,479.83461478183284,37013.36317845481,14375.883244845336,1270.6605659970255,0.03432977867670958,True,36311.73972928212,765.0410098323553,154.7981288301588,55.148242689714365,4.874462047052309,0.03148915354397123,True,156.32227207838957,3.1883767540299592,0.08648213358698434,40922.29074325883,0.29151124516840876,3957752.097857064,96.27976677956539,155.97321969496664,11.939327066110945,-0.09112026955339513,3.911263894319572e-05
resolution_s3_test_centre_frozen,resolution_max_b1,3,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1677.6904570011932,1190.2367663811658,-4.504331822629847,2678.054356552542,-7.127204766024397,698,268336,0.5726373195648193,3.2620633199296103,11405.771123703915,3985.7207941348256,352.2912751811208,0.030887107181116008,True,11433.351799147964,273.4516774296724,18312.02988124417,6319.897818242503,558.6053254606675,0.03050482819672607,True,18373.628795425837,431.53084614974654,88.13167813013024,30.764303430333772,2.719205946758697,0.030853899579032996,True,89.21109877096899,2.0542100910127066,0.042505556927523384,39469.90883713954,0.2514452720712694,1869281.9408736741,47.6335521775253,88.57944806149241,5.2258905724786295,-0.0760090100389637,4.714734369548278e-05
gaussian_s3_test_centre_frozen,gaussian_postrelu,3,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1431.2875810921907,1088.8777068266174,-6.24825696617747,2336.894042201622,-10.102822264092866,698,268336,0.5582676231861115,4.368155570886236,10704.256460790064,3489.5521950842617,308.43575255606044,0.028814308932700525,True,10940.212118190104,230.2996730864337,18205.331240311203,5653.115609780394,499.66954781340513,0.02744633103445053,True,18608.19447188845,380.59770781569495,121.5617959356102,48.92617592995569,4.324503847199713,0.03557453074722876,True,123.90818478991373,3.2795201137819987,0.03989124254960223,35879.74426498436,0.23543580977812248,1631152.0414567322,47.356005924427656,138.3088418795758,10.384908017105346,-1.488713658040237,7.452511651032057e-05
combined_s3_test_centre_frozen,resolution_max_b1_gaussian_conv,3,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1150.7266317348092,978.1335614877624,-4.886732378160389,1877.2710196360456,-7.851156264406258,698,268336,0.5367680490016937,3.472546075106538,8747.329583688645,3552.1918698255367,313.97236990366986,0.03589351091665068,True,8783.416524644155,211.75377434610277,14479.494902599752,5849.920234790735,517.064783427616,0.03571013953910633,True,14515.021651613526,342.9235351270242,77.9114110951125,31.967322120518258,2.825538780974148,0.03626604551578194,True,77.97894634994947,1.7746875467202896,0.03259841983069228,35300.07398246247,0.24337258278141347,1310335.1717059598,37.664299393352465,79.61458187735434,5.727878753792465,-0.26666700982761504,5.945914661946957e-05
plain_s4_test_centre_frozen,plain,4,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,3283.587129443933,2603.033997191556,-9.483177754583272,5266.916471727245,-15.040773098311089,698,268336,0.736142098903656,5.780242061666371,21516.578719371653,8272.443556272716,731.1876169529245,0.03398252233728157,True,20667.741147223147,446.5598361984044,34698.422291886796,13096.50171127934,1157.5781462333555,0.03336111758902713,True,33422.07796515785,698.0106483421409,147.6251387500085,52.31631809976867,4.624152911882367,0.031323614331790775,True,144.4436392019794,3.0430984061636077,0.08018521077817234,40950.034271628756,0.2735853689107037,3676307.697265617,90.25810461412924,145.1212933208875,11.541531655123883,0.20138038980182524,4.015581689742941e-05
resolution_s4_test_centre_frozen,resolution_max_b1,4,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1776.4846838045592,1374.8993686491194,-3.427039891761939,2860.89132577863,-5.460769814192195,698,268336,0.5623948574066162,2.8964003288557403,11878.010657314346,4810.347130550777,425.17863448421315,0.035795441404356115,True,11539.780618868146,263.223627318025,19135.87424555273,7689.024422601123,679.6201637412789,0.03551550114828048,True,18595.219792232863,417.3912911897675,85.90891710651019,39.12258821255291,3.4579809278331317,0.040251711280982795,True,84.67541253348355,2.0295673376612777,0.04426543832103909,40132.544738864744,0.2653124452715566,1996902.1453934836,49.77654963700662,84.07218561354149,6.538892123026905,0.24830959040666517,4.302109510207477e-05
gaussian_s4_test_centre_frozen,gaussian_postrelu,4,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1616.101423916978,1218.9846744320723,-4.4918211609597565,2654.324442938903,-7.254235484003366,698,268336,0.5919629335403442,3.743270383412808,12251.409843470232,4411.432380909111,389.9192189108436,0.03182647743342478,True,12131.132010401961,254.14753032313877,20892.447014854384,7448.505308836324,658.3610766977705,0.03151191797828566,True,20725.90268461776,446.89850989287834,127.81759552343799,65.64711843928578,5.802440326721927,0.04539625630539991,True,128.6608099276808,5.431880312094762,0.04565697425418219,35396.594941219584,0.23140896717777318,1852718.4611713542,54.345775506709344,123.39933488252879,9.25288410609348,0.40453854766231545,6.898921676563161e-05
combined_s4_test_centre_frozen,resolution_max_b1_gaussian_conv,4,test_probe,centre_frozen,"conv+fc weights (268,336; 698 blocks)",128,1283.0316628102928,931.1603146600098,-4.605468709151888,2089.0144348376484,-7.383006545442719,698,268336,0.4987561851739883,3.4452738578879005,10053.38476980017,3392.6536950746035,299.87105425060616,0.029827870027555572,True,9802.417217657752,224.05479743120247,16410.147589394874,5564.454494412542,491.83293832538374,0.02997126842681371,True,16008.046138923448,363.8988535450623,73.998560596509,23.280202564825597,2.0576986376230795,0.027807279236728218,True,72.71291894130421,1.666711091534228,0.03746565786849387,34245.539403412884,0.22024343324863255,1458132.0755166786,42.68634479681303,72.04512929259235,5.4100387625115465,0.33748821162808007,5.074887373991011e-05
