policy,probe,method,amplitude,n_seeds,median,min,max
saved,train_probe,plain,0.01,5,1.1996667500578952,1.15132322091535,1.265736208648251
saved,train_probe,plain,0.02,5,1.202978588582205,1.1734649080161104,1.2332027545080195
saved,train_probe,plain,0.025,5,1.213111814728965,1.1855436599495237,1.2273993803773546
saved,train_probe,plain,0.05,5,1.2460651200866184,1.2157457056094036,1.2697860049448404
saved,train_probe,plain,0.1,5,1.379205171902364,1.3460485217924094,1.406837415109497
saved,train_probe,plain,0.2,5,1.5514082495065555,1.5314130721490733,1.7074056966838365
saved,train_probe,plain,0.25,5,1.5559598495180935,1.5207361467686578,1.7582888430289398
saved,train_probe,plain,0.35,5,1.5211429768544855,1.4101238712894006,1.756369818794321
saved,train_probe,plain,0.5,5,1.591818250555025,1.4455424799918053,1.8362381638098548
centre_frozen,test_probe,resolution_max_b1,0.005,5,0.930920162407773,0.7455093212296232,0.9925191136279222
centre_frozen,test_probe,resolution_max_b1,0.01,5,0.8870279470073203,0.7738441974366985,0.9358428577250648
centre_frozen,test_probe,resolution_max_b1,0.02,5,0.8451471623188782,0.7992407003069583,0.8957173450182687
centre_frozen,test_probe,resolution_max_b1,0.025,5,0.8386258746601892,0.8009170417066043,0.891658128576354
centre_frozen,test_probe,resolution_max_b1,0.05,5,0.8638701157354746,0.8469342550330078,0.9040666942557224
centre_frozen,test_probe,resolution_max_b1,0.1,5,0.995540436085268,0.93810511192894,1.0411190245760311
centre_frozen,test_probe,resolution_max_b1,0.2,5,1.2945400769921436,1.181777097462066,1.3681595859293771
centre_frozen,test_probe,resolution_max_b1,0.25,5,1.3802230819969312,1.269508494122529,1.4848137068489924
centre_frozen,test_probe,resolution_max_b1,0.35,5,1.4569057316419427,1.3640674522170584,1.6254696920442993
centre_frozen,test_probe,resolution_max_b1,0.5,5,1.653593991320659,1.4847310632842177,1.9366917905822612
centre_frozen,train_probe,resolution_max_b1,0.005,5,1.1700697229403456,1.028836720588445,1.236867257128558
centre_frozen,train_probe,resolution_max_b1,0.01,5,1.1873694334510076,1.0948741240011788,1.1976838362172613
centre_frozen,train_probe,resolution_max_b1,0.02,5,1.1800463942316226,1.1369239518447298,1.1971671034407405
centre_frozen,train_probe,resolution_max_b1,0.025,5,1.1804553252543557,1.1441064715149156,1.1984520910778862
centre_frozen,train_probe,resolution_max_b1,0.05,5,1.1844309969302913,1.1807763556850488,1.211755468335889
centre_frozen,train_probe,resolution_max_b1,0.1,5,1.3191252940955038,1.2359848621853051,1.3440826003622983
centre_frozen,train_probe,resolution_max_b1,0.2,5,1.5873799564377813,1.4928595673753635,1.7216130428354526
centre_frozen,train_probe,resolution_max_b1,0.25,5,1.6706448908960605,1.5904288292384412,1.824197767394162
centre_frozen,train_probe,resolution_max_b1,0.35,5,1.739483169029866,1.6814750974986747,1.91883584810697
centre_frozen,train_probe,resolution_max_b1,0.5,5,1.988667623345932,1.803729192838489,2.2634905421496145
saved,test_probe,resolution_max_b1,0.005,5,0.8516520319556246,0.7374564540944721,0.899029262335318
saved,test_probe,resolution_max_b1,0.01,5,0.8514223609178602,0.7544364267052199,0.8780845258888546
saved,test_probe,resolution_max_b1,0.02,5,0.8312909907656005,0.7901706207856303,0.8846387749206908
saved,test_probe,resolution_max_b1,0.025,5,0.8254321490769609,0.7916758054473941,0.8855728310965012
saved,test_probe,resolution_max_b1,0.05,5,0.8485522306570178,0.8296265109744065,0.9053794074407768
saved,test_probe,resolution_max_b1,0.1,5,0.9746098873860848,0.9290900342691084,1.022462842637149
saved,test_probe,resolution_max_b1,0.2,5,1.2647129592765634,1.1816191661239512,1.356474926228336
saved,test_probe,resolution_max_b1,0.25,5,1.346756664915311,1.2733415104786878,1.476401780640448
saved,test_probe,resolution_max_b1,0.35,5,1.4317563945290996,1.3717767609907765,1.6257562705146469
saved,test_probe,resolution_max_b1,0.5,5,1.6453465352996228,1.4938911297462163,1.9483158869634032
saved,train_probe,resolution_max_b1,0.005,5,1.1572185103237345,1.0486472486212506,1.266770874620929
saved,train_probe,resolution_max_b1,0.01,5,1.1494139234967586,1.0912658808849,1.2417541473651756
saved,train_probe,resolution_max_b1,0.02,5,1.1485982646954582,1.113349378271923,1.2050768103493938
saved,train_probe,resolution_max_b1,0.025,5,1.1548273687410768,1.1187763948024652,1.1967337300933425
saved,train_probe,resolution_max_b1,0.05,5,1.178193088245749,1.1540003752910937,1.1856826545026504
saved,train_probe,resolution_max_b1,0.1,5,1.291344221104977,1.2284447311658977,1.332186325206743
saved,train_probe,resolution_max_b1,0.2,5,1.5563502148324768,1.4910298117213645,1.7115071579252086
saved,train_probe,resolution_max_b1,0.25,5,1.6281375295873417,1.5932177636589,1.814817545740605
saved,train_probe,resolution_max_b1,0.35,5,1.7170754745776369,1.6886043884772728,1.8990559254453807
saved,train_probe,resolution_max_b1,0.5,5,1.938286672321564,1.812153464743506,2.252092755691788
centre_frozen,test_probe,gaussian_postrelu,0.005,5,0.7774618363519805,0.7680477066902849,0.922081969616224
centre_frozen,test_probe,gaussian_postrelu,0.01,5,0.7520828960887336,0.7301763738102907,0.8769445218692266
centre_frozen,test_probe,gaussian_postrelu,0.02,5,0.7849914878314879,0.7417048334917722,0.8557263132120527
centre_frozen,test_probe,gaussian_postrelu,0.025,5,0.8010145267893473,0.754252655416207,0.8702310685938535
centre_frozen,test_probe,gaussian_postrelu,0.05,5,0.900004272648302,0.8343794527662333,0.9795974125829596
centre_frozen,test_probe,gaussian_postrelu,0.1,5,1.079526761596485,1.0084489549907605,1.0858780187868124
centre_frozen,test_probe,gaussian_postrelu,0.2,5,1.121610653344386,1.062442691325746,1.2686757840756884
centre_frozen,test_probe,gaussian_postrelu,0.25,5,1.1138421727979633,1.0066935155096066,1.2470886733254647
centre_frozen,test_probe,gaussian_postrelu,0.35,5,1.087823018787018,0.9169321404302164,1.186613472595421
centre_frozen,test_probe,gaussian_postrelu,0.5,5,1.141333204585777,0.9574806805068372,1.3248887616997314
centre_frozen,train_probe,gaussian_postrelu,0.005,5,1.1632655222751922,1.0318035184591454,1.1784330284996778
centre_frozen,train_probe,gaussian_postrelu,0.01,5,1.1741399983721856,1.064556157063579,1.1917402062433635
centre_frozen,train_probe,gaussian_postrelu,0.02,5,1.168358698726262,1.144534996763224,1.226896740357698
centre_frozen,train_probe,gaussian_postrelu,0.025,5,1.1862346732281497,1.146491683960518,1.2471415379536437
centre_frozen,train_probe,gaussian_postrelu,0.05,5,1.2567139623134855,1.208130784706829,1.345364688012035
centre_frozen,train_probe,gaussian_postrelu,0.1,5,1.403497476960106,1.3012723640513164,1.46993591349253
centre_frozen,train_probe,gaussian_postrelu,0.2,5,1.3949140622492897,1.3438469310193286,1.5361838430712027
centre_frozen,train_probe,gaussian_postrelu,0.25,5,1.3244682904200682,1.3095608073857952,1.531105297100423
centre_frozen,train_probe,gaussian_postrelu,0.35,5,1.2781230978476437,1.1756804181881817,1.513402406085724
centre_frozen,train_probe,gaussian_postrelu,0.5,5,1.286271626455183,1.1866803227829228,1.6653466230677163
saved,test_probe,gaussian_postrelu,0.005,5,0.8051050512303619,0.5601806323320457,0.8763266716156956
saved,test_probe,gaussian_postrelu,0.01,5,0.7366604259771266,0.654910682309586,0.8335792717549317
saved,test_probe,gaussian_postrelu,0.02,5,0.7616406157069097,0.736806607442863,0.8329460401750401
saved,test_probe,gaussian_postrelu,0.025,5,0.7977924836985439,0.7573721094463706,0.8529649303622272
saved,test_probe,gaussian_postrelu,0.05,5,0.8930402539051504,0.8356991453202636,0.9538285276752704
saved,test_probe,gaussian_postrelu,0.1,5,1.066778739164412,1.0001377684013046,1.083527222934583
saved,test_probe,gaussian_postrelu,0.2,5,1.1014197413083031,1.0512990249979848,1.2692709075991853
saved,test_probe,gaussian_postrelu,0.25,5,1.0957623459061574,0.9970822180550774,1.2506058394221875
saved,test_probe,gaussian_postrelu,0.35,5,1.0738774051630022,0.9111787095471816,1.17494671800264
