objective,draw,trace_ordinary_cv,trace_relative_cv,trace_covariance_cv
combined_s0_test_centre_frozen,90,10508.590194674667,17367.832567801517,84.19191521504484
combined_s0_test_centre_frozen,91,8313.78564462303,13146.509095291483,48.990663800731575
combined_s0_test_centre_frozen,92,11145.408100978708,18067.04877808233,89.7489197474294
combined_s0_test_centre_frozen,93,6381.658303791013,10395.726114345873,51.09604225763665
combined_s0_test_centre_frozen,94,9783.183634266677,16227.93570422327,64.8500730863937
combined_s0_test_centre_frozen,95,6937.068064183691,11358.762608223638,55.915409277534394
combined_s0_test_centre_frozen,96,7997.571937927244,13177.526613271413,77.1878321484277
combined_s0_test_centre_frozen,97,8853.331996092467,14921.142042880107,67.10704392014415
combined_s0_test_centre_frozen,98,6836.397363940278,11166.47965244819,52.1332581705272
combined_s0_test_centre_frozen,99,11795.291541565384,19562.774103397333,95.84329153130203
combined_s0_test_centre_frozen,100,9115.044267801291,14924.960018542131,69.28553860604993
combined_s0_test_centre_frozen,101,7750.000315107112,12681.840436717182,88.27806610069605
combined_s0_test_centre_frozen,102,7737.644601753463,12295.03768325534,46.33346124175167
combined_s0_test_centre_frozen,103,9439.617390279833,14792.191541916576,55.70266276857874
combined_s0_test_centre_frozen,104,13151.703578349738,21088.138982047447,81.7411483639558
combined_s0_test_centre_frozen,105,5851.001507664895,9704.689720984843,53.514187511276845
combined_s0_test_centre_frozen,106,7169.020476146515,11902.84844771311,60.8083927554335
combined_s0_test_centre_frozen,107,11485.015457015754,18834.810459395525,75.2891598312135
combined_s0_test_centre_frozen,108,13112.527415911221,21424.103249611057,93.00330159613331
combined_s0_test_centre_frozen,109,6235.87107570949,10022.702016005393,55.52052234353279
combined_s0_test_centre_frozen,110,8199.083659941727,13596.694853140527,70.0880882000907
combined_s0_test_centre_frozen,111,13180.3488464295,21889.20012347934,103.10556287505524
combined_s0_test_centre_frozen,112,9018.235843833596,14350.72230873835,78.11519806241928
combined_s0_test_centre_frozen,113,10583.53756260867,16782.85042643925,75.20466655924255
combined_s0_test_centre_frozen,114,8898.343406460344,14819.755499399082,75.52926470339507
combined_s0_test_centre_frozen,115,8033.555967577576,13159.66207242264,70.32457784318521
combined_s0_test_centre_frozen,116,17366.692994256897,27575.81410642496,104.43556892989452
combined_s0_test_centre_frozen,117,10653.026972323003,17289.220795004785,89.48653431823858
combined_s0_test_centre_frozen,118,13994.286015395535,21564.345140360885,72.95338058273322
