method,seed,vector,t,test_probe_ce_centre_frozen,test_probe_ce_pointwise,train_probe_ce_centre_frozen,train_probe_ce_pointwise,train_probe_rise_centre_frozen,train_probe_rise_pointwise,test_probe_rise_centre_frozen,test_probe_rise_pointwise
gaussian_postrelu,0,min,-0.35,973835.84,5.32501171875,984046.016,5.11852783203125,984045.733565506,4.836093338012696,973835.2716390839,4.756650802612304
gaussian_postrelu,0,min,-0.2,7408.94375,5.5359736328125,7454.70525,5.51330517578125,7454.422815505982,5.2308706817626955,7408.3753890838625,4.967612716674805
gaussian_postrelu,0,min,-0.1,201.8457109375,4.520156005859375,202.9899453125,4.3343994140625,202.70751081848144,4.051964920043946,201.2773500213623,3.95179508972168
gaussian_postrelu,0,min,-0.05,84.1992578125,2.308693603515625,84.4490859375,1.963618225097656,84.16665144348144,1.6811837310791011,83.6308968963623,1.7403326873779297
gaussian_postrelu,0,min,-0.02,17.5252998046875,0.8160963745117188,17.1470673828125,0.477020523071289,16.864632888793945,0.1945860290527343,16.956938888549804,0.24773545837402344
gaussian_postrelu,0,min,-0.01,1.635939453125,0.6188968505859375,1.273347412109375,0.3292493591308594,0.9909129180908204,0.046814865112304704,1.0675785369873045,0.050535934448242115
gaussian_postrelu,0,min,-0.005,0.6383251647949219,0.5797171936035156,0.3441529693603515,0.2969691925048828,0.06171847534179681,0.014534698486328101,0.0699642486572265,0.011356277465820241
gaussian_postrelu,0,min,-0.002,0.5695111541748047,0.569804916381836,0.2882420959472656,0.2860393981933594,0.0058076019287108815,0.0036049041748046906,0.0011502380371093412,0.0014440002441405975
gaussian_postrelu,0,min,-0.001,0.5670377197265625,0.5686015014648438,0.2851582641601562,0.2837436981201172,0.0027237701416015225,0.001309204101562489,-0.0013231964111328764,0.00024058532714843484
gaussian_postrelu,0,min,-0.0005,0.5674037017822265,0.5683975677490234,0.2838427734375,0.2829703674316406,0.0014082794189452796,0.0005358734130859188,-0.0009572143554688051,3.66516113280424e-05
gaussian_postrelu,0,min,0.0,0.5683609161376953,0.5683609161376953,0.2824344940185547,0.2824344940185547,0.0,0.0,0.0,0.0
gaussian_postrelu,0,min,0.0005,0.5699882202148437,0.5686363830566407,0.2808152160644531,0.2821063995361328,-0.0016192779541016056,-0.0003280944824218812,0.0016273040771483949,0.0002754669189453107
gaussian_postrelu,0,min,0.001,0.5721151428222656,0.5692052764892578,0.2793212890625,0.2820297088623046,-0.003113204956054716,-0.00040478515625008704,0.003754226684570261,0.0008443603515624343
gaussian_postrelu,0,min,0.002,0.5797599487304688,0.5711607818603516,0.2780446472167969,0.2826208801269531,-0.004389846801757802,0.0001863861083983842,0.011399032592773417,0.002799865722656225
gaussian_postrelu,0,min,0.005,0.7175201416015625,0.58425244140625,0.379246597290039,0.2920339813232422,0.09681210327148432,0.009599487304687515,0.14915922546386717,0.01589152526855464
gaussian_postrelu,0,min,0.01,3.585159545898437,0.6370051879882812,3.115114013671875,0.3450648803710937,2.83267951965332,0.06263038635253898,3.016798629760742,0.06864427185058586
gaussian_postrelu,0,min,0.02,43.2358828125,0.9170397033691406,43.27555859375,0.6595996704101562,42.993124099731446,0.3771651763916015,42.66752189636231,0.3486787872314453
gaussian_postrelu,0,min,0.05,444.429828125,2.4287593994140626,446.22334375,2.28036279296875,445.94090925598147,1.9979282989501952,443.8614672088623,1.8603984832763674
gaussian_postrelu,0,min,0.1,3900.305,4.16743994140625,3914.43125,4.1209296875,3914.1488155059815,3.8384951934814455,3899.736639083862,3.5990790252685545
gaussian_postrelu,0,min,0.2,77998.664,5.498066162109375,78236.856,5.54421142578125,78236.57356550598,5.261776931762696,77998.09563908387,4.92970524597168
gaussian_postrelu,0,min,0.35,6906819.84,5.778542724609375,6920849.664,6.13694384765625,6920849.381565506,5.854509353637695,6906819.2716390835,5.210181808471679
gaussian_postrelu,0,min,0.5,280914821.12,5.685130859375,281666551.808,6.22147900390625,281666551.5255655,5.939044509887696,280914820.5516391,5.116769943237304
gaussian_postrelu,0,top1,-0.5,247618512879.616,4.63208349609375,251972796022.784,5.58346533203125,251972796022.50156,5.301030838012696,247618512879.04764,4.063722579956054
gaussian_postrelu,0,top1,-0.35,2127304785.92,3.8310396728515625,2162621415.424,4.781341064453125,2162621415.1415653,4.4989065704345705,2127304785.3516393,3.2626787567138673
gaussian_postrelu,0,top1,-0.2,4850365.44,3.445707885742188,4919505.152,4.270739379882812,4919504.869565506,3.9883048858642574,4850364.871639084,2.877346969604493
gaussian_postrelu,0,top1,-0.1,25863.877,3.18470703125,26127.215,3.6123248291015626,26126.93256550598,3.329890335083008,25863.30863908386,2.6163461151123046
gaussian_postrelu,0,top1,-0.05,1003.35078125,2.297548583984375,1010.95128125,2.4430260009765625,1010.6688467559815,2.1605915069580077,1002.7824203338622,1.7291876678466798
gaussian_postrelu,0,top1,-0.02,84.48306640625,1.21127734375,84.823453125,1.1151666259765625,84.54101863098144,0.8327321319580078,83.91470549011231,0.6429164276123046
gaussian_postrelu,0,top1,-0.01,27.3015009765625,0.7826986694335938,27.361140625,0.5720127258300781,27.078706130981445,0.2895782318115234,26.733140060424805,0.21433775329589844
gaussian_postrelu,0,top1,-0.005,9.9609404296875,0.6267024536132813,9.9604794921875,0.36023046875,9.678044998168946,0.07779597473144528,9.392579513549805,0.0583415374755859
gaussian_postrelu,0,top1,-0.002,2.371283935546875,0.5792494964599609,2.154548583984375,0.2933331604003906,1.8721140899658204,0.010898666381835898,1.8029230194091799,0.010888580322265584
