method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
plain,4,train_probe,0.02,0.0243309909820556,0.0087066844940185,0.0240609046936035,0.35784339817641564,0.9888994949424258,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.025,0.0383209781646728,0.0134477916717529,0.0379118444442749,0.3509250628719624,0.9893235052967654,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.05,0.1607803979873657,0.0514659599304199,0.1587320440292358,0.32010096115363607,0.9872599273059961,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.1,0.7095411819458007,0.1919787605285644,0.6979450706481933,0.27056746727807124,0.9836568875878254,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.2,3.124786747741699,0.6867645973205566,3.103362031555176,0.21977966906602034,0.993143622936187,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.25,4.918430416870118,1.021139083862305,4.904269625854492,0.2076148277629014,0.9971208719417775,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.35,9.481451513671876,1.7936174880981444,9.482637759399417,0.1891711923550755,1.0001251122495147,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,4,train_probe,0.5,19.922384747314457,2.929631842041016,19.89883048400879,0.1470522670452859,0.9988176986036352,0.0,0.0,0.0,0.0,0.0,0.0,False
resolution_max_b1,0,test_probe,0.005,0.0009153228759765,0.0002753204345702,0.0008508949279785,0.3007905098804376,0.9296117799642384,-0.00012057800292969998,-0.11639917040809676,0.00011262207031239999,0.6922139065513114,-0.00017728576660149995,-0.1724266634610555,True
resolution_max_b1,0,test_probe,0.01,0.0034886642456054,0.001033934020996,0.0033760162353515,0.2963695982777437,0.9677102746715164,-0.0008756256103516001,-0.20063415567057774,0.0004011428833007001,0.6339262031413869,-0.0009264144897461004,-0.2153235110427222,True
resolution_max_b1,0,test_probe,0.02,0.0132957916259765,0.0036645965576171,0.0131847694396972,0.27562078744205326,0.9916498250422042,-0.0054878738403321015,-0.2921620303649173,0.0006837806701660001,0.22939379551908587,-0.004937156677246099,-0.27244105540360025,True
