method,seed,probe,policy,G,P,lambda_top1_ordinary,lambda_top2_ordinary,lambda_min_ordinary,lambda_top1_relative,lambda_top2_relative,lambda_min_relative,grad_norm,loss,r_units_extreme_top1,r_units_extreme_min,r_units_random_mean_dHd,r_units_random_sd_dHd,r_units_random_sem_dHd,r_units_random_min_dHd,r_units_random_max_dHd,n_random_directions,n_random_dHd_negative,random_mean_over_extreme_top1,top1_quad_r1_f64_measured,min_quad_r1_f64_measured
resolution_max_b1,4,train_probe,saved,698,268336,1557.677786436749,1187.1238617553024,-6.288208009636309,2504.46623643535,1884.9565629486333,-9.9248135472653,3.688923660811742,0.3078333139419555,1748117.4330318742,-6927.51985599118,73.55404700453093,26.955408507237966,6.027412578346022,39.3759969649672,148.51860533440754,20,0,4.207614752571934e-05,1733399.2011790455,-6884.414192321211
gaussian_postrelu,0,test_probe,centre_frozen,698,268336,1356.2467165930718,1329.341934629106,-5.570887211864414,2213.269249994601,2183.887689979449,-8.960242749758308,4.061439571276408,0.5683609247207642,1544861.9364962315,-6254.249439331299,112.54711593348236,31.971795346291344,7.149110775701887,43.74229644219545,177.03801402502688,20,0,7.285253994200983e-05,1532133.5467284997,-6209.430962008319
gaussian_postrelu,0,test_probe,saved,698,268336,1329.9110723297745,1293.4086303978886,-6.017368401909715,2170.571630381849,2122.68764296691,-9.671734005272569,4.282540197236224,0.5654670894145966,1515058.9980065306,-6750.870335680253,110.46508579512499,30.724440836201076,6.870193828041608,44.01158786638472,169.69777770160616,20,0,7.291140869132599e-05,1502061.7785848456,-6704.680559434029
gaussian_postrelu,0,train_probe,centre_frozen,698,268336,1319.860435756021,1156.017310620918,-2.909103855047335,2153.8686701872034,1885.5398994899767,-4.6918248278655,2.5144684469640457,0.2824344933032989,1503400.331790668,-3274.893729850119,102.89982845744264,31.647563055935866,7.076610231528357,41.890290684639055,153.66491518844455,20,0,6.844472911275792e-05,1487688.342123988,-3251.0933225297854
gaussian_postrelu,0,train_probe,saved,698,268336,1301.963336996178,1136.5579031605553,-2.9056741641199912,2124.4227993925138,1855.16078556678,-4.679171665153603,2.5295194363653835,0.2834390997886657,1482847.1139759745,-3266.0618222772146,101.2726952631343,30.911333494533288,6.911984296894255,40.8749551927167,152.73736814567718,20,0,6.829611381283313e-05,1467640.276998605,-3242.0314393616186
gaussian_postrelu,1,test_probe,centre_frozen,698,268336,1556.602405435508,1300.2302207725093,-4.341565825977381,2569.418105204261,2130.6912933859494,-6.997564843835267,3.137859069110112,0.5690420717000961,1793453.837432574,-4884.300260997016,118.173053488735,32.230788172177164,7.207023332138433,58.81071864674349,219.2881338515279,20,0,6.589132712660511e-05,1768537.1946374224,-4838.718441541765
gaussian_postrelu,1,test_probe,saved,698,268336,1624.889537323233,1331.3600068947535,-3.7473687707427015,2681.56802265243,2177.8566317913464,-6.068384537602054,2.9530746456655907,0.5681536644697189,1871734.4798113962,-4235.732407246234,121.43855481097278,33.101863742020804,7.401801750909407,60.08602718495172,222.42811254414664,20,0,6.488022533153818e-05,1846149.25759291,-4195.357716276817
gaussian_postrelu,1,train_probe,centre_frozen,698,268336,1285.77228657031,1064.328123847174,-3.014678241936512,2125.407143635166,1731.898848417456,-4.853730897709488,2.504399406512799,0.2910343259572983,1483534.1862573458,-3387.9041666012226,103.99575496176733,30.03288785334079,6.715557880069773,51.64770773157813,191.4098474455772,20,0,7.010000573301746e-05,1463294.7168516975,-3358.258115819771
gaussian_postrelu,1,train_probe,saved,698,268336,1317.2288347005824,1108.2335768353516,-3.4246210485166184,2180.213843061129,1800.7498421722737,-5.49282603889553,2.724439747789776,0.2892394512891769,1521789.262456668,-3833.99257514908,106.1786577149771,31.19441781446726,6.975283875167921,52.67023689115107,195.4027830183979,20,0,6.977224792844829e-05,1500035.301920239,-3802.5189816987577
gaussian_postrelu,2,test_probe,centre_frozen,698,268336,1449.2722435605874,1059.9235377420437,-4.81201568846076,2378.5781042673448,1747.1459968584843,-7.764737145770668,3.519500270418104,0.5980935990810394,1660247.5167786067,-5419.786527747926,107.12404281217195,27.690624646429487,6.191811904884741,59.38471743005685,166.71412122912258,20,0,6.452293512236399e-05,1645174.896161972,-5375.767416040537
gaussian_postrelu,2,test_probe,saved,698,268336,1461.247622795377,1105.2576311955188,-4.676802343684874,2398.043952135255,1804.61158339298,-7.577437529972494,3.6155573278542095,0.6000042259693146,1673834.678590408,-5289.051395920801,109.22068114337142,28.10836368960006,6.2852211946232535,59.988951167546375,167.53333403003165,20,0,6.525177339219056e-05,1658595.6392622115,-5238.358554737341
gaussian_postrelu,2,train_probe,centre_frozen,698,268336,1166.6761106844774,1032.628640752123,-3.296360556037836,1911.1260318214088,1684.389495290452,-5.3984296735446256,2.6103647768229403,0.2518327832221985,1333965.9702113434,-3768.1039121341487,87.32858688171645,19.9664739140606,4.46463929428158,55.65735002594734,130.6450232594814,20,0,6.546537830187736e-05,1322089.3504588285,-3737.096031341732
gaussian_postrelu,2,train_probe,saved,698,268336,1166.7391622189384,1066.8347658518062,-3.397974427018952,1912.5672890485264,1737.7508075126473,-5.529763501757522,2.704375186265533,0.2509183064103126,1334971.9677558714,-3859.77492422675,88.65201422421882,20.250967297394062,4.528253948709832,56.6194531338826,132.10514533512344,20,0,6.640739758247176e-05,1322866.816096928,-3829.169481963541
gaussian_postrelu,3,test_probe,centre_frozen,698,268336,1431.2875810921907,1088.8777068266174,-6.24825696617747,2336.894042201622,1802.665129826312,-10.102822264092866,4.368155570886236,0.5582676231861115,1631152.0414567322,-7051.769940336821,138.3088418795758,46.4427205326602,10.384908017105346,73.35725254556704,264.5750514003328,20,0,8.479212137456934e-05,1605221.7786005763,-6999.056243192906
gaussian_postrelu,3,test_probe,saved,698,268336,1480.7814343108423,1084.8340522262224,-6.680338967010526,2411.239187316354,1797.2109419039166,-10.780344513778058,4.603852234101029,0.564039945602417,1683044.9527468153,-7524.680470617084,142.11807854800946,47.519793488988164,10.625748851812943,72.71844471887482,266.1583125215269,20,0,8.44410473505568e-05,1658505.8458373751,-7465.877940008215
gaussian_postrelu,3,train_probe,centre_frozen,698,268336,1141.9548541818697,966.6651240559364,-3.666691415379243,1861.7013194909357,1610.9548800407345,-5.899383885738257,2.517048171921544,0.2561737596988678,1299467.521004673,-4117.769952245303,111.37913823977877,39.95399316424532,8.933984468781444,56.805395779100834,217.7960756772036,20,0,8.571136749433095e-05,1280914.947110649,-4085.149654018117
gaussian_postrelu,3,train_probe,saved,698,268336,1171.7825097721775,983.7878719252952,-4.07605933878112,1908.770544863316,1640.1183137540577,-6.572761765973017,2.9094602482879264,0.2577179074287414,1332321.8403145946,-4587.787712649166,112.98242166935037,40.05266419426828,8.956047981835571,56.47297967092845,223.48314909174147,20,0,8.480114807895996e-05,1313605.954287052,-4550.430196572042
gaussian_postrelu,4,test_probe,centre_frozen,698,268336,1616.101423916978,1218.9846744320723,-4.4918211609597565,2654.324442938903,1992.470447060824,-7.254235484003366,3.743270383412808,0.5919629335403442,1852718.4611713542,-5063.456367834349,123.39933488252879,41.3801556983048,9.25288410609348,62.82433497844061,209.7297254994549,20,0,6.660447200623854e-05,1831035.5291110456,-5019.060726494963
gaussian_postrelu,4,test_probe,saved,698,268336,1603.816527273078,1244.8208056293718,-6.2367114647196304,2640.6418954365613,2019.9069090633463,-10.135982243256548,4.793781679809723,0.5957620739936829,1843168.0430147198,-7074.91560579307,124.23051772755066,41.45405697343205,9.269408933574326,65.28481944108725,213.2599633568744,20,0,6.740053800214381e-05,1820224.5561038293,-7020.0313871400695
gaussian_postrelu,4,train_probe,centre_frozen,698,268336,1459.1739056682995,1144.203618705062,-2.466143305791592,2397.622819413588,1860.6827939068376,-4.013019571724199,2.066454196707556,0.2627574130892753,1673540.7279506843,-2801.0876610634914,104.29104085517886,36.24298652012851,8.10417815666159,55.003119859339705,193.60282508096464,20,0,6.231759951422711e-05,1654241.6053823738,-2777.433552695621
gaussian_postrelu,4,train_probe,saved,698,268336,1446.4242216318962,1154.2714248724023,-4.23472320121941,2380.705227378727,1871.5177102665275,-6.810391807355986,3.03921282675085,0.2659339159727096,1661732.2487103515,-4753.653481534478,102.92611712311418,34.86944005710278,7.797043830503596,56.57725411318914,192.69745080564192,20,0,6.19390501706841e-05,1642128.164274518,-4723.734904627235
resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,698,268336,1315.2820907412558,1043.7842067727806,-5.013121163070165,2114.1234673230347,1687.074256006795,-8.018412061985035,3.693139417812584,0.5280258059501648,1475658.1801914782,-5596.851619265554,64.3809999094041,18.626182503743014,4.164941023968661,40.75901361046344,123.71432433918564,20,0,4.362866737949446e-05,1462632.9554381454,-5560.642164565846
