seed,probe,method,quantity,n_shared_draws,diff_vs_plain,diff_mc_sem,diff_z,diff_resolved_2sem,ratio_to_plain,ratio_mc_sem,unpaired_sem_would_be
1,train_probe,resolution_max_b1,trace_ordinary,128.0,-5723.834555021623,605.9774059709583,-9.445623712406102,True,0.6381852077351174,0.02872295551267926,638.5441825469536
1,train_probe,resolution_max_b1,trace_relative,128.0,-9332.056446377745,953.3324592794362,-9.788879373132072,True,0.6334469834467938,0.02813491531816417,1001.6730034157457
1,train_probe,resolution_max_b1,trace_covariance,128.0,-41.06147317733968,3.646509276227817,-11.260487788972883,True,0.641162087288684,0.024445754927340448,3.9084642926851165
1,train_probe,gaussian_postrelu,trace_ordinary,128.0,-6011.515889570937,595.670544784216,-10.092014692028515,True,0.6200003071587847,0.027600718880558622,634.189028079541
1,train_probe,gaussian_postrelu,trace_relative,128.0,-9038.221319715865,940.0856174528325,-9.614253374288376,True,0.6449885072969856,0.02796759610526182,1002.4839101322075
1,train_probe,gaussian_postrelu,trace_covariance,128.0,-21.07457287561467,4.37218751748953,-4.8201438733614745,True,0.8158284358355298,0.035022442305964595,4.646382648910692
1,train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-7523.963407693315,565.4148521051056,-13.306978724879121,True,0.5243955374330606,0.022439488581504043,602.9757350518743
1,train_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-11970.542056737397,883.1725047201384,-13.55402482840048,True,0.5298101414316604,0.022068252621193656,944.5518146450208
1,train_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-52.12887575708853,3.4656798656763605,-15.041457312132632,True,0.5444435983123902,0.02037925969355443,3.714314397839038
1,train_probe,resolution_max_b1,lambda_top1_ordinary,,-683.778503088427,,,,0.6770326700496101,,
1,train_probe,resolution_max_b1,lambda_top1_relative,,-1111.8068515174155,,,,0.6726186404288129,,
1,train_probe,resolution_max_b1,quadform_20dir_mean,,-45.95703914866145,5.617801243737245,,,0.6160313830588525,,
1,train_probe,gaussian_postrelu,lambda_top1_ordinary,,-831.4031664188833,,,,0.6073054950429151,,
1,train_probe,gaussian_postrelu,lambda_top1_relative,,-1270.653197044248,,,,0.6258449292482119,,
1,train_probe,gaussian_postrelu,quadform_20dir_mean,,-15.693816323443954,6.715557880069773,,,0.8688789996076871,,
1,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1003.454727599661,,,,0.5260408266197751,,
1,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-1612.1819809729661,,,,0.5252787585480787,,
1,train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-50.85587526157843,6.06545163540545,,,0.5751018679781825,,
2,test_probe,resolution_max_b1,trace_ordinary,128.0,-10038.1795179968,722.9996329795094,-13.884072771419085,True,0.5256541186836853,0.02209261989136719,784.3480032822611
2,test_probe,resolution_max_b1,trace_relative,128.0,-16326.576262685801,1163.3967694556943,-14.033540999365451,True,0.5247706448895855,0.021815167199883852,1256.2572425071603
2,test_probe,resolution_max_b1,trace_covariance,128.0,-67.33793147413832,4.840723898855121,-13.910715190772274,True,0.5534911329732012,0.02147886105383388,5.3174975662407435
2,test_probe,gaussian_postrelu,trace_ordinary,128.0,-9181.884965219768,750.9105587178454,-12.227667940769841,True,0.566117610452802,0.02410727519727256,785.657369956513
2,test_probe,gaussian_postrelu,trace_relative,128.0,-14187.090267689353,1199.928646152157,-11.82327825340571,True,0.587046196928851,0.024216242407918476,1263.846063806725
2,test_probe,gaussian_postrelu,trace_covariance,128.0,-39.43672254859748,4.958663797101923,-7.953094656598046,True,0.738500338235259,0.027228632889938126,5.73534038436743
2,test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-11183.471304169949,694.1761428336953,-16.110423009523085,True,0.47153430136993274,0.018300020960136595,749.3114559495597
2,test_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-17968.021103337942,1117.3245896653325,-16.081290315753122,True,0.47699193363245207,0.018362817044465057,1205.7980889893734
2,test_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-74.03643566513978,4.865325855180084,-15.217158699928312,True,0.5090742426467284,0.01978491327850639,5.142456203609272
2,test_probe,resolution_max_b1,lambda_top1_ordinary,,-1849.0668688927835,,,,0.46695677046412415,,
2,test_probe,resolution_max_b1,lambda_top1_relative,,-3045.9385865126424,,,,0.4583451054404935,,
2,test_probe,resolution_max_b1,quadform_20dir_mean,,-72.48083785822851,6.5707659857354725,,,0.5240326803993426,,
2,test_probe,gaussian_postrelu,lambda_top1_ordinary,,-2019.6150181775984,,,,0.4177916819454051,,
