problem,method,seed,probe,policy,coords,vector,radial_fraction_ordinary_metric,radial_fraction_r_metric,radial_fraction_bn_followed_r_metric,fc_share_r_metric,random_direction_expected_radial_fraction_r_metric,random_direction_expected_radial_fraction_ordinary_metric
resolution_s0_train_saved_ord,resolution_max_b1,0,train_probe,saved,ordinary,top2,0.006362739342180604,0.006312460632397785,0.0062370725583459396,0.0015161324700939188,0.004256539849304894,0.004567041184895761
resolution_s0_train_saved_ord,resolution_max_b1,0,train_probe,saved,ordinary,min,0.006380492249964998,0.006362752748839759,0.006342946645916745,0.0006385758847422753,0.004256539849304894,0.004567041184895761
resolution_s0_train_saved_rel,resolution_max_b1,0,train_probe,saved,relative,top1,0.007171744251001612,0.00709287975191799,0.006978359510957779,0.002743460183669058,0.004256539849304894,0.004567041184895761
resolution_s0_train_saved_rel,resolution_max_b1,0,train_probe,saved,relative,top2,0.006615130802617222,0.0064400497419434795,0.00619267722682762,0.005018499930764172,0.004256539849304894,0.004567041184895761
resolution_s0_train_saved_rel,resolution_max_b1,0,train_probe,saved,relative,min,0.006560950217151886,0.0064557985975751365,0.00637879530937052,0.0020550862801335164,0.004256539849304894,0.004567041184895761
resolution_s0_train_centre_frozen_ord,resolution_max_b1,0,train_probe,centre_frozen,ordinary,top1,0.007018968441646179,0.006987040841274642,0.006948512234580102,0.0008784329431866768,0.004256539849304894,0.004567041184895761
resolution_s0_train_centre_frozen_ord,resolution_max_b1,0,train_probe,centre_frozen,ordinary,top2,0.006384671071151831,0.0063606804409784955,0.006285557591790885,0.001545594687589078,0.004256539849304894,0.004567041184895761
resolution_s0_train_centre_frozen_ord,resolution_max_b1,0,train_probe,centre_frozen,ordinary,min,0.005763107549144932,0.005701545023585505,0.005679556555853575,0.0009007334938662658,0.004256539849304894,0.004567041184895761
resolution_s0_train_centre_frozen_rel,resolution_max_b1,0,train_probe,centre_frozen,relative,top1,0.007185489149993952,0.007094014754913766,0.0069728608190363,0.0027966401895972892,0.004256539849304894,0.004567041184895761
resolution_s0_train_centre_frozen_rel,resolution_max_b1,0,train_probe,centre_frozen,relative,top2,0.006635396259206755,0.006516311845235798,0.006291478322127392,0.004784681062795001,0.004256539849304894,0.004567041184895761
