policy,split,method,amplitude,mean_delta,sd_delta,n_seeds,n_seeds_below_plain
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.05,-0.01909220287322994,0.007415561262223068,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.1,-0.06796291053771972,0.024992097117535302,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.2,-0.21969688034057616,0.07521094083391466,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.25,-0.30286533432006835,0.09770341289647612,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.35,-0.44662242553710935,0.1127279513323465,5,5
recalibrated,train_probe,resolution_max_b1_gaussian_conv,0.5,-0.5616446762084962,0.09632803617257393,5,5
recalibrated,test_probe,resolution_max_b1,0.005,7.222793579096e-05,9.895773967226621e-05,5,1
recalibrated,test_probe,resolution_max_b1,0.01,0.00015394180297848,0.0002706700336258223,5,1
recalibrated,test_probe,resolution_max_b1,0.02,2.3628387451159716e-05,0.0006570671616683188,5,3
recalibrated,test_probe,resolution_max_b1,0.025,-0.00023348884582524015,0.000829922954479683,5,3
recalibrated,test_probe,resolution_max_b1,0.05,-0.0025120594787597997,0.0019519135229002363,5,5
recalibrated,test_probe,resolution_max_b1,0.1,-0.009573359985351627,0.006292635688012336,5,5
recalibrated,test_probe,resolution_max_b1,0.2,-0.046543954010009735,0.043242723523374334,5,4
recalibrated,test_probe,resolution_max_b1,0.25,-0.07645219741821281,0.06533882111258746,5,5
recalibrated,test_probe,resolution_max_b1,0.35,-0.1327531591796875,0.09900577264416113,5,5
recalibrated,test_probe,resolution_max_b1,0.5,-0.17780038177490248,0.10603143594003824,5,5
recalibrated,test_probe,gaussian_postrelu,0.005,0.00026632301330562,0.0001201691599718085,5,0
recalibrated,test_probe,gaussian_postrelu,0.01,0.0008295471954345799,0.000335566909139853,5,0
recalibrated,test_probe,gaussian_postrelu,0.02,0.0030092107391357604,0.0013339507502276723,5,0
recalibrated,test_probe,gaussian_postrelu,0.025,0.0048210861968994,0.0023248020867076033,5,0
recalibrated,test_probe,gaussian_postrelu,0.05,0.024400519943237303,0.012439639432766351,5,0
recalibrated,test_probe,gaussian_postrelu,0.1,0.11137903579711912,0.04085613657475981,5,0
recalibrated,test_probe,gaussian_postrelu,0.2,0.3164838716125489,0.09073508261102615,5,0
recalibrated,test_probe,gaussian_postrelu,0.25,0.38271441955566426,0.11728527250484223,5,0
recalibrated,test_probe,gaussian_postrelu,0.35,0.3972074435424807,0.15715395487613584,5,0
recalibrated,test_probe,gaussian_postrelu,0.5,0.20813206237792975,0.17642606008806502,5,0
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.005,1.792144775386e-05,3.149165975773476e-05,5,1
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.01,-5.880828857424006e-05,0.00010570614148599715,5,3
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.02,-0.0005024957275390801,0.000548199794441561,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.025,-0.00092424118041998,0.0008831477533597335,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.05,-0.004027152404785199,0.003663256165561033,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.1,-0.013439123077392642,0.015705576979627118,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.2,-0.06316860275268552,0.07240183661918934,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.25,-0.10474246444702143,0.10213627909773283,5,4
recalibrated,test_probe,resolution_max_b1_gaussian_conv,0.35,-0.18715736267089836,0.128377340639928,5,4
