probe,method,quantity,n_seeds,mean,sd_over_seeds,min,max,mean_mc_sem,max_mc_sem_rel,draws_min,draws_max,ratio_to_plain_mean,ratio_to_plain_sd,n_seeds_below_plain,n_seeds_below_plain_resolved_2sem,n_seeds_above_plain_resolved_2sem,n_seeds_unresolved
train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,5,1838.3098536408052,106.77225194814504,1683.9574061319756,1959.8753284798336,,,,,0.4887690554923956,0.042543170560243586,5.0,,,
train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,5,8534.80168102604,513.4934158156611,7812.930199193213,9177.030459468335,266.91998191146394,0.035164661627632154,128.0,128.0,0.5715763145732152,0.05551674844659871,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1_gaussian_conv,trace_relative,5,13956.65117039092,781.288279819019,12926.29414784117,14977.800464243908,432.7694140116979,0.034967490781688655,128.0,128.0,0.5808621352867622,0.053062811417589964,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1_gaussian_conv,trace_covariance,5,66.26666986920584,2.786690130635545,62.300151173445165,69.65627102072403,2.0381389625919737,0.036355340085215154,128.0,128.0,0.6362194488844054,0.06256585335895128,5.0,5.0,0.0,0.0
train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,5,66.33778519554178,5.3903635593922195,57.03817356956512,70.77551375448002,,,,,0.6313970788419683,0.052672761095536924,5.0,,,
train_probe,resolution_max_b1_gaussian_conv,lambda_min_ordinary,5,-2.553490026944768,0.3975460552486079,-3.019436067818948,-2.2160420928529367,,,,,,,,,,
test_probe,plain,lambda_top1_ordinary,5,3229.892793222347,295.6043954037609,2848.838422313595,3539.047014743923,,,,,,,,,,
test_probe,plain,lambda_top1_relative,5,5193.940318578313,479.69047057112374,4592.718360179871,5670.13194535396,,,,,,,,,,
test_probe,plain,trace_ordinary,5,21407.730369733294,1197.634412127622,19852.39256346113,23206.26979819703,708.4388013027306,0.03434539169200074,128.0,128.0,,,,,,
test_probe,plain,trace_relative,5,34463.32996600401,1811.8914157314127,31904.377253807343,37013.36317845481,1127.6498128463877,0.03432977867670958,128.0,128.0,,,,,,
test_probe,plain,trace_covariance,5,150.32389136254923,6.104456660267082,141.48077130618617,156.90557640515658,4.653799385845649,0.03216835049648196,128.0,128.0,,,,,,
test_probe,plain,quadform_20dir_mean,5,148.74380185415183,11.091989937800562,131.23057377542355,159.112799651467,,,,,,,,,,
test_probe,plain,lambda_min_ordinary,5,-9.566976618453186,0.5886693543540149,-10.546056155165742,-8.952989648597873,,,,,,,,,,
test_probe,resolution_max_b1,lambda_top1_ordinary,5,1664.1263569565767,69.98114408810027,1596.0470627416648,1776.4846838045592,,,,,0.518160872640739,0.044111983384536146,5.0,,,
test_probe,resolution_max_b1,lambda_top1_relative,5,2653.5388730373684,126.24899115790834,2542.2097290468078,2860.89132577863,,,,,0.5138117029140434,0.04476750845143739,5.0,,,
test_probe,resolution_max_b1,trace_ordinary,5,11505.148594467677,364.5722527251277,11123.972222713477,11899.329263700423,382.7301845364923,0.035795441404356115,128.0,128.0,0.5385827773531089,0.0302917750444051,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1,trace_relative,5,18484.869501013185,570.0936013117295,17909.176800504163,19135.87424555273,609.6920943923893,0.03551550114828048,128.0,128.0,0.5373346533236075,0.027557111914711756,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1,trace_covariance,5,85.32909641912859,3.081478365423922,81.01831308573705,88.13167813013024,2.7854899408527567,0.040251711280982795,128.0,128.0,0.5677973529812086,0.010830721619764686,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1,quadform_20dir_mean,5,84.21702124053684,5.064132324852705,78.65962413868925,89.97356341917514,,,,,0.567228232342753,0.027616777844449977,5.0,,,
test_probe,resolution_max_b1,lambda_min_ordinary,5,-4.71531630762224,0.9121713545851377,-5.9373829702490735,-3.427039891761939,,,,,,,,,,
test_probe,gaussian_postrelu,lambda_top1_ordinary,5,1481.902074119667,103.6887248048174,1356.2467165930718,1616.101423916978,,,,,0.46230161957991844,0.05794316656723017,5.0,,,
test_probe,gaussian_postrelu,lambda_top1_relative,5,2430.4967889213467,178.91532808749903,2213.269249994601,2654.324442938903,,,,,0.47161017824794704,0.06085056017021371,5.0,,,
test_probe,gaussian_postrelu,trace_ordinary,5,11590.52769610396,625.1056412042595,10704.256460790064,12251.409843470232,354.43270664151635,0.032172112810827554,128.0,128.0,0.5431450007365628,0.046126266591819606,5.0,5.0,0.0,0.0
test_probe,gaussian_postrelu,trace_relative,5,19579.52449447997,1047.1859717569414,18205.331240311203,20892.447014854384,581.0099113508468,0.03151191797828566,128.0,128.0,0.569601221518597,0.04470028354023348,5.0,5.0,0.0,0.0
test_probe,gaussian_postrelu,trace_covariance,5,117.09532855242989,7.589562393238144,109.36721547833196,127.81759552343799,4.289021943239868,0.04539625630539991,128.0,128.0,0.780399571919981,0.06566977832490291,5.0,5.0,0.0,0.0
test_probe,gaussian_postrelu,quadform_20dir_mean,5,119.91047779929877,11.952014322485041,107.12404281217195,138.3088418795758,,,,,0.8081713974055669,0.08007356027074998,5.0,,,
test_probe,gaussian_postrelu,lambda_min_ordinary,5,-5.0929093706879565,0.8012515681461668,-6.24825696617747,-4.341565825977381,,,,,,,,,,
test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,5,1268.3553910849078,69.27836141429871,1150.7266317348092,1322.5836227898296,,,,,0.396022599905199,0.048575637857181476,5.0,,,
test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,5,2052.4963384369935,106.64113641650073,1877.2710196360456,2148.843265270672,,,,,0.3982945730003002,0.0458410756847454,5.0,,,
test_probe,resolution_max_b1_gaussian_conv,trace_ordinary,5,9662.334507695257,527.5507805222466,8747.329583688645,10053.38476980017,299.94661869393883,0.03589351091665068,128.0,128.0,0.45324375174121717,0.04464595204888654,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1_gaussian_conv,trace_relative,5,15806.333577233872,786.3834658767486,14479.494902599752,16410.147589394874,486.96499574687834,0.03571013953910633,128.0,128.0,0.4602243663935922,0.040821068112225654,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1_gaussian_conv,trace_covariance,5,75.08876527705955,2.1388545695363317,72.89717048311176,77.9114110951125,2.279569781238628,0.03626604551578194,128.0,128.0,0.4999276265871577,0.017196067452452054,5.0,5.0,0.0,0.0
test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,5,74.89726405036137,6.833251422377752,64.3809999094041,81.26891388330077,,,,,0.50300933703337,0.009039892456173789,5.0,,,
test_probe,resolution_max_b1_gaussian_conv,lambda_min_ordinary,5,-4.394723421467238,0.7148825710876808,-5.013121163070165,-3.2328466603834314,,,,,,,,,,
