campaign,policy,split,contrast,arm_a,arm_b,n_pairs,seeds,acc_diff_seed0_pp,acc_diff_seed1_pp,acc_diff_seed2_pp,acc_diff_mean_pp,acc_diff_sd_pp,acc_n_positive,acc_n_negative,acc_n_zero,ce_diff_seed0,ce_diff_seed1,ce_diff_seed2,ce_diff_mean,ce_diff_sd,ce_n_lower,ce_n_higher
historical_sgd_30,P2,test,R - Plain,resolution_max_b1,plain,3,"0,1,2",5.85,4.279999999999995,4.820000000000002,4.9833333333333325,0.7976423592897611,3,0,0,-0.18948705444335945,-0.16855994873046876,-0.18110109710693356,-0.17971603342692058,0.01053208143853312,3,0
historical_sgd_30,P2,test,G - Plain,gaussian_postrelu,plain,3,"0,1,2",5.459999999999998,4.269999999999996,3.7699999999999956,4.4999999999999964,0.8681589716175272,3,0,0,-0.18501623077392582,-0.156287062072754,-0.1565378158569336,-0.1659470362345378,0.01651488282280075,3,0
historical_sgd_30,P2,test,RG - Plain,resolution_max_b1_gaussian_conv,plain,3,"0,1,2",7.06,5.720000000000002,5.779999999999996,6.186666666666665,0.7569235980819554,3,0,0,-0.23110152740478518,-0.1998442153930664,-0.2091793197631836,-0.2133750208536784,0.016045492179427502,3,0
historical_sgd_30,P2,test,CBS-pub - Plain,cbs_published_schedule,plain,3,"0,1,2",3.0000000000000027,2.080000000000004,2.4900000000000033,2.523333333333337,0.4609049070397631,3,0,0,-0.11581665649414064,-0.10102926025390624,-0.11785453796386713,-0.11156681823730467,0.009182501642323657,3,0
historical_sgd_30,P2,test,CBS-bm - Plain,cbs_budget_matched,plain,3,"0,1,2",3.720000000000001,2.429999999999999,3.5799999999999943,3.243333333333332,0.7078370810669168,3,0,0,-0.10414699096679692,-0.07651124267578124,-0.10841418762207033,-0.09635747375488284,0.017319264068011594,3,0
historical_sgd_30,P2,test,SDPoint - Plain,sdpoint,plain,3,"0,1,2",5.24,3.9000000000000035,4.020000000000001,4.3866666666666685,0.7414400402819713,3,0,0,-0.18472734680175784,-0.1500197463989258,-0.16954538879394532,-0.16809749399820964,0.017399042529268837,3,0
historical_sgd_30,P2,test,R - SDPoint,resolution_max_b1,sdpoint,3,"0,1,2",0.6099999999999994,0.37999999999999146,0.8000000000000007,0.5966666666666639,0.21031722072463613,3,0,0,-0.004759707641601607,-0.018540202331542965,-0.011555708312988244,-0.011618539428710939,0.006890462196885105,3,0
historical_sgd_30,P2,test,RG - SDPoint,resolution_max_b1_gaussian_conv,sdpoint,3,"0,1,2",1.8199999999999994,1.8199999999999994,1.759999999999995,1.7999999999999978,0.03464101615138014,3,0,0,-0.04637418060302734,-0.049824468994140614,-0.039633930969238285,-0.04527752685546874,0.005183025505510348,3,0
historical_sgd_30,P2,test,G - CBS-pub,gaussian_postrelu,cbs_published_schedule,3,"0,1,2",2.4599999999999955,2.189999999999992,1.2799999999999923,1.9766666666666601,0.618250219032177,3,0,0,-0.06919957427978518,-0.05525780181884776,-0.03868327789306647,-0.05438021799723314,0.015277064551591224,3,0
historical_sgd_30,P2,test,G - CBS-bm,gaussian_postrelu,cbs_budget_matched,3,"0,1,2",1.739999999999997,1.8399999999999972,0.19000000000000128,1.2566666666666653,0.9251126057585254,3,0,0,-0.0808692398071289,-0.07977581939697276,-0.04812362823486327,-0.06958956247965498,0.018598081669882718,3,0
historical_sgd_30,P2,test,RG - R,resolution_max_b1_gaussian_conv,resolution_max_b1,3,"0,1,2",1.21,1.440000000000008,0.9599999999999942,1.203333333333334,0.24006943440041806,3,0,0,-0.04161447296142573,-0.03128426666259765,-0.02807822265625004,-0.033658987426757804,0.0070736830655530715,3,0
