campaign,arm,seed,P0_test_acc,P0_train_acc,P1_test_acc,P1_train_acc,P2_test_acc,P2_train_acc,P3_test_acc,P3_train_acc,P0_test_ce,P0_train_ce,P1_test_ce,P1_train_ce,P2_test_ce,P2_train_ce,P3_test_ce,P3_train_ce
historical_sgd_30,gaussian_postrelu,0,0.7983,0.91352,0.7998,0.91516,0.7995,0.91498,0.7984,0.914,0.5883055130004883,0.2791657766723633,0.5873259841918945,0.2767416998291016,0.5883349227905273,0.27544348022460935,0.5919330749511719,0.27861241882324217
historical_sgd_30,gaussian_postrelu,1,0.8008,0.91422,0.7992,0.91508,0.7997,0.91536,0.8012,0.913,0.5938298919677735,0.2763461392211914,0.5896834594726562,0.2772206359863281,0.5908090682983398,0.2759976173400879,0.5944883117675781,0.2787159385681152
historical_sgd_30,gaussian_postrelu,2,0.7987,0.9169,0.7993,0.91784,0.7996,0.9181,0.8007,0.91574,0.5934026245117188,0.2698087467956543,0.5888259033203125,0.2689719160461425,0.5900900802612304,0.2676783312988281,0.5952323318481445,0.2717261651611328
historical_sgd_30,plain,0,0.7453,0.93454,0.7452,0.9359,0.7449,0.93628,0.7437,0.93524,0.7731327758789063,0.2273749816894531,0.7711591278076172,0.2245521604919433,0.7733511535644532,0.22335205154418944,0.7782350280761718,0.2262405891418457
historical_sgd_30,plain,1,0.7565,0.94324,0.757,0.94486,0.757,0.94492,0.7569,0.9429,0.7512493560791016,0.203640394744873,0.7449785186767578,0.2035434054565429,0.7470961303710938,0.2023089012145996,0.7511892944335937,0.20530265563964845
historical_sgd_30,plain,2,0.7624,0.95142,0.7616,0.95278,0.7619,0.9527,0.7624,0.95038,0.751594076538086,0.1843990788269043,0.7441833709716796,0.1831594326782226,0.746627896118164,0.18198420989990235,0.7510792999267578,0.1868057078552246
historical_sgd_30,resolution_max_b1,0,0.8031,0.9005,0.8034,0.90184,0.8034,0.90196,0.8018,0.90052,0.5855790832519531,0.3138185397338867,0.5830239868164062,0.3102699114990234,0.5838640991210937,0.30919642822265625,0.5876644775390625,0.31076188049316406
historical_sgd_30,resolution_max_b1,1,0.8002,0.90552,0.8002,0.90586,0.7998,0.90578,0.7986,0.90416,0.5798480804443359,0.2977865965270996,0.5779071853637695,0.2982831158447265,0.578536181640625,0.2973055618286133,0.5830096420288086,0.30003134552001953
historical_sgd_30,resolution_max_b1,2,0.8081,0.9067,0.8102,0.90942,0.8101,0.9096,0.8081,0.90906,0.5689506484985352,0.2926352249145508,0.5646580505371094,0.2898818449401855,0.5655267990112305,0.288931452331543,0.5677872314453125,0.2907496560668945
historical_sgd_30,resolution_max_b1_gaussian_conv,0,0.8134,0.89756,0.8157,0.89898,0.8155,0.89892,0.8132,0.89766,0.5434872039794922,0.3198434967041015,0.5417412292480469,0.3173013952636718,0.542249626159668,0.31613034240722654,0.546376106262207,0.31834647552490236
historical_sgd_30,resolution_max_b1_gaussian_conv,1,0.8124,0.8984,0.8139,0.89882,0.8142,0.89878,0.8138,0.8973,0.5493452041625977,0.3136508828735351,0.5467533309936523,0.3141641885375976,0.5472519149780274,0.31309628662109373,0.5516440673828125,0.3158416607666016
historical_sgd_30,resolution_max_b1_gaussian_conv,2,0.8187,0.89904,0.8193,0.90128,0.8197,0.9016,0.8189,0.9003,0.5403551956176758,0.3123751907348633,0.5369378341674804,0.3097763298034668,0.5374485763549804,0.30873984283447264,0.541127490234375,0.311970188293457
historical_sgd_30,sdpoint,0,0.7894,0.83392,0.7969,0.84152,0.7973,0.84152,0.7988,0.84024,0.6076374389648438,0.4845144384765625,0.5892258209228516,0.4803787045288086,0.5886238067626953,0.47920668365478514,0.5895153991699219,0.48025038330078124
historical_sgd_30,sdpoint,1,0.7819,0.82692,0.7958,0.83878,0.796,0.83868,0.7944,0.83796,0.6335267974853516,0.4975776174926757,0.59764765625,0.4844478909301757,0.597076383972168,0.48328778350830076,0.5996330169677735,0.48555537841796875
historical_sgd_30,sdpoint,2,0.7664,0.807,0.8021,0.84604,0.8021,0.84624,0.8019,0.84512,0.7092096160888672,0.5617955520629883,0.577635855102539,0.465844094543457,0.5770825073242187,0.4646755450439453,0.5788779754638672,0.4662097686767578
sgd_standard_aug_160,cbs_budget_matched,2,0.9124,0.99552,0.8934,0.96756,0.8931,0.9676,0.9132,0.99568,0.3675329513549805,0.015934352054595948,0.41949197845458985,0.09445132781982422,0.42552416534423826,0.09437200359344483,0.3659529815673828,0.014984263072013854
sgd_standard_aug_160,sdpoint,2,0.9044,0.95482,0.8878,0.92818,0.8866,0.92786,0.9226,0.97056,0.2871140579223633,0.12910356674194337,0.3411840621948242,0.2032566926574707,0.34410457305908204,0.2044473941040039,0.2458220848083496,0.08814324584960938
