campaign,campaign_label,policy,split,arm,arm_short,n_seeds,acc_mean_pct,acc_sd_pct,ce_mean,ce_sd,acc_seed0_pct,ce_seed0,acc_seed1_pct,ce_seed1,acc_seed2_pct,ce_seed2
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,test,plain,Plain,3,84.34,0.19519221295943204,0.9669535878499348,0.010636784196539356,84.53,0.9602417053222656,84.14,0.9614014343261719,84.35000000000001,0.9792176239013672
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,test,resolution_max_b1,R,3,86.58,0.16093476939431517,0.7066186075846353,0.005644955423450172,86.42999999999999,0.7098496826171875,86.56,0.7099056854248047,86.75,0.7001004547119141
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,test,resolution_max_b1_gaussian_conv,RG,3,86.06333333333333,0.21779194965226542,0.6515716430664062,0.005999530183971417,86.24000000000001,0.6537932861328125,86.13,0.6447781646728515,85.82,0.6561434783935547
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,test,sdpoint,SDPoint,3,87.50333333333334,0.612318000170937,0.39022608083089194,0.007155613097044025,87.72999999999999,0.3833938766479492,86.81,0.3976663024902344,87.97,0.3896180633544922
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,cbs_budget_matched,CBS-bm,3,99.99600000000001,1.3597399555105182e-14,0.0025265950349966687,0.0002957580345992332,99.996,0.0027823543643951416,99.996,0.0022027225410938263,99.996,0.0025947081995010375
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,cbs_published_schedule,CBS-pub,3,96.11466666666666,0.37960154548333086,0.12890722836812338,0.011007370930383958,96.366,0.12108643295288087,96.3,0.12414072662353516,95.678,0.1414945255279541
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,gaussian_postrelu,G,3,99.58266666666667,0.10944100389402941,0.02514664101600647,0.004280963158068937,99.68599999999999,0.021489965934753417,99.468,0.029855636653900147,99.59400000000001,0.024094320459365846
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,plain,Plain,3,99.99733333333333,0.002309401076760813,0.00037595591006179646,0.00012455359050142736,99.996,0.0003709008215367794,99.996,0.000502960084527731,100.0,0.00025400682412087916
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,resolution_max_b1,R,3,99.99866666666665,0.002309401076760813,0.0012039544912179313,8.332666360191183e-05,100.0,0.0012361676543951035,99.996,0.0012663658499717713,100.0,0.0011093299692869186
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,resolution_max_b1_gaussian_conv,RG,3,99.97466666666666,0.011015141094576837,0.006138775169849395,0.0012742875517871752,99.96199999999999,0.007583785276412964,99.982,0.005656620087623596,99.98,0.005175920145511628
historical_adamw_30,"AdamW lr 0.02, cosine, no aug, 30 ep (historical)",P3,train,sdpoint,SDPoint,3,96.352,0.2657743403716742,0.1126997333017985,0.008078354178831395,96.446,0.11140810798645019,96.052,0.1213460824584961,96.55799999999999,0.10534500946044922
historical_sgd_30,"SGD lr 0.005, cosine, no aug, 30 ep (historical)",P0,test,cbs_budget_matched,CBS-bm,3,78.60666666666667,0.8980163324424209,0.6619739298502605,0.015731963692170555,78.24,0.6689102355957032,77.95,0.673045736694336,79.63,0.6439658172607422
historical_sgd_30,"SGD lr 0.005, cosine, no aug, 30 ep (historical)",P0,test,cbs_published_schedule,CBS-pub,3,77.92,0.6025777958073086,0.6462636759440105,0.013928883268947145,77.38000000000001,0.6596459655761718,77.81,0.6472990783691406,78.57,0.6318459838867188
