policy,from,to,arm,pairing,n_pairs,gain_from_seed0_pp,gain_from_seed1_pp,gain_from_seed2_pp,gain_to_seed0_pp,gain_to_seed1_pp,gain_to_seed2_pp,gain_from_mean_pp,gain_to_mean_pp,change_mean_pp,change_sd_pp,change_n_positive,change_n_negative
P3,adamw_long_noaug_160,adamw_long_aug_160,resolution_max_b1,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,0.550000000000006,0.7299999999999973,1.3000000000000012,-0.8599999999999941,-0.23999999999999577,0.17000000000000348,0.8600000000000015,-0.30999999999999545,-1.169999999999997,0.22271057451320428,0,3
P3,adamw_long_noaug_160,adamw_long_aug_160,gaussian_postrelu,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-0.10000000000000009,-0.9000000000000008,0.31999999999999806,-2.4599999999999955,-2.5599999999999956,-1.9499999999999962,-0.2266666666666676,-2.323333333333329,-2.096666666666662,0.38083242158898895,0,3
P3,adamw_long_noaug_160,adamw_long_aug_160,resolution_max_b1_gaussian_conv,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,1.3600000000000056,1.880000000000004,1.4499999999999957,-1.7699999999999938,-1.1699999999999933,-1.2699999999999934,1.563333333333335,-1.4033333333333269,-2.9666666666666615,0.21733231083604596,0,3
P3,adamw_long_noaug_160,adamw_long_aug_160,cbs_published_schedule,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-1.7999999999999905,-1.2399999999999967,-1.7199999999999993,-1.639999999999997,-1.3900000000000023,-0.9299999999999975,-1.5866666666666622,-1.319999999999999,0.2666666666666632,0.4789919971495738,2,1
P3,adamw_long_noaug_160,adamw_long_aug_160,cbs_budget_matched,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-1.2199999999999989,-0.7000000000000006,-1.5100000000000002,-2.0399999999999974,-1.5100000000000002,-1.21,-1.1433333333333333,-1.586666666666666,-0.44333333333333264,0.6437649674635402,1,2
P3,adamw_long_noaug_160,adamw_long_aug_160,sdpoint,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,4.150000000000009,4.0100000000000025,3.7999999999999923,-0.019999999999997797,0.5299999999999971,0.5099999999999993,3.9866666666666677,0.3399999999999996,-3.6466666666666683,0.4630694692304154,0,3
P3,historical_sgd_30,sgd_standard_aug_160,resolution_max_b1,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.809999999999993,4.169999999999996,4.570000000000007,-0.09000000000000119,0.30999999999999917,0.16000000000000458,4.849999999999999,0.1266666666666675,-4.723333333333332,1.0554777749120676,0,3
P3,historical_sgd_30,sgd_standard_aug_160,gaussian_postrelu,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.469999999999997,4.430000000000001,3.83,-1.4000000000000012,-1.21,-0.6199999999999983,4.576666666666666,-1.0766666666666664,-5.653333333333332,1.2100550951644033,0,3
P3,historical_sgd_30,sgd_standard_aug_160,resolution_max_b1_gaussian_conv,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,6.950000000000001,5.689999999999995,5.6499999999999995,-0.9399999999999964,-0.36999999999999256,-1.200000000000001,6.096666666666665,-0.8366666666666633,-6.933333333333329,0.917841671168476,0,3
P3,historical_sgd_30,sgd_standard_aug_160,cbs_published_schedule,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,2.9799999999999938,1.8799999999999928,2.410000000000001,-0.24000000000000687,-0.23999999999999577,-0.050000000000005596,2.4233333333333293,-0.17666666666666941,-2.5999999999999983,0.5632051136131533,0,3
P3,historical_sgd_30,sgd_standard_aug_160,cbs_budget_matched,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,3.739999999999999,2.4699999999999944,3.2600000000000073,-0.19000000000000128,0.32999999999999696,-0.10999999999999899,3.1566666666666667,0.009999999999998899,-3.1466666666666683,0.9156600533676991,0,3
P3,historical_sgd_30,sgd_standard_aug_160,sdpoint,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.509999999999993,3.749999999999998,3.949999999999998,-0.16000000000000458,0.42999999999999705,0.8299999999999974,4.40333333333333,0.3666666666666633,-4.036666666666666,1.4180385514270506,0,3
