campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,gaussian_postrelu,2,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.7,0.78062,0.6463741284179687,0.7472,0.7651905242919922,P1
adamw_long_aug_160,gaussian_postrelu,2,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.83336,0.5342737283325195,0.7806,0.7870127593994141,P1
adamw_long_aug_160,gaussian_postrelu,2,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.8483,0.5209099896240235,0.7844,0.8975454833984375,P1
adamw_long_aug_160,gaussian_postrelu,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.85564,0.5191897042846679,0.7904,0.9507305816650391,P1
adamw_long_aug_160,plain,0,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.91306,0.2513190995788574,0.863,0.44694050903320315,P1
adamw_long_aug_160,plain,0,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.9379,0.18257218948364257,0.8674,0.5188073028564453,P1
adamw_long_aug_160,plain,0,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.95798,0.13232366577148438,0.8833,0.595584603881836,P1
adamw_long_aug_160,plain,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.96316,0.12309511726379395,0.884,0.6233693328857421,P1
adamw_long_aug_160,plain,1,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.92018,0.2273233038330078,0.8635,0.4204596466064453,P1
adamw_long_aug_160,plain,1,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.94154,0.16979195533752442,0.87,0.5205313980102539,P1
adamw_long_aug_160,plain,1,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.97126,0.08330252555847167,0.8846,0.5726092590332031,P1
adamw_long_aug_160,plain,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.97652,0.06907590711593628,0.889,0.5873935089111328,P1
adamw_long_aug_160,plain,2,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 39,0.0,0.90886,0.2619211065673828,0.8498,0.47902415008544924,P1
adamw_long_aug_160,plain,2,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 79,0.0,0.94612,0.15654003555297852,0.8675,0.5395641265869141,P1
adamw_long_aug_160,plain,2,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.96106,0.11734050369262695,0.8704,0.657871792602539,P1
adamw_long_aug_160,plain,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.9675,0.10196970306396484,0.8761,0.690257861328125,P1
