source_commit,kaggle_job,record,method,augmentation,epochs,lr,seed,optimizer,weight_decay,schedule,loss,method_schedule_stretched,updates,summary_epochs,test_acc,test_ce,trainprobe500_acc,trainprobe500_ce,bn_eval,path,assets_dir,shard_json_test_acc,shard_json_matches_summary
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.01__seed0/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8514,0.44864463500976565,0.86,0.36319647216796874,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8514,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/gaussian_postrelu__crop_flip__e30__lr0.005__seed0/summary.json,gaussian_postrelu,crop_flip,30,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8048,0.5664843673706055,0.828,0.5012357177734375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8048,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/gaussian_postrelu__crop_flip__e30__lr0.01__seed0/summary.json,gaussian_postrelu,crop_flip,30,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8397,0.4738846969604492,0.864,0.3913834228515625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8397,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/plain__crop_flip__e30__lr0.005__seed2/summary.json,plain,crop_flip,30,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.7977,0.5910226318359375,0.822,0.526158203125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.7977,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/plain__crop_flip__e30__lr0.01__seed2/summary.json,plain,crop_flip,30,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8477,0.45224170837402344,0.878,0.3721462707519531,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8477,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.005__seed1/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8094,0.5607809677124024,0.826,0.52415283203125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8094,True
badce2a,cc-aug-s2-20260917-095319,results/kaggle_outputs/cc-aug-s2-20260917-095319/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.01__seed1/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8517,0.4396529266357422,0.878,0.35294677734375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8517,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/gaussian_postrelu__crop_flip__e30__lr0.005__seed1/summary.json,gaussian_postrelu,crop_flip,30,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8083,0.5589718078613282,0.828,0.500137939453125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8083,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/gaussian_postrelu__crop_flip__e30__lr0.01__seed1/summary.json,gaussian_postrelu,crop_flip,30,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8342,0.4748105651855469,0.87,0.34561968994140624,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8342,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/resolution_max_b1__crop_flip__e30__lr0.005__seed0/summary.json,resolution_max_b1,crop_flip,30,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8024,0.5688707489013672,0.826,0.5299075927734375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8024,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/resolution_max_b1__crop_flip__e30__lr0.01__seed0/summary.json,resolution_max_b1,crop_flip,30,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8446,0.4593148193359375,0.854,0.3931685791015625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8446,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.005__seed2/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8079,0.5564387619018555,0.824,0.4896536865234375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8079,True
badce2a,cc-aug-s3-20260917-095351,results/kaggle_outputs/cc-aug-s3-20260917-095351/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.01__seed2/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8453,0.44696880493164065,0.87,0.3502073974609375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn,0.8453,True
